年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-12,183,172,112,161,78,51,2.56,28
2014-01,130,111,98,116,33,22,1.61,9
2014-02,41,60,28,34,37,10,1.64,13
2014-03,78,30,56,97,27,26,0.9,14
2014-04,48,28,31,43,27,30,0.64,14
2014-05,38,24,26,35,22,28,0.52,20
2014-06,26,1,17,23,19,24,0.72,19
2014-07,46,36,18,49,20,18,0.64,19
2014-08,25,4,9,20,10,17,0.55,16
2014-09,32,15,18,31,20,20,0.6,13
2014-10,53,55,36,49,13,25,0.76,9
2014-11,37,10,16,33,15,26,0.6,11
2014-12,70,72,45,85,24,29,0.63,11
2015-01,71,182,51,57,20,26,0.99,10
2015-02,48,160,34,37,15,13,0.76,13
2015-03,64,115,40,62,20,20,0.6,12
2015-04,43,60,20,44,9,22,0.7,12
2015-05,29,12,11,27,6,19,0.54,17
2015-06,34,39,17,32,4,23,0.62,17
2015-07,23,3,8,21,5,21,0.51,25
2015-08,35,41,10,21,5,19,0.54,39
2015-09,28,21,10,24,6,23,0.69,25
2015-10,47,107,27,50,8,26,0.58,25
2015-11,19,9,12,16,8,25,0.78,12
2015-12,39,80,26,36,8,26,0.67,15
2016-01,82,177,59,73,10,30,0.92,13
2016-02,47,182,20,47,10,13,0.63,13
2016-03,38,28,20,29,7,18,0.4,22
2016-04,42,58,18,42,6,26,0.52,18
2016-05,38,67,18,37,6,23,0.56,24
2016-06,27,14,5,13,4,18,0.46,28
2016-07,24,19,7,20,5,17,0.45,19
2016-08,25,15,6,21,5,20,0.56,29
2016-09,32,75,14,28,7,24,0.64,27
2016-10,22,4,12,20,8,23,0.62,11
2016-11,29,43,15,25,9,20,0.62,10
2016-12,77,127,47,83,7,29,1.04,10
2017-01,59,135,41,56,9,14,1.14,12
2017-02,59,179,42,56,6,18,0.89,16
2017-03,35,43,15,22,7,21,0.88,16
2017-04,25,4,12,20,7,25,0.81,16
2017-05,39,26,8,27,6,23,0.87,40
2017-06,32,61,10,19,5,21,0.8,34
2017-07,31,47,6,31,4,16,0.76,14
2017-08,32,47,8,22,6,17,0.84,35
2017-09,22,10,11,20,8,21,0.97,17
2017-10,18,5,7,14,9,20,0.78,18
2017-11,65,185,34,65,10,27,0.83,11
2017-12,95,156,70,106,11,38,1.09,12
2018-01,64,214,46,47,9,18,1.0,12
2018-02,62,194,41,58,9,17,0.99,13
2018-03,34,46,15,28,8,20,0.84,13
2018-04,22,2,12,20,9,20,0.84,21
2018-05,30,11,16,26,5,19,0.64,28
2018-06,38,89,13,22,5,21,0.78,28
2018-07,23,19,8,20,5,18,0.71,19
2018-08,30,38,11,26,5,19,0.81,40
2018-09,21,6,5,12,5,19,0.73,22
2018-10,37,74,21,33,7,26,0.71,27
2018-11,16,3,6,12,6,23,0.8,7
2018-12,53,222,32,60,7,26,0.67,3
2019-01,112,243,84,106,5,25,1.04,5
2019-02,55,185,38,47,4,13,0.68,5
2019-03,36,53,17,35,5,18,0.56,17
2019-04,35,39,16,33,5,20,0.53,34
2019-05,39,59,15,34,3,18,0.43,11
2019-06,28,31,4,23,3,18,0.55,30
2019-07,21,24,6,19,4,14,0.47,42
2019-08,27,30,7,21,2,11,0.54,42
2019-09,22,40,11,20,4,12,0.54,43
2019-10,25,47,11,21,5,13,0.47,18
2019-11,27,72,14,21,6,18,0.38,11
2019-12,49,143,30,49,6,28,0.65,5
2020-01,34,90,23,22,5,11,0.72,6
2020-02,22,47,10,12,6,8,0.33,25
2020-03,23,36,7,18,6,12,0.41,28
2020-04,26,16,16,21,5,16,0.46,30
2020-05,23,32,11,22,4,16,0.56,34
2020-06,15,14,4,11,4,14,0.5,28
2020-07,18,26,6,13,3,13,0.56,19
2020-08,16,15,4,11,4,11,0.56,39
2020-09,16,32,3,11,4,14,0.56,28
2020-10,14,9,3,8,5,13,0.49,14
2020-11,31,75,21,25,5,23,0.6,6
2020-12,61,199,25,69,6,21,0.48,4
2021-01,64,145,36,52,6,20,0.55,6
2021-02,24,49,15,22,6,11,0.5,4
2021-03,37,91,23,33,6,20,0.45,19
2021-04,23,18,11,18,5,17,0.45,17
2021-05,21,39,10,21,6,16,0.45,10
2021-06,21,47,7,17,5,13,0.39,27
2021-07,21,46,5,19,5,11,0.36,16
2021-08,17,32,3,10,5,10,0.4,30
2021-09,23,21,6,14,5,12,0.43,33
2021-10,19,49,8,17,5,14,0.39,23
2021-11,27,42,13,28,6,15,0.36,10
2021-12,45,105,25,45,5,18,0.51,12
2022-01,35,107,24,28,5,17,0.65,9
2022-02,40,136,27,33,4,12,0.36,12
2022-03,16,26,7,11,5,17,0.38,14
