年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,143,313,107,177,95,70,2.77,55
2015-02,113,261,84,112,56,47,1.39,69
2015-03,60,170,42,60,41,35,1.61,64
2015-04,119,306,88,147,51,41,1.93,85
2015-05,127,315,96,150,55,23,1.44,101
2015-06,69,217,49,66,16,16,1.04,67
2015-07,76,291,55,76,18,24,1.29,66
2015-08,84,306,62,93,21,19,1.13,80
2015-09,80,297,58,85,36,23,1.06,78
2015-10,111,338,83,130,64,32,1.28,80
2015-11,92,300,68,100,75,41,2.07,38
2015-12,121,269,91,142,54,46,1.67,47
2016-01,180,312,137,235,71,59,2.34,61
2016-02,270,338,210,346,113,37,1.45,78
2016-03,155,324,117,184,92,46,1.4,78
2016-04,125,329,94,160,45,29,1.43,93
2016-05,90,315,66,108,64,34,1.65,97
2016-06,81,280,56,92,46,22,1.13,125
2016-07,71,277,50,77,31,25,1.01,87
2016-08,96,327,71,109,47,24,1.36,109
2016-09,125,364,94,145,54,27,1.1,120
2016-10,107,338,79,114,46,38,2.0,110
2016-11,128,305,96,145,57,45,1.88,49
2016-12,163,328,123,181,57,50,1.89,61
2017-01,258,329,212,275,80,67,2.7,79
2017-02,206,354,159,229,47,51,2.32,83
2017-03,146,359,110,154,42,38,1.78,70
2017-04,97,297,72,106,48,39,1.39,109
2017-05,137,349,104,171,37,28,1.31,146
2017-06,83,280,61,88,26,23,1.32,102
2017-07,84,319,62,91,21,21,1.19,79
2017-08,69,344,50,72,16,20,1.31,73
2017-09,100,354,74,109,31,29,1.69,104
2017-10,104,357,77,113,34,39,1.21,84
2017-11,134,361,101,142,61,50,1.28,75
2017-12,148,358,111,164,68,64,1.82,74
2018-01,266,342,215,294,80,64,2.34,62
2018-02,266,356,215,283,43,53,1.79,70
2018-03,108,282,80,125,50,46,1.43,80
2018-04,112,287,69,173,28,29,1.24,88
2018-05,82,298,59,108,37,34,1.48,96
2018-06,98,333,51,81,25,18,1.4,144
2018-07,62,287,37,72,22,24,1.29,83
2018-08,80,277,35,63,16,17,0.88,135
2018-09,78,343,43,80,24,24,1.83,117
2018-10,82,310,60,94,25,32,1.44,113
2018-11,79,348,58,96,38,42,2.23,80
2018-12,101,220,75,116,34,52,2.26,47
2019-01,118,307,88,129,22,42,1.88,68
2019-02,84,237,61,83,19,27,1.77,59
2019-03,72,243,52,85,23,36,1.02,74
2019-04,75,275,54,81,21,26,1.69,78
2019-05,73,269,52,90,26,26,1.58,94
2019-06,63,306,44,69,17,16,1.07,128
2019-07,53,202,32,55,15,17,1.04,69
2019-08,64,291,45,76,10,16,0.87,109
2019-09,80,358,53,86,29,26,1.31,133
2019-10,86,354,62,123,24,36,1.83,119
2019-11,96,331,71,129,45,49,1.1,104
2019-12,126,351,95,150,38,64,1.75,66
2020-01,84,240,62,94,27,47,1.95,65
2020-02,71,265,52,64,14,23,1.58,81
2020-03,70,273,46,91,32,43,1.82,68
2020-04,74,292,50,90,34,39,0.96,114
2020-05,72,341,50,87,37,27,1.3,124
2020-06,57,309,35,63,20,25,1.9,65
2020-07,61,306,42,63,17,20,1.63,80
2020-08,55,311,35,59,15,17,0.9,107
2020-09,83,363,61,91,18,23,1.31,106
2020-10,91,343,68,111,32,38,1.56,106
2020-11,78,325,57,99,28,36,1.7,80
2020-12,141,292,107,152,35,56,2.25,48
2021-01,218,360,168,229,33,66,2.24,57
2021-02,90,280,66,96,12,36,1.45,63
2021-03,78,251,52,105,36,36,1.37,88
2021-04,81,315,37,112,25,33,1.34,91
2021-05,81,326,47,113,20,26,1.08,106
2021-06,59,310,39,66,19,18,1.09,111
2021-07,45,334,23,46,14,21,0.8,78
2021-08,52,331,33,54,13,18,1.05,103
2021-09,67,352,43,78,18,20,1.11,120
2021-10,82,360,60,94,35,35,2.01,96
2021-11,99,347,74,107,21,43,1.41,69
2021-12,134,328,101,160,20,52,1.41,76
2022-01,110,268,83,115,21,42,1.88,76
2022-02,72,291,51,88,12,44,1.19,59
2022-03,84,234,62,97,21,40,1.49,82
