年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10,167,99,128,174,40,66,1.61,26
2013-11,280,110,265,344,103,98,2.06,46
2013-12,477,113,482,600,147,103,4.68,53
2014-01,466,186,485,504,143,81,4.28,73
2014-02,371,190,329,362,108,61,4.02,78
2014-03,228,178,133,343,75,67,3.78,82
2014-04,193,181,129,280,29,55,2.13,85
2014-05,247,184,121,377,22,43,1.98,89
2014-06,110,181,80,141,14,31,1.99,79
2014-07,98,159,66,110,15,32,1.86,117
2014-08,112,177,84,130,16,37,1.43,94
2014-09,97,165,70,130,10,47,1.81,72
2014-10,252,185,201,291,14,54,2.09,61
2014-11,197,189,150,233,33,53,2.22,42
2014-12,154,241,117,173,76,46,2.58,36
2015-01,250,516,199,277,45,73,3.05,30
2015-02,183,334,139,203,52,50,2.94,40
2015-03,169,348,128,208,34,60,2.85,66
2015-04,142,321,72,229,20,48,1.59,77
2015-05,103,305,57,153,19,40,1.37,86
2015-06,96,343,71,114,13,33,1.28,86
2015-07,126,347,73,199,7,33,1.13,110
2015-08,183,360,78,286,7,34,1.14,107
2015-09,97,343,71,122,9,39,1.12,85
2015-10,179,353,136,235,20,53,1.58,81
2015-11,228,361,180,270,29,56,2.41,37
2015-12,369,363,318,437,55,92,3.11,40
2016-01,417,366,352,508,51,76,3.4,55
2016-02,396,362,162,499,43,59,2.44,65
2016-03,228,360,113,319,42,56,1.7,89
2016-04,105,343,58,158,20,47,1.19,106
2016-05,139,336,80,185,12,44,1.05,121
2016-06,84,308,57,95,7,36,0.89,115
2016-07,81,329,56,86,7,34,0.89,121
2016-08,91,341,65,93,9,40,1.3,142
2016-09,86,346,63,106,10,40,1.12,91
2016-10,130,349,98,167,11,50,1.5,83
2016-11,325,359,223,418,34,73,2.33,56
2016-12,374,361,324,390,37,75,2.99,51
2017-01,386,361,343,423,41,75,3.32,62
2017-02,290,363,239,279,36,71,2.71,64
2017-03,146,357,110,163,27,63,1.36,65
2017-04,210,359,101,325,15,55,1.35,84
2017-05,287,324,135,393,12,45,0.98,115
2017-06,84,281,47,94,12,39,0.87,122
2017-07,91,321,43,94,13,39,0.96,122
2017-08,96,354,60,113,9,33,1.03,126
2017-09,109,354,77,159,11,47,1.37,78
2017-10,115,348,85,145,11,45,1.29,45
2017-11,249,365,198,266,27,67,2.21,34
2017-12,320,362,211,441,33,80,2.52,37
2018-01,243,366,193,309,36,78,2.33,64
2018-02,322,359,159,469,29,60,1.7,92
2018-03,181,365,130,224,21,67,1.37,89
2018-04,164,338,97,256,14,59,1.43,93
2018-05,160,337,81,257,10,66,0.88,97
2018-06,88,283,42,106,8,46,0.74,107
2018-07,74,327,48,90,4,31,0.97,96
2018-08,89,356,54,94,4,29,0.92,125
2018-09,67,308,37,82,7,40,0.95,81
2018-10,117,361,88,132,10,56,0.9,55
2018-11,232,340,144,349,13,75,1.48,63
2018-12,497,367,163,701,20,79,1.86,45
2019-01,336,365,285,320,20,71,2.63,49
2019-02,245,366,195,218,13,47,1.77,66
2019-03,130,358,98,157,12,58,1.15,73
2019-04,108,354,79,161,12,57,1.27,108
2019-05,339,358,174,659,8,45,0.78,98
2019-06,66,264,37,79,7,30,0.74,97
2019-07,64,320,28,62,6,26,0.58,103
2019-08,67,321,43,82,5,27,0.98,84
2019-09,66,320,44,80,8,37,0.75,71
2019-10,101,307,72,149,11,43,1.08,54
2019-11,196,361,149,209,16,69,1.31,53
2019-12,301,366,252,275,24,64,1.89,39
2020-01,263,358,213,226,16,58,1.96,64
2020-02,191,365,144,174,15,35,1.28,81
2020-03,206,362,93,424,14,49,0.92,76
2020-04,105,349,79,136,15,44,0.74,116
2020-05,97,358,49,146,13,44,0.76,107
2020-06,68,317,37,74,13,35,0.75,103
2020-07,63,331,37,74,8,26,0.78,120
2020-08,67,357,46,80,7,31,0.76,91
2020-09,80,351,58,101,11,36,0.92,86
2020-10,135,363,102,172,11,54,1.12,57
2020-11,225,365,177,233,16,58,1.27,53
2020-12,193,359,148,170,16,55,1.34,59
2021-01,272,354,222,260,24,56,2.03,50
2021-02,223,361,176,226,19,40,1.33,82
2021-03,413,365,143,541,15,53,0.97,57
2021-04,121,356,80,178,15,41,0.8,80
2021-05,133,346,58,215,10,31,0.76,107
2021-06,65,313,36,80,15,33,0.68,113
2021-07,51,348,25,50,10,22,0.74,103
2021-08,66,346,34,61,8,23,0.69,130
2021-09,53,297,28,53,8,30,0.92,101
2021-10,93,332,69,93,6,36,0.92,67
2021-11,197,363,149,201,16,59,1.39,54
2021-12,168,346,129,155,11,52,1.08,42
2022-01,292,336,242,259,10,50,1.78,67
2022-02,195,336,151,163,11,44,1.24,70
2022-03,267,320,113,391,14,42,1.05,90
