年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10,87,55,64,81,19,46,1.49,15
2013-11,65,20,46,82,10,36,0.86,10
2013-12,73,12,49,95,32,35,1.31,12
2014-01,64,45,31,68,24,25,1.73,11
2014-02,85,138,60,78,31,23,2.11,12
2014-03,59,38,15,67,10,19,1.25,9
2014-04,50,33,28,51,6,17,1.06,29
2014-05,57,35,22,55,5,16,1.09,25
2014-06,42,23,16,36,6,18,1.2,34
2014-07,33,8,8,20,7,13,0.78,33
2014-08,35,23,19,35,4,17,0.78,21
2014-09,23,7,10,20,3,18,0.97,12
2014-10,28,7,12,27,3,22,1.08,6
2014-11,45,12,21,45,4,9,1.07,4
2014-12,56,8,20,61,7,12,1.23,3
2015-01,56,64,28,55,16,23,1.7,5
2015-02,57,57,29,62,10,18,2.01,14
2015-03,56,88,28,54,4,13,0.71,18
2015-04,36,20,10,29,4,19,0.7,22
2015-05,44,35,19,39,7,17,0.86,33
2015-06,26,19,10,18,2,18,0.66,26
2015-07,42,101,15,40,2,14,0.76,42
2015-08,32,45,11,31,2,16,0.63,12
2015-09,20,4,8,18,2,17,0.51,12
2015-10,37,77,16,36,3,23,0.54,6
2015-11,37,75,21,37,3,26,0.7,2
2015-12,59,142,36,68,13,30,0.93,7
2016-01,45,79,21,44,10,19,0.88,11
2016-02,58,128,20,63,8,12,0.74,23
2016-03,50,57,23,53,6,26,0.67,28
2016-04,50,71,21,54,2,21,0.5,10
2016-05,32,12,10,18,2,12,0.41,40
2016-06,34,68,9,22,2,16,0.48,46
2016-07,28,31,9,22,2,17,0.48,37
2016-08,33,38,12,26,2,14,0.51,46
2016-09,29,11,12,23,4,19,0.53,14
2016-10,26,31,13,25,4,22,0.63,8
2016-11,46,132,17,46,6,20,0.72,10
2016-12,71,115,37,84,10,36,1.01,13
2017-01,53,108,33,51,10,19,0.88,10
2017-02,59,204,28,63,7,22,0.76,34
2017-03,39,30,24,29,4,27,0.7,21
2017-04,27,9,17,25,4,29,0.53,27
2017-05,44,50,15,40,5,15,0.5,40
2017-06,41,76,13,17,3,16,0.49,39
2017-07,37,45,10,25,3,15,0.48,61
2017-08,27,13,8,13,2,18,0.56,30
2017-09,39,92,16,38,4,24,0.61,17
2017-10,21,11,7,10,2,19,0.52,3
2017-11,64,93,30,69,3,32,0.73,8
2017-12,67,103,39,76,12,43,0.86,9
2018-01,56,107,37,53,7,25,0.87,12
2018-02,47,99,29,39,5,18,0.55,30
2018-03,44,107,22,32,4,25,0.48,9
2018-04,35,40,16,34,2,18,0.43,34
2018-05,44,58,14,44,2,22,0.41,23
2018-06,27,39,9,22,2,16,0.41,22
2018-07,25,39,8,14,2,18,0.47,27
2018-08,45,118,11,23,2,16,0.47,51
2018-09,23,20,7,20,3,20,0.38,16
2018-10,44,118,15,44,4,32,0.46,20
2018-11,31,30,18,27,4,28,0.46,7
2018-12,41,123,18,41,5,16,0.58,12
2019-01,59,119,27,64,5,17,0.64,9
2019-02,71,135,30,45,4,18,0.66,25
2019-03,54,96,26,56,4,16,0.47,21
2019-04,39,75,17,34,4,19,0.42,33
2019-05,30,22,11,21,4,19,0.32,33
2019-06,24,33,6,16,4,16,0.36,38
2019-07,28,84,6,23,4,16,0.28,35
2019-08,27,58,10,24,4,15,0.24,28
2019-09,17,11,8,12,4,19,0.25,20
2019-10,18,27,5,18,5,20,0.29,9
2019-11,36,71,17,37,4,21,0.39,7
2019-12,52,120,29,52,7,33,0.49,15
2020-01,66,149,46,57,5,14,0.74,8
2020-02,38,198,16,33,4,8,0.28,19
2020-03,26,98,18,21,3,14,0.24,16
2020-04,36,82,21,25,5,23,0.36,31
2020-05,31,49,11,30,5,16,0.29,41
2020-06,21,66,11,16,3,15,0.36,37
2020-07,27,84,8,16,3,14,0.32,31
2020-08,14,16,4,9,3,15,0.29,23
2020-09,22,60,9,18,4,17,0.31,20
2020-10,23,43,12,22,4,19,0.41,12
2020-11,34,126,22,28,4,21,0.38,13
2020-12,43,87,21,42,4,18,0.35,8
2021-01,60,111,28,59,4,27,0.5,21
2021-02,53,144,32,44,3,16,0.42,10
2021-03,48,250,23,51,4,17,0.35,19
2021-04,18,5,10,14,3,16,0.35,24
2021-05,27,106,9,27,4,14,0.32,43
2021-06,20,38,7,15,3,15,0.34,43
2021-07,26,117,10,22,3,11,0.35,42
2021-08,20,49,9,19,3,12,0.35,29
2021-09,15,8,5,8,3,13,0.34,22
2021-10,13,13,5,9,3,16,0.28,13
2021-11,45,155,18,47,3,16,0.36,19
2021-12,44,108,26,43,4,15,0.54,11
2022-01,57,105,34,64,4,15,0.58,14
2022-02,42,146,20,41,4,14,0.54,18
2022-03,53,133,24,56,4,16,0.49,18
