年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10,57,14,39,58,19,32,0.69,26
2013-11,57,13,31,55,16,28,0.59,11
2013-12,88,40,38,89,23,47,1.35,11
2014-01,56,23,30,59,17,20,1.0,13
2014-02,33,4,20,18,15,8,1.3,20
2014-03,66,56,36,79,17,23,1.07,10
2014-04,50,31,30,45,4,11,0.82,37
2014-05,46,43,26,45,5,12,0.49,43
2014-06,45,29,21,38,4,11,0.5,47
2014-07,43,39,22,37,4,9,0.47,39
2014-08,33,9,14,21,7,10,0.35,30
2014-09,26,10,10,18,8,13,0.48,35
2014-10,45,11,23,46,4,21,0.46,19
2014-11,46,12,20,46,7,14,0.36,6
2014-12,55,13,29,58,16,19,0.74,8
2015-01,49,102,30,51,8,16,0.81,9
2015-02,41,51,25,40,4,17,1.18,22
2015-03,46,56,25,46,11,26,1.34,21
2015-04,39,14,20,35,4,24,1.12,27
2015-05,45,56,20,41,5,10,0.53,36
2015-06,35,64,9,14,3,14,0.44,58
2015-07,37,34,15,23,2,12,0.35,34
2015-08,27,20,12,24,3,8,0.33,25
2015-09,32,29,8,17,5,10,0.46,50
2015-10,40,81,11,20,6,11,0.51,38
2015-11,36,83,24,30,4,14,0.64,9
2015-12,66,115,26,80,11,29,1.05,10
2016-01,45,57,23,46,13,16,1.02,19
2016-02,36,59,23,32,7,14,1.64,25
2016-03,46,68,18,46,13,15,1.42,24
2016-04,27,5,11,20,8,17,0.76,29
2016-05,36,13,15,21,6,11,0.39,36
2016-06,27,31,11,21,3,9,0.5,35
2016-07,26,38,11,22,3,6,0.3,32
2016-08,30,12,14,25,3,6,0.49,52
2016-09,32,73,14,20,6,11,0.43,38
2016-10,21,9,7,11,5,14,0.47,21
2016-11,37,40,20,29,6,18,0.58,8
2016-12,34,25,22,30,6,26,0.61,21
2017-01,37,51,16,25,7,14,0.75,24
2017-02,46,49,27,33,7,24,0.78,34
2017-03,39,49,18,33,6,19,0.61,55
2017-04,57,189,29,55,8,19,0.83,57
2017-05,36,23,21,22,7,11,0.44,64
2017-06,48,151,15,29,6,13,0.37,73
2017-07,22,5,11,19,5,5,0.26,30
2017-08,28,24,16,19,6,6,0.32,33
2017-09,28,33,12,10,5,13,0.5,44
2017-10,33,58,15,21,7,14,0.44,14
2017-11,42,41,22,42,8,24,0.52,22
2017-12,48,80,27,47,6,25,0.7,6
2018-01,50,97,28,44,6,23,0.58,11
2018-02,41,35,23,36,3,11,0.53,21
2018-03,39,34,21,20,4,18,0.57,33
2018-04,48,77,18,37,5,18,0.54,25
2018-05,38,41,15,18,4,11,0.37,61
2018-06,45,161,12,19,5,7,0.39,80
2018-07,22,4,7,14,3,6,0.36,36
2018-08,29,29,11,23,3,5,0.43,41
2018-09,36,74,15,21,5,15,0.52,55
2018-10,40,105,16,37,5,24,0.52,34
2018-11,33,98,21,24,2,18,0.68,22
2018-12,32,97,11,30,3,17,0.24,10
2019-01,52,111,29,52,6,24,0.74,14
2019-02,44,131,26,43,5,17,0.58,21
2019-03,41,94,23,37,7,22,0.57,40
2019-04,32,26,16,28,6,19,0.5,35
2019-05,35,33,13,24,5,16,0.5,45
2019-06,39,112,18,35,3,13,0.61,58
2019-07,22,41,7,19,2,7,0.44,35
2019-08,24,60,11,20,5,9,0.52,26
2019-09,33,93,13,30,4,12,0.43,60
2019-10,27,100,11,27,3,10,0.48,26
2019-11,39,96,18,39,5,17,0.41,11
2019-12,36,36,21,35,2,18,0.45,6
2020-01,27,35,19,18,3,11,0.58,13
2020-02,25,40,15,19,1,4,0.28,27
2020-03,38,124,21,25,2,11,0.39,42
2020-04,45,92,22,39,2,13,0.44,69
2020-05,34,84,16,30,2,9,0.53,49
2020-06,26,118,3,6,2,6,0.29,53
2020-07,21,51,7,13,2,4,0.35,39
2020-08,25,130,11,20,2,5,0.4,49
2020-09,35,148,15,33,3,12,0.42,63
2020-10,32,108,18,32,3,19,0.38,28
2020-11,39,105,22,30,2,20,0.48,12
2020-12,37,132,18,35,4,12,0.46,16
2021-01,57,120,19,51,3,10,0.38,8
2021-02,27,35,12,20,1,6,0.29,46
2021-03,29,102,18,22,2,13,0.33,27
2021-04,25,60,16,17,2,10,0.35,33
2021-05,21,20,8,20,2,9,0.27,28
2021-06,28,107,11,22,2,7,0.33,48
2021-07,15,15,5,9,3,2,0.27,38
2021-08,24,62,7,12,3,7,0.31,41
2021-09,23,59,6,13,3,8,0.43,44
2021-10,26,138,11,24,4,15,0.45,33
2021-11,26,45,13,22,4,12,0.31,30
2021-12,29,49,18,26,5,13,0.39,21
2022-01,28,23,17,22,2,14,0.31,22
2022-02,39,157,25,30,2,12,0.39,48
2022-03,26,62,17,25,4,11,0.4,45
