年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-12,139.0,120.0,115.0,159.0,35.0,73.0,1.66,39.0
2014-01,144.0,119.5,108.5,136.0,37.0,56.5,1.29,40.0
2014-02,87.5,92.0,61.0,55.5,19.0,41.0,1.01,46.0
2014-03,78.0,61.0,46.5,99.0,27.0,41.0,1.02,40.5
2014-04,70.5,60.0,43.0,90.0,22.5,38.5,0.935,44.0
2014-05,84.0,88.0,54.0,85.0,20.0,33.0,0.98,45.0
2014-06,74.0,105.0,53.0,69.0,14.0,29.0,0.965,45.5
2014-07,57.0,68.0,37.0,57.0,14.0,28.0,0.91,43.0
2014-08,61.0,95.0,41.0,65.0,11.0,25.0,1.01,37.0
2014-09,64.5,113.0,44.5,70.0,13.0,24.0,0.935,35.5
2014-10,86.0,105.0,60.0,101.0,16.0,40.0,0.98,67.0
2014-11,103.5,114.0,68.0,133.0,19.0,43.0,1.19,54.0
2014-12,97.5,104.5,68.5,132.5,30.0,52.0,1.165,58.0
2015-01,113.5,238.5,72.5,162.5,20.0,44.5,1.24,52.5
2015-02,86.0,149.5,60.5,99.0,13.0,29.5,0.94,49.0
2015-03,70.0,164.0,42.0,87.0,14.0,37.0,0.89,46.0
2015-04,76.0,209.5,51.0,89.5,18.0,36.5,0.885,55.5
2015-05,79.0,202.0,57.0,89.0,15.0,29.0,0.88,63.0
2015-06,74.0,285.5,48.0,59.5,12.0,26.5,0.855,53.5
2015-07,60.0,176.0,30.0,56.0,10.0,24.0,0.78,57.0
2015-08,61.0,206.0,39.0,68.0,10.0,23.0,0.83,55.0
2015-09,64.0,227.0,39.0,74.5,11.0,27.5,0.9299999999999999,53.0
2015-10,74.0,209.0,46.0,95.0,14.0,35.0,0.89,50.0
2015-11,63.0,170.0,36.5,74.0,11.0,46.0,1.16,36.0
2015-12,88.0,214.0,60.0,120.0,14.0,51.0,1.23,36.0
2016-01,73.0,167.0,41.0,91.0,12.0,46.0,0.98,39.0
2016-02,74.0,159.0,46.0,97.0,10.0,28.0,0.8,47.0
2016-03,86.0,193.0,54.0,116.0,13.0,37.0,0.9,51.0
2016-04,63.0,171.0,40.5,73.5,8.0,35.5,0.89,54.0
2016-05,62.0,167.0,41.0,68.0,7.0,33.0,0.86,59.0
2016-06,53.0,156.0,28.5,57.5,7.0,27.0,0.82,60.0
2016-07,46.0,163.0,24.0,45.0,7.0,25.0,0.81,47.0
2016-08,48.0,109.0,26.0,39.0,5.0,16.0,0.65,63.0
2016-09,51.5,131.0,31.5,45.0,6.0,20.0,0.695,67.5
2016-10,51.0,137.0,29.0,54.0,9.0,34.0,0.73,45.0
2016-11,70.5,168.0,50.0,81.5,9.0,47.5,0.905,40.5
2016-12,103.0,216.0,76.0,117.0,8.0,46.0,1.1,25.0
2017-01,84.0,180.0,61.0,88.0,7.0,36.0,0.89,22.0
2017-02,80.5,166.5,58.0,79.0,6.0,24.5,0.825,42.0
2017-03,72.0,192.0,52.0,77.0,13.0,21.0,0.7,52.0
2017-04,64.0,119.0,44.0,67.5,13.5,21.5,0.75,58.0
2017-05,68.0,145.0,44.0,64.0,11.0,26.0,0.72,59.0
2017-06,43.0,93.5,28.0,37.5,11.0,20.0,0.735,49.5
2017-07,38.0,88.0,23.0,33.0,12.0,21.0,0.62,42.0
2017-08,38.0,110.0,22.0,35.0,9.0,16.0,0.74,47.0
2017-09,49.0,151.0,30.5,40.5,10.0,17.5,0.78,57.5
2017-10,53.0,162.5,36.5,53.5,10.0,23.0,0.775,46.5
2017-11,72.0,175.5,40.0,85.0,10.0,41.0,0.92,58.5
2017-12,86.0,193.0,45.0,119.0,13.0,47.0,0.92,62.0
2018-01,70.0,172.0,43.0,89.0,11.0,44.0,1.05,63.0
2018-02,61.0,148.0,37.0,65.0,9.0,27.0,1.12,74.0
2018-03,71.0,178.0,38.0,87.0,9.0,31.0,0.73,80.0
2018-04,82.5,227.5,41.5,100.5,11.0,33.5,0.845,87.0
2018-05,57.0,156.0,32.0,57.0,9.0,31.0,0.85,76.0
2018-06,54.5,142.0,27.5,50.0,7.5,25.5,0.775,74.0
2018-07,39.0,128.0,18.0,33.0,9.0,17.0,0.6,60.0
2018-08,40.0,110.0,19.0,34.0,8.0,16.0,0.73,71.0
2018-09,52.0,227.0,29.0,53.0,8.0,25.0,0.9,63.0
2018-10,62.0,212.0,33.0,72.0,9.0,37.0,0.86,59.0
2018-11,57.5,184.5,33.5,64.0,4.0,37.5,0.915,46.0
2018-12,65.0,150.0,45.0,62.0,2.0,18.0,1.17,18.0
2019-01,79.0,190.0,57.0,91.0,2.0,22.0,1.23,18.0
2019-02,47.5,126.5,33.0,42.0,1.0,15.0,1.44,24.0
2019-03,72.0,207.5,50.5,83.5,2.0,18.0,1.0350000000000001,28.5
2019-04,62.5,219.0,40.0,71.5,4.0,24.5,0.8,32.0
2019-06,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-08,39.5,159.5,18.5,38.0,5.0,21.5,0.69,59.5
2019-09,24.0,51.0,13.0,25.0,3.0,14.0,0.56,43.0
2019-10,55.0,210.0,30.0,64.0,4.0,31.0,0.75,41.0
2019-11,69.0,216.0,34.0,89.0,5.0,43.0,0.705,39.5
2019-12,55.0,134.0,21.0,64.0,5.0,42.0,0.76,18.0
2020-01,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04,65.5,235.5,35.5,83.5,5.5,40.0,0.625,58.5
2020-05,46.0,180.0,27.0,47.0,4.0,27.0,0.67,90.0
2020-06,34.0,174.0,16.0,32.0,3.0,17.0,0.595,87.5
2020-07,28.0,96.0,21.0,36.0,3.0,24.0,0.58,76.0
2020-08,46.0,268.0,22.0,49.0,4.0,20.0,0.53,78.0
2020-09,51.0,257.0,26.0,55.5,4.0,33.5,0.64,62.0
2020-10,50.0,198.0,27.0,54.0,4.0,34.0,0.53,51.0
2020-11,58.0,189.5,31.5,66.5,4.0,38.5,0.8,29.5
2020-12,81.0,240.0,58.0,104.0,4.0,50.0,0.81,22.0
2021-01,77.0,201.0,47.0,96.0,5.0,43.0,0.9,35.0
2021-02,51.0,163.5,30.0,54.0,5.0,18.0,0.725,43.0
2021-03,53.0,103.0,26.0,57.0,4.0,30.0,0.72,29.0
2021-04,55.0,196.5,28.0,60.5,5.0,31.0,0.675,47.0
2021-05,48.0,191.0,21.0,51.0,4.0,23.0,0.69,53.0
2021-06,42.0,225.5,19.0,43.0,4.0,25.5,0.615,47.0
2021-07,30.0,139.0,10.0,28.0,5.0,17.0,0.41,49.0
2021-08,34.0,197.0,16.0,34.0,5.0,21.0,0.57,61.0
2021-09,32.5,154.0,16.5,34.5,1.0,17.5,0.45999999999999996,37.0
2021-10,29.0,122.0,14.0,30.0,2.0,25.0,0.57,32.0
