年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,103.0,185.0,77.0,95.0,12.0,31.0,1.07,44.0
2015-02,78.0,169.0,56.5,49.5,4.0,18.5,1.07,52.5
2015-03,55.0,99.0,37.0,53.0,6.0,17.0,0.96,39.0
2015-04,70.0,152.0,48.0,66.5,7.0,14.0,0.79,74.0
2015-05,51.0,105.0,30.0,47.0,5.0,11.0,0.85,74.0
2015-06,44.0,101.0,18.0,38.0,7.0,15.0,0.7,65.5
2015-07,50.0,108.0,22.0,39.0,6.0,13.0,0.72,69.0
2015-08,42.0,100.0,18.0,42.0,9.0,15.0,0.78,48.0
2015-09,40.0,79.5,20.5,39.0,9.5,10.5,0.885,43.5
2015-10,61.0,135.0,35.0,68.0,16.0,19.0,0.8,59.0
2015-11,48.5,82.0,26.0,48.5,10.0,15.5,0.885,34.0
2015-12,45.0,71.0,28.0,39.0,8.0,17.0,0.87,42.0
2016-01,54.0,75.0,37.0,41.0,8.0,21.0,1.16,32.0
2016-02,72.0,163.0,51.0,62.0,8.0,18.0,0.86,56.0
2016-03,82.0,162.0,59.0,78.0,9.0,23.0,0.95,47.0
2016-04,61.0,161.5,38.0,63.5,8.0,13.5,0.905,70.0
2016-05,55.0,105.0,27.0,47.0,7.0,13.0,0.81,68.0
2016-06,41.0,90.0,15.5,33.0,8.0,13.5,0.7050000000000001,61.5
2016-07,38.0,76.0,16.0,32.0,10.0,12.0,0.68,41.0
2016-08,34.0,48.0,15.0,26.0,6.0,7.0,0.65,58.0
2016-09,46.5,139.0,25.0,40.5,12.0,14.0,0.655,59.5
2016-10,52.0,170.0,31.0,50.0,16.0,17.0,0.79,54.0
2016-11,49.5,63.5,29.0,50.0,13.0,20.5,0.83,36.0
2016-12,69.0,102.0,49.0,70.0,18.0,29.0,0.95,59.0
2017-01,77.0,150.0,56.0,73.0,9.0,18.0,1.18,52.0
2017-02,69.0,136.0,46.5,67.5,9.5,20.5,0.99,58.5
2017-03,46.0,51.0,27.0,43.0,9.0,18.0,1.07,35.0
2017-04,52.0,67.0,30.5,51.0,9.5,16.0,0.91,58.5
2017-05,47.0,52.0,22.0,37.0,8.0,13.0,0.88,67.0
2017-06,36.0,80.5,16.0,33.0,9.0,15.0,0.805,44.5
2017-07,32.0,61.0,13.0,28.0,8.0,13.0,0.71,38.0
2017-08,39.0,85.0,17.0,31.0,7.0,12.0,0.59,46.0
2017-09,39.5,86.5,19.0,32.5,7.0,13.0,0.805,50.5
2017-10,38.5,113.5,21.5,33.0,5.0,11.5,0.8,60.0
