年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,108.0,192.0,81.0,126.0,9.0,34.0,1.45,24.0
2015-02,84.5,169.5,61.5,95.5,8.5,29.0,1.15,39.0
2015-03,59.0,125.0,34.0,66.0,9.0,31.0,1.13,47.0
2015-04,51.0,55.5,26.0,52.0,10.0,25.0,1.0,62.5
2015-05,54.0,112.0,31.0,54.0,9.0,22.0,0.81,58.0
2015-06,39.0,50.5,17.5,31.0,8.0,16.0,0.82,48.0
2015-07,53.0,145.0,21.0,35.0,3.0,17.0,0.72,76.0
2015-08,39.0,79.0,20.0,33.0,2.0,19.0,0.71,63.0
2015-09,38.0,63.0,20.5,30.5,2.0,20.0,0.85,51.5
2015-10,59.0,75.0,37.0,61.0,3.0,26.0,0.74,44.0
2015-11,39.5,58.5,21.5,39.5,4.0,26.0,0.945,20.0
2015-12,66.0,134.0,46.0,71.0,4.0,35.0,1.07,22.0
2016-01,90.0,202.0,65.0,98.0,5.0,34.0,1.4,21.0
2016-02,77.0,178.0,48.0,84.0,5.0,28.0,1.24,39.0
2016-03,62.0,121.0,42.0,73.0,5.0,34.0,0.96,53.0
2016-04,42.5,57.0,22.5,44.0,3.0,26.0,0.75,50.5
2016-05,45.0,67.0,28.0,45.0,2.0,21.0,0.71,58.0
2016-06,41.0,97.5,20.0,32.0,2.0,20.0,0.75,62.5
2016-07,29.0,40.0,13.0,23.0,2.0,17.0,0.71,46.0
2016-08,30.0,25.0,18.0,25.0,2.0,19.0,0.74,44.0
2016-09,45.5,114.5,31.0,44.0,4.0,25.5,0.8200000000000001,42.0
2016-10,23.0,9.0,13.0,22.0,3.0,20.0,1.02,25.0
2016-11,54.5,96.5,37.5,54.5,4.0,26.5,1.0350000000000001,14.5
2016-12,102.0,225.0,76.0,104.0,4.0,36.0,1.42,15.0
2017-01,86.0,178.0,63.0,91.0,3.0,34.0,0.96,27.0
2017-02,62.5,118.0,43.0,64.0,3.0,27.0,1.06,32.0
2017-03,46.0,82.0,29.0,46.0,3.0,26.0,0.95,42.0
2017-04,47.5,47.0,24.5,45.0,2.0,22.5,0.825,62.0
2017-05,56.0,114.0,31.0,59.0,3.0,23.0,0.76,66.0
2017-06,45.0,103.5,21.5,38.5,3.0,18.0,0.72,67.0
2017-07,37.0,69.0,14.0,24.0,3.0,13.0,0.58,66.0
2017-08,33.0,62.0,14.0,24.0,3.0,13.0,0.67,64.0
2017-09,31.0,36.0,15.5,28.5,3.0,16.0,0.685,35.5
2017-10,23.0,17.0,12.5,20.5,2.0,16.0,0.69,23.0
2017-11,47.0,69.0,27.0,48.0,4.0,23.5,0.78,25.0
2017-12,82.0,168.0,58.0,91.0,4.0,31.0,0.96,23.0
2018-01,81.0,164.0,58.0,80.0,5.0,34.0,0.99,36.0
2018-02,81.5,179.5,49.5,91.0,5.0,25.5,0.95,36.5
2018-03,51.0,62.0,30.0,53.0,4.0,25.0,0.75,46.0
2018-04,53.0,42.0,27.0,54.5,3.0,21.0,0.575,54.5
2018-05,57.0,151.0,24.0,55.0,3.0,18.0,0.65,61.0
2018-06,39.5,63.5,14.0,29.5,3.0,17.0,0.645,58.5
2018-07,34.0,97.0,15.0,28.0,2.0,13.0,0.66,55.0
2018-08,41.0,103.0,19.0,33.0,3.0,15.0,0.66,70.0
2018-09,30.0,43.0,13.0,24.0,3.0,15.0,0.6,43.0
2018-10,47.0,157.0,30.0,46.0,3.0,21.0,0.61,31.0
2018-11,52.5,98.5,29.0,54.0,3.0,22.0,0.695,17.5
2018-12,64.0,212.0,44.0,69.0,3.0,21.0,0.77,18.0
2019-01,87.0,212.0,63.0,93.0,3.0,29.0,1.02,21.0
2019-02,62.0,183.5,43.5,63.5,3.0,20.0,0.755,42.5
2019-03,58.0,149.0,34.0,64.0,3.0,28.0,0.55,45.0
2019-04,40.0,61.5,19.0,38.0,3.0,21.0,0.54,60.0
2019-05,47.0,98.0,27.0,48.0,3.0,17.0,0.56,56.0
2019-06,38.0,97.0,18.0,30.0,4.0,17.0,0.63,51.0
2019-07,27.5,68.5,11.5,20.5,3.0,17.5,0.695,36.5
2019-08,32.0,110.5,13.5,25.5,3.0,15.5,0.83,62.0
2019-09,33.5,93.0,21.0,33.0,4.0,21.0,0.72,33.5
2019-10,23.0,26.0,12.0,21.0,4.0,21.0,0.65,23.0
2019-11,47.0,94.5,27.5,49.0,4.0,24.0,0.655,13.5
2019-12,72.0,192.0,52.0,76.0,4.0,28.0,0.95,10.0
2020-01,62.0,177.0,45.0,61.0,4.0,27.0,0.97,16.0
2020-02,65.0,293.0,47.0,60.0,3.0,15.0,0.76,28.0
2020-03,51.0,168.0,33.0,55.0,4.0,31.0,0.6,37.0
2020-04,40.0,73.0,21.5,40.0,3.0,27.5,0.555,48.5
2020-05,50.0,197.0,29.0,51.0,4.0,20.0,0.59,70.0
2020-06,29.5,117.5,14.0,27.0,4.0,19.0,0.595,50.5
2020-07,25.0,70.0,12.0,23.0,4.0,17.0,0.57,44.0
2020-08,25.0,110.0,13.0,25.0,4.0,16.0,0.57,41.0
2020-09,30.0,113.0,17.0,29.5,4.0,20.0,0.565,35.5
2020-10,24.0,55.0,14.0,24.0,3.0,19.0,0.63,20.0
2020-11,53.5,130.0,29.5,58.5,4.0,29.0,0.675,22.5
2020-12,54.0,146.0,34.0,56.0,3.0,27.0,0.82,14.0
2021-01,79.0,201.0,58.0,88.0,4.0,39.0,0.91,21.0
2021-02,58.5,176.5,41.0,56.5,4.0,29.0,0.7250000000000001,33.0
2021-03,43.0,74.0,23.0,44.0,4.0,27.0,0.61,33.0
2021-04,31.0,52.0,13.5,27.0,3.0,22.0,0.51,33.0
2021-05,52.0,206.0,31.0,53.0,4.0,22.0,0.58,53.0
2021-06,33.0,121.5,16.5,28.5,4.0,18.0,0.56,51.5
2021-07,24.0,81.0,11.0,21.0,3.0,14.0,0.54,43.0
2021-08,24.0,56.0,11.0,19.0,4.0,14.0,0.58,40.0
2021-09,24.0,69.5,12.0,22.0,4.0,19.5,0.615,36.0
2021-10,20.0,42.0,10.0,20.0,3.0,18.0,0.56,24.0
2021-11,57.5,206.0,35.5,62.5,4.0,23.0,0.63,15.5
2021-12,67.0,228.0,48.0,69.0,4.0,29.0,0.75,15.0
2022-01,66.0,161.0,47.0,66.0,4.0,28.0,0.94,18.0
2022-02,46.5,133.0,32.5,41.5,4.0,24.5,0.71,36.0
2022-03,52.5,151.5,28.0,59.0,4.0,33.0,0.6,47.0
