年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,190,533,148,231,170,59,3.2,68
2015-02,186,325,144,241,114,52,1.46,82
2015-03,265,360,115,382,95,32,0.94,97
2015-04,224,359,86,340,54,38,2.94,102
2015-05,166,353,101,183,23,26,0.88,133
2015-06,132,365,59,184,18,35,1.65,136
2015-07,97,339,58,143,19,32,0.91,133
2015-08,140,343,56,193,24,39,1.18,115
2015-09,124,347,71,155,30,34,0.89,111
2015-10,140,341,106,180,72,53,1.2,83
2015-11,197,344,150,232,100,48,2.17,55
2015-12,213,350,167,244,123,64,2.58,63
2016-01,134,249,102,143,117,50,2.32,56
2016-02,180,344,122,262,97,44,2.14,65
2016-03,327,361,118,423,63,50,1.75,95
2016-04,149,360,70,218,40,40,2.06,101
2016-05,208,356,123,300,24,32,0.68,116
2016-06,102,356,63,149,28,42,0.76,110
2016-07,101,343,68,115,25,30,0.64,153
2016-08,86,350,49,119,20,38,0.88,120
2016-09,94,341,55,135,30,43,0.82,99
2016-10,142,353,100,209,42,49,1.07,90
2016-11,187,341,129,228,66,64,1.78,78
2016-12,215,301,168,215,76,63,3.06,58
2017-01,192,271,122,258,102,64,2.71,72
2017-02,136,329,98,163,81,71,2.54,77
2017-03,145,346,110,147,51,78,1.24,94
2017-04,258,366,68,371,34,44,0.9,88
2017-05,463,366,343,1642,15,39,0.9,120
2017-06,89,309,36,127,18,38,0.61,129
2017-07,110,344,59,127,20,29,0.65,122
2017-08,182,366,75,255,21,29,0.82,119
2017-09,236,366,57,304,26,44,0.81,110
2017-10,125,357,85,178,29,46,1.58,68
2017-11,154,350,116,211,54,67,1.89,67
2017-12,137,253,96,189,51,55,2.01,78
2018-01,110,312,81,149,41,47,1.68,77
2018-02,176,362,147,292,46,35,1.26,80
2018-03,295,366,101,442,30,54,1.38,100
2018-04,320,365,209,774,21,29,0.68,119
2018-05,197,360,236,796,13,38,0.66,149
2018-06,215,366,90,277,16,34,0.66,175
2018-07,107,357,59,159,14,29,0.79,129
2018-08,76,334,39,75,11,20,0.81,122
2018-09,96,363,35,140,23,31,0.63,96
2018-10,124,358,92,134,27,53,1.24,71
2018-11,246,363,100,563,28,47,1.27,98
2018-12,254,334,96,418,41,42,1.24,67
2019-01,125,266,94,137,55,46,1.63,64
2019-02,198,360,75,283,40,39,1.61,72
2019-03,151,357,104,219,31,38,1.31,80
2019-04,243,363,66,416,20,40,0.79,112
2019-05,187,355,125,279,15,25,0.91,122
2019-06,152,363,50,187,15,31,0.97,129
2019-07,71,333,22,89,15,34,0.76,130
2019-08,54,261,27,54,12,23,0.84,108
2019-09,57,302,31,68,14,34,0.83,129
2019-10,219,359,95,375,23,44,1.21,104
2019-11,237,361,78,397,35,50,1.71,77
2019-12,227,357,178,258,49,60,2.2,77
2020-01,385,361,392,524,63,77,2.83,78
2020-02,172,359,121,287,35,34,1.88,77
2020-03,152,353,50,296,24,28,0.93,82
2020-04,150,353,49,213,18,45,0.95,104
2020-05,187,361,91,335,15,30,0.75,102
2020-06,229,364,64,314,19,25,0.63,118
2020-07,70,345,31,90,22,27,0.7,113
2020-08,67,362,28,88,20,25,0.75,112
2020-09,55,300,27,63,21,29,0.65,92
2020-10,182,363,52,249,24,47,0.94,69
2020-11,141,359,106,180,33,49,1.17,73
2020-12,147,328,64,219,33,37,1.24,68
2021-01,483,366,281,1664,45,50,1.54,81
2021-02,212,365,73,357,36,36,1.33,84
2021-03,493,363,479,765,20,38,1.13,96
2021-04,331,362,125,740,13,23,0.78,119
2021-05,380,366,134,804,17,17,0.7,121
2021-06,123,362,43,186,20,21,0.67,132
2021-07,84,364,31,110,17,22,0.62,131
2021-08,164,366,79,222,11,22,0.9,125
2021-09,90,362,33,114,16,28,0.62,115
2021-10,119,360,66,163,14,37,0.76,69
2021-11,161,362,65,221,19,45,1.07,76
2021-12,135,339,102,163,18,48,1.26,77
2022-01,214,332,166,244,42,57,2.03,68
2022-02,120,310,90,157,20,40,1.53,82
2022-03,288,337,140,789,22,32,0.99,98
