年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-12,148,136,92,140,42,47,2.18,44
2014-01,127,84,96,121,21,12,1.25,23
2014-02,48,39,32,43,3,7,1.19,13
2014-03,59,7,34,57,19,16,0.74,15
2014-04,49,14,26,49,11,10,0.7,44
2014-05,29,4,17,28,8,11,0.6,14
2014-06,37,18,24,35,7,11,0.85,27
2014-07,29,7,12,28,4,7,0.53,15
2014-08,32,11,14,30,4,8,0.79,13
2014-09,21,4,9,19,6,9,1.11,13
2014-10,27,5,15,26,5,10,0.95,9
2014-11,35,4,11,31,6,12,0.76,7
2014-12,43,3,22,44,12,14,0.78,5
2015-01,26,9,16,25,4,11,1.06,8
2015-02,34,29,17,33,4,8,0.87,11
2015-03,41,28,20,44,12,13,0.65,11
2015-04,37,25,16,36,7,7,0.58,16
2015-05,33,22,13,32,7,8,0.71,20
2015-06,42,93,18,41,7,7,1.07,13
2015-07,31,39,10,26,10,7,1.01,48
2015-08,32,25,6,17,6,6,0.6,50
2015-09,31,41,9,28,5,7,0.91,45
2015-10,25,5,8,25,7,11,0.52,35
2015-11,21,7,7,18,13,12,0.74,11
2015-12,27,26,11,24,12,14,0.71,15
2016-01,64,111,42,63,6,11,0.54,11
2016-02,42,115,17,42,6,10,0.57,22
2016-03,53,47,36,53,5,10,0.74,29
2016-04,31,7,14,30,7,7,0.34,28
2016-05,30,18,15,26,4,5,0.61,30
2016-06,33,67,11,20,6,7,0.7,24
2016-07,22,11,10,18,11,6,0.77,22
2016-08,33,39,13,27,7,8,0.71,36
2016-09,46,120,22,40,4,8,0.72,61
2016-10,26,26,12,21,7,10,0.65,31
2016-11,38,56,15,33,5,7,0.62,21
2016-12,54,87,37,53,6,19,0.98,19
2017-01,40,74,22,39,6,6,0.8,20
2017-02,44,33,23,41,4,7,0.96,22
2017-03,42,49,17,40,5,7,0.67,27
2017-04,34,45,11,26,3,8,0.78,39
2017-05,44,39,11,26,2,4,0.59,51
2017-06,21,15,9,13,3,3,0.7,40
2017-07,26,24,9,15,5,4,0.75,47
2017-08,27,33,10,18,8,4,0.74,52
2017-09,33,46,11,18,6,4,0.77,31
2017-10,24,36,8,16,6,5,0.74,23
2017-11,39,65,26,36,3,10,0.74,26
2017-12,45,95,31,39,3,11,0.61,13
2018-01,45,45,32,4,3,12,0.81,10
2018-02,43,53,24,30,3,10,0.49,35
2018-03,26,12,15,12,4,10,0.7,29
2018-04,29,3,6,9,5,9,0.58,27
2018-05,21,5,10,16,6,8,0.76,41
2018-06,25,31,8,19,6,9,0.65,41
2018-07,26,39,8,15,6,7,0.63,47
2018-08,31,33,12,23,6,7,0.66,52
2018-09,31,57,7,6,3,10,0.6,37
2018-10,35,39,20,24,5,15,0.65,35
2018-11,17,6,4,7,4,14,0.59,15
2018-12,45,144,28,8,3,13,0.63,11
2019-01,72,161,52,0,3,21,0.89,13
2019-02,36,107,24,21,2,7,0.87,22
2019-03,36,30,18,25,3,10,0.71,37
2019-04,26,15,12,21,3,11,0.73,39
2019-05,33,32,13,18,4,9,0.64,30
2019-06,26,42,9,16,4,10,0.73,45
2019-07,23,48,10,19,3,7,0.58,38
2019-08,21,24,11,18,4,8,0.6,60
2019-09,33,116,16,26,4,10,0.79,72
2019-10,23,41,11,18,4,9,0.56,24
2019-11,21,25,13,17,2,6,0.58,14
2019-12,41,82,26,35,2,12,0.47,11
2020-01,26,21,16,14,1,2,0.66,7
2020-02,15,12,9,12,2,1,0.5,22
2020-03,11,6,3,7,1,5,0.33,19
2020-04,29,27,18,19,3,8,0.47,51
2020-05,23,30,11,22,4,9,0.43,38
2020-06,16,20,6,10,3,6,0.3,42
2020-07,17,23,8,13,3,7,0.41,28
2020-08,18,40,8,14,4,7,0.33,35
2020-09,20,53,3,7,5,9,0.51,50
2020-10,19,44,1,5,5,9,0.5,28
2020-11,23,44,15,15,6,14,0.74,22
2020-12,47,200,28,45,7,14,0.72,10
2021-01,55,51,32,34,6,19,0.63,7
2021-02,29,50,18,15,6,9,0.53,13
2021-03,20,23,11,17,6,12,0.64,21
2021-04,21,8,11,16,6,8,0.58,15
2021-05,19,11,5,11,5,4,0.52,34
2021-06,21,37,9,18,5,7,0.48,40
2021-07,21,50,12,15,5,7,0.53,39
2021-08,23,61,6,9,5,5,0.49,41
2021-09,23,58,3,8,6,10,0.6,51
2021-10,22,82,9,15,6,9,0.54,34
2021-11,23,66,7,21,6,12,0.39,29
2021-12,50,113,25,33,5,12,0.48,12
2022-01,33,79,22,26,4,10,0.79,11
2022-02,44,89,31,34,5,4,0.72,36
2022-03,14,16,5,9,5,6,0.63,22
