年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-12,113.0,70.0,73.0,89.0,128.0,102.0,0.6,88.0
2014-01,77.5,45.0,55.5,68.5,76.5,80.5,0.66,51.0
2014-02,67.0,75.5,45.0,52.0,54.5,52.5,0.63,83.0
2014-03,86.0,76.5,56.0,75.5,43.5,57.5,0.79,69.5
2014-04,70.0,66.5,48.5,62.5,35.5,44.0,0.51,73.0
2014-05,92.0,107.0,55.0,79.0,16.0,45.0,0.63,97.0
2014-06,54.5,58.0,37.0,51.5,14.0,38.0,0.5700000000000001,50.0
2014-07,52.0,48.0,31.0,49.0,12.0,35.0,0.58,44.0
2014-08,59.0,84.0,41.0,54.0,14.0,33.0,0.69,36.0
2014-09,59.0,90.5,32.5,47.5,14.0,30.0,0.665,71.5
2014-10,70.0,70.0,38.0,72.0,14.0,34.0,0.48,79.0
2014-11,74.0,80.5,53.0,79.5,17.0,47.5,0.425,44.5
2014-12,99.0,129.0,72.0,123.0,14.0,51.0,0.89,30.0
2015-01,132.0,234.0,94.0,127.0,15.0,47.0,0.93,39.0
2015-02,85.5,168.0,54.5,98.5,12.0,33.5,0.53,53.0
2015-03,73.0,171.0,50.0,78.0,13.0,44.0,0.48,64.0
2015-04,80.0,224.0,51.0,85.5,14.0,45.5,0.575,82.0
2015-05,65.0,156.0,39.0,65.0,13.0,33.0,0.35,58.0
2015-06,64.5,200.0,40.5,60.0,12.0,26.5,0.655,61.5
2015-07,62.0,186.0,32.0,56.0,15.0,17.0,0.75,65.0
2015-08,64.0,223.0,35.0,55.0,13.0,22.0,0.74,82.0
2015-09,53.5,158.0,32.5,54.0,12.0,26.0,0.61,58.5
2015-10,80.0,229.0,55.0,90.0,13.0,37.0,0.64,57.0
2015-11,75.5,244.0,53.0,81.0,10.5,37.0,0.845,36.5
2015-12,102.0,245.0,75.0,109.0,23.0,52.0,1.09,28.0
2016-01,84.0,223.0,62.0,86.0,25.0,40.0,0.98,47.0
2016-02,84.0,217.0,60.0,79.0,19.0,30.0,0.79,61.0
2016-03,83.0,173.0,59.0,87.0,22.0,42.0,0.79,66.0
2016-04,74.0,243.0,49.5,84.0,18.0,45.5,0.7949999999999999,64.5
2016-05,66.0,196.0,42.0,68.0,17.0,37.0,0.76,80.0
2016-06,53.5,161.0,33.5,45.5,17.5,26.5,0.955,66.5
2016-07,63.0,271.0,35.0,57.0,18.0,26.0,1.03,68.0
2016-08,53.0,175.0,21.0,39.0,17.0,22.0,0.62,75.0
2016-09,56.0,145.5,34.5,48.0,14.0,28.5,0.735,66.0
2016-10,47.0,154.0,29.0,39.0,16.0,31.0,0.71,53.0
2016-11,72.5,201.5,50.5,71.0,22.0,44.5,0.895,32.5
2016-12,95.0,182.0,65.0,96.0,24.0,46.0,1.0,37.0
2017-01,81.0,137.0,55.0,84.0,17.0,37.0,0.86,46.0
2017-02,85.0,212.5,58.0,87.5,20.5,40.0,0.9,57.0
2017-03,70.0,197.0,46.0,72.0,19.0,37.0,0.7,71.0
2017-04,85.0,253.0,46.0,82.0,21.0,42.5,0.82,87.0
2017-05,69.0,188.0,39.0,61.0,19.0,35.0,0.77,83.0
2017-06,61.0,194.5,33.0,51.0,17.0,35.0,0.785,89.5
2017-07,67.0,223.0,32.0,48.0,16.0,31.0,0.58,90.0
2017-08,57.0,270.0,29.0,39.0,16.0,28.0,0.75,87.0
2017-09,51.5,160.0,30.0,44.5,17.0,33.0,0.715,76.0
2017-10,55.5,195.5,30.5,48.0,17.5,31.0,0.69,64.5
2017-11,68.5,198.5,44.5,74.0,20.5,51.5,0.8,41.0
2017-12,82.0,187.0,57.0,87.0,23.0,61.0,0.99,30.0
2018-01,85.0,225.0,59.0,84.0,22.0,50.0,0.89,41.0
2018-02,71.5,180.5,46.0,71.0,23.5,31.5,0.775,60.0
2018-03,66.0,167.0,43.0,62.0,22.0,44.0,0.75,64.0
2018-04,78.0,174.0,43.0,83.0,24.0,43.5,0.725,76.5
2018-05,66.0,212.0,40.0,64.0,21.0,33.0,0.79,81.0
2018-06,63.5,197.5,33.5,50.0,19.0,30.0,0.68,91.0
2018-07,41.0,108.0,21.0,36.0,16.0,23.0,0.54,54.0
2018-08,36.0,66.0,16.0,30.0,13.0,21.0,0.66,63.0
2018-09,49.0,205.0,24.0,38.0,13.0,31.0,0.61,75.0
2018-10,58.0,163.0,27.0,49.0,14.0,38.0,0.68,81.0
2018-11,60.5,210.5,37.5,46.5,14.5,42.0,0.715,54.0
2018-12,60.0,215.0,40.0,63.0,15.0,49.0,0.91,33.0
2019-01,78.0,169.0,52.0,85.0,14.0,45.0,0.84,43.0
2019-02,68.0,189.5,43.0,62.0,13.0,28.0,0.6599999999999999,67.0
2019-03,71.0,232.0,47.0,84.0,14.0,44.0,0.72,70.0
2019-04,58.0,194.5,33.0,62.0,12.0,38.0,0.65,70.5
2019-05,60.0,176.0,28.0,62.0,13.0,35.0,0.59,86.0
2019-06,54.0,193.0,23.0,39.0,11.0,29.0,0.58,87.0
2019-07,42.5,185.0,22.0,35.0,9.0,28.0,0.61,77.5
2019-08,44.0,178.5,18.0,35.0,6.5,27.5,0.65,67.5
2019-09,39.0,137.0,19.0,38.0,11.0,23.0,0.67,87.0
