年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,107.0,200.0,77.0,139.0,45.0,53.0,1.49,32.0
2015-02,102.0,250.0,66.5,129.0,39.0,38.5,1.55,48.0
2015-03,81.0,208.0,50.0,99.0,27.0,40.0,1.07,52.0
2015-04,74.0,216.0,39.0,94.0,12.0,43.0,0.955,56.0
2015-05,72.0,214.0,37.0,89.0,10.0,40.0,0.98,67.0
2015-06,73.5,258.5,34.0,90.0,8.0,37.5,0.855,58.0
2015-07,67.0,239.0,38.0,71.0,8.0,39.0,0.6,72.0
2015-08,53.0,135.0,22.0,47.0,9.0,45.0,0.71,69.0
2015-09,46.0,111.0,21.0,44.0,8.0,42.0,0.635,63.0
2015-10,55.0,101.0,24.0,61.0,16.0,54.0,0.83,37.0
2015-11,59.5,161.5,34.0,65.5,19.0,33.0,1.3,18.0
2015-12,83.0,229.0,56.0,95.0,44.0,52.0,1.84,32.0
2016-01,81.0,190.0,58.0,90.0,43.0,43.0,1.64,41.0
2016-02,65.0,169.0,30.0,74.0,36.0,35.0,1.27,58.0
2016-03,73.0,142.0,35.0,89.0,28.0,39.0,1.5,62.0
2016-04,54.5,127.0,19.0,56.0,13.0,32.5,1.0950000000000002,64.5
2016-05,80.0,251.0,41.0,100.0,11.0,25.0,0.75,85.0
2016-06,64.0,232.5,28.0,65.5,8.0,28.5,0.6799999999999999,80.5
2016-07,58.0,243.0,30.0,53.0,7.0,29.0,0.73,75.0
2016-08,57.0,238.0,35.0,38.0,8.0,26.0,0.81,82.0
2016-09,61.5,204.0,37.5,62.5,9.0,45.5,1.08,42.0
2016-10,54.0,183.0,35.0,51.0,9.0,46.0,1.28,31.0
2016-11,96.5,271.0,49.5,134.0,23.0,66.5,1.3399999999999999,28.0
2016-12,82.0,165.0,51.0,108.0,26.0,60.0,1.55,28.0
2017-01,85.0,171.0,46.0,111.0,30.0,46.0,1.21,40.0
2017-02,85.5,192.0,44.5,115.5,23.0,45.5,1.18,47.0
2017-03,68.0,170.0,33.0,81.0,12.0,44.0,0.92,52.0
2017-04,61.0,128.5,20.0,65.5,4.0,42.5,0.65,65.5
2017-05,56.0,111.0,17.0,54.0,4.0,43.0,0.58,70.0
2017-06,55.0,172.0,15.0,42.5,5.0,31.0,0.47,83.5
2017-07,51.0,167.0,16.0,41.0,2.0,28.0,0.38,77.0
2017-08,43.0,149.0,13.0,35.0,3.0,25.0,0.36,68.0
2017-09,57.5,214.5,19.5,66.5,4.0,33.0,0.42,47.5
2017-10,55.5,180.5,24.5,61.0,7.0,36.0,0.505,31.0
2017-11,72.0,207.5,30.0,92.0,19.0,51.5,0.85,32.5
2017-12,70.0,139.0,36.0,84.0,25.0,50.0,0.91,38.0
2018-01,74.0,174.0,40.0,85.0,21.0,40.0,0.88,46.0
2018-02,64.5,144.0,30.0,78.0,16.0,27.5,0.675,66.0
2018-03,81.0,228.0,30.0,110.0,9.0,41.0,0.64,60.0
2018-04,76.5,200.0,35.0,82.5,9.5,34.5,0.385,75.0
2018-05,71.0,216.0,36.0,78.0,7.0,30.0,0.41,86.0
2018-06,61.5,206.5,33.0,49.0,7.0,30.0,0.5,86.5
2018-07,54.0,215.0,33.0,46.0,5.0,25.0,0.48,66.0
2018-08,54.0,237.0,32.0,46.0,5.0,27.0,0.44,72.0
2018-09,40.0,126.0,20.0,38.0,4.0,30.0,0.41,50.0
2018-10,55.0,171.0,23.0,59.0,7.0,38.0,0.44,44.0
2018-11,68.0,232.5,36.0,83.5,12.0,41.0,0.555,41.0
2018-12,77.0,243.0,43.0,91.0,16.0,41.0,0.69,33.0
2019-01,68.0,146.0,42.0,76.0,11.0,42.0,0.81,42.0
2019-02,76.0,225.5,46.5,88.5,7.0,28.5,0.845,56.5
2019-03,63.0,184.0,23.0,68.0,9.0,35.0,0.54,60.0
2019-04,64.0,214.0,21.5,70.5,8.0,31.5,0.565,71.0
2019-05,61.0,178.0,13.0,57.0,7.0,28.0,0.55,75.0
2019-06,46.0,163.0,12.0,34.0,5.0,33.0,0.46,69.0
2019-07,35.5,133.5,7.0,27.5,6.0,30.0,0.41,69.5
2019-08,27.0,65.5,7.0,17.0,4.5,29.0,0.435,56.5
2019-09,33.0,73.0,11.0,29.0,5.0,32.5,0.46,54.0
2019-10,39.0,107.0,15.0,39.0,6.0,38.0,0.48,40.0
2019-11,56.5,142.0,24.0,63.5,10.0,43.0,0.75,25.0
2019-12,52.0,135.0,23.0,58.0,14.0,49.0,0.83,29.0
2020-01,64.0,164.0,39.0,70.0,10.0,35.0,0.82,48.0
2020-02,54.0,188.0,20.0,57.0,8.0,19.0,0.57,62.0
2020-03,63.0,262.0,23.0,76.0,7.0,36.0,0.44,59.0
2020-04,49.0,144.5,16.0,52.0,6.0,36.0,0.395,72.5
2020-05,47.0,168.0,13.0,48.0,6.0,28.0,0.31,80.0
2020-06,39.0,200.5,10.5,37.5,5.5,28.5,0.4,79.5
2020-07,30.0,135.0,9.0,26.0,5.0,28.0,0.41,69.0
2020-08,26.0,108.0,6.0,20.0,5.0,25.0,0.4,52.0
2020-09,34.5,131.0,9.0,31.5,5.0,33.0,0.455,55.0
2020-10,45.0,183.0,18.0,45.0,7.0,32.0,0.52,43.0
2020-11,61.0,234.0,33.0,72.0,12.0,46.5,0.61,36.0
2020-12,57.0,125.0,29.0,62.0,12.0,39.0,0.72,33.0
2021-01,56.0,146.0,22.0,66.0,14.0,41.0,0.8,40.0
2021-02,55.5,154.0,21.0,63.5,10.0,26.0,0.61,58.5
2021-03,83.0,261.0,31.0,116.0,6.0,36.0,0.66,53.0
2021-04,50.5,180.0,18.5,53.5,3.0,29.5,0.475,57.0
2021-05,48.0,217.0,12.0,52.0,3.0,31.0,0.3,74.0
2021-06,39.0,179.0,8.5,36.0,3.5,27.5,0.28,81.5
2021-07,32.0,191.0,7.0,21.0,3.0,32.0,0.3,79.0
2021-08,33.0,182.0,8.0,29.0,3.0,27.0,0.32,77.0
2021-09,26.5,95.5,8.0,24.5,3.5,29.0,0.25,49.0
2021-10,44.0,174.0,15.0,47.0,4.0,32.0,0.45,40.0
2021-11,54.0,162.0,19.0,61.0,7.0,41.5,0.555,42.5
2021-12,48.0,97.0,18.0,50.0,11.0,47.0,0.69,35.0
2022-01,69.0,191.0,48.0,78.0,8.0,41.0,0.91,40.0
2022-02,69.0,236.0,39.0,75.5,9.0,36.0,0.68,63.5
2022-03,81.5,267.5,32.5,114.0,6.0,33.5,0.52,59.5
