年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-12,163,155,96,282,64,20,0.03,20
2014-01,302,175,252,296,132,80,2.01,61
2014-02,316,186,340,443,70,50,2.0,108
2014-03,315,190,137,386,46,57,1.83,117
2014-04,190,186,145,204,60,52,1.33,155
2014-05,284,189,144,327,54,58,1.21,146
2014-06,164,173,123,139,41,45,1.23,142
2014-07,146,184,111,131,53,55,1.96,48
2014-08,211,190,112,136,24,37,2.08,257
2014-09,101,155,72,94,40,42,1.07,96
2014-10,123,139,92,143,27,58,1.24,86
2014-11,230,174,182,234,62,62,1.85,60
2014-12,291,216,244,304,123,46,1.97,51
2015-01,246,320,195,264,118,53,1.85,64
2015-02,175,309,137,258,80,32,1.56,59
2015-03,212,350,140,295,73,66,1.57,96
2015-04,116,317,76,132,60,44,0.96,114
2015-05,97,285,63,141,30,35,0.88,102
2015-06,105,311,77,135,33,33,0.68,116
2015-07,116,351,68,104,29,50,0.55,131
2015-08,149,361,76,119,48,47,1.04,201
2015-09,106,323,76,141,27,53,0.97,108
2015-10,146,362,105,206,45,71,1.2,140
2015-11,157,312,118,172,58,71,2.38,58
2015-12,326,355,267,386,120,105,3.18,45
2016-01,292,355,241,343,91,104,2.97,69
2016-02,193,336,142,226,74,69,2.41,80
2016-03,179,334,138,239,54,65,1.27,121
2016-04,333,362,129,441,33,53,1.42,150
2016-05,167,350,80,211,28,56,1.15,164
2016-06,128,363,67,116,18,36,0.91,173
2016-07,139,355,95,117,20,27,1.0,122
2016-08,101,346,53,110,24,56,0.93,110
2016-09,117,355,74,125,20,52,0.97,140
2016-10,107,352,80,135,17,52,1.03,91
2016-11,156,332,122,240,74,77,1.8,63
2016-12,304,326,255,309,54,76,3.17,57
2017-01,248,344,197,259,61,88,2.62,67
2017-02,235,341,186,215,64,55,1.76,92
2017-03,139,346,105,143,32,57,1.3,117
2017-04,105,314,68,139,31,37,1.04,115
2017-05,235,363,92,339,21,45,0.77,184
2017-06,167,363,96,166,21,37,0.91,216
2017-07,137,364,91,95,22,26,0.97,160
2017-08,279,365,63,14982,12,35,0.93,152
2017-09,111,354,54,116,17,46,0.92,135
2017-10,140,334,105,164,28,47,1.59,103
2017-11,140,356,103,184,47,72,1.48,85
2017-12,204,317,162,253,54,72,2.74,50
2018-01,222,336,177,268,55,73,3.17,62
2018-02,132,340,98,146,40,53,1.54,77
2018-03,150,347,102,163,28,52,1.29,111
2018-04,136,348,68,184,25,48,1.02,153
2018-05,105,332,60,139,16,34,1.01,150
2018-06,112,352,54,83,10,28,0.78,164
2018-07,99,361,71,76,12,24,0.99,121
2018-08,74,296,35,62,54,27,0.82,124
2018-09,107,363,44,79,14,44,1.18,145
2018-10,115,342,83,151,12,57,1.01,131
2018-11,345,358,189,462,20,68,4.35,70
2018-12,178,351,134,255,39,92,2.68,59
2019-01,266,335,216,272,53,79,3.05,63
2019-02,203,345,158,278,25,55,2.28,76
2019-03,198,345,151,273,26,59,1.85,108
2019-04,177,349,73,276,17,40,1.12,126
2019-05,124,355,58,149,14,43,1.2,137
2019-06,112,355,63,152,7,36,0.98,113
2019-07,96,365,62,97,12,49,0.99,145
2019-08,105,366,58,115,9,28,1.11,129
2019-09,124,365,85,151,17,33,1.3,158
2019-10,156,361,106,254,18,56,1.15,121
2019-11,126,356,94,165,20,50,1.23,66
2019-12,205,335,160,221,28,61,2.0,48
2020-01,221,340,173,228,43,71,2.04,80
2020-02,178,353,136,166,21,31,1.55,78
2020-03,125,342,91,163,16,46,2.19,100
2020-04,111,355,230,285,18,54,1.14,159
2020-05,85,350,49,110,13,31,0.93,140
2020-06,150,366,665,707,11,40,1.01,170
2020-07,91,359,243,260,12,30,0.78,149
2020-08,71,357,38,69,8,28,0.76,126
2020-09,85,350,46,76,13,37,1.16,155
2020-10,135,353,96,152,15,58,1.19,103
2020-11,148,360,106,192,18,52,1.17,73
2020-12,255,364,205,257,25,70,2.05,56
2021-01,163,355,124,232,28,54,1.55,67
2021-02,140,359,105,162,21,43,1.32,81
2021-03,339,339,150,628,18,47,1.24,113
2021-04,154,334,71,254,15,32,0.68,129
2021-05,254,354,118,335,10,28,0.78,138
2021-06,85,348,36,78,11,33,1.35,192
2021-07,54,322,29,51,12,30,1.66,119
2021-08,59,325,38,58,12,27,0.83,139
2021-09,59,345,26,53,11,25,0.7,111
2021-10,140,358,106,156,13,54,1.06,122
2021-11,153,344,116,189,23,71,1.03,100
2021-12,187,366,141,192,19,55,1.59,55
