年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,133,319,100,140,68,62,2.47,81
2015-02,98,191,73,110,37,35,1.86,81
2015-03,134,332,47,215,41,52,1.22,101
2015-04,81,216,44,96,52,36,0.92,105
2015-05,84,344,40,113,26,26,0.71,113
2015-06,74,325,27,96,28,33,0.6,110
2015-07,80,286,41,108,29,31,0.52,115
2015-08,80,243,52,101,22,40,0.45,109
2015-09,50,155,18,50,23,37,0.59,90
2015-10,88,316,45,126,24,59,0.76,100
2015-11,67,201,38,83,26,55,1.7,68
2015-12,116,274,87,143,31,79,1.55,71
2016-01,143,319,108,175,37,62,1.6,81
2016-02,186,355,121,296,66,60,1.93,87
2016-03,239,335,58,352,27,65,1.06,106
2016-04,75,297,36,92,32,53,0.79,100
2016-05,110,338,48,167,22,44,0.77,110
2016-06,80,293,26,84,28,31,0.69,125
2016-07,58,242,12,40,25,34,0.81,92
2016-08,60,224,18,63,20,29,0.95,79
2016-09,68,255,33,84,24,45,1.05,88
2016-10,81,289,34,110,31,42,0.89,93
2016-11,109,285,59,166,29,57,1.86,67
2016-12,135,277,99,192,32,65,1.98,65
2017-01,209,327,107,290,29,73,1.96,74
2017-02,108,289,79,158,25,63,1.6,87
2017-03,146,352,42,209,28,53,1.32,81
2017-04,100,276,36,148,28,61,1.01,95
2017-05,118,273,61,183,23,53,1.15,93
2017-06,72,250,44,91,35,44,0.79,98
2017-07,66,222,20,58,31,39,0.91,103
2017-08,48,176,15,45,33,37,1.12,90
2017-09,49,171,23,50,26,42,1.14,86
2017-10,53,114,25,56,25,40,1.4,59
2017-11,83,256,60,100,25,54,1.47,62
2017-12,411,354,102,618,34,71,1.84,57
2018-01,110,252,81,139,29,86,1.62,72
2018-02,159,298,119,166,30,54,1.32,90
2018-03,93,256,69,108,31,62,1.03,87
2018-04,142,352,47,229,31,58,0.86,97
2018-05,152,358,57,251,29,43,0.87,107
2018-06,66,207,22,61,26,38,0.9,108
2018-07,55,228,23,48,28,36,0.98,76
2018-08,64,258,21,49,29,31,0.94,94
2018-09,45,181,22,42,17,31,0.8,80
2018-10,61,220,40,68,19,40,0.78,65
2018-11,96,280,59,137,17,42,1.01,67
2018-12,249,362,105,371,16,61,1.54,53
2019-01,102,305,76,115,22,67,1.8,63
2019-02,105,297,78,121,14,58,1.2,65
2019-03,84,310,61,104,23,44,0.88,77
2019-04,59,234,37,66,19,47,0.9,84
2019-05,148,347,86,213,14,36,0.78,88
2019-06,61,213,33,67,19,45,0.58,87
2019-07,44,238,21,45,14,29,0.56,57
2019-08,55,257,36,59,12,35,0.88,72
2019-09,81,282,59,91,18,43,1.13,74
2019-10,59,164,41,58,12,42,0.84,56
2019-11,78,243,46,107,14,50,0.66,60
2019-12,108,317,81,119,22,56,1.29,56
2020-01,131,341,99,132,16,63,1.35,74
2020-02,106,336,80,111,26,56,1.1,72
2020-03,162,355,62,217,41,63,0.91,77
2020-04,59,213,34,68,23,48,0.66,97
2020-05,74,349,45,100,18,44,0.73,123
2020-06,51,264,30,54,15,37,0.73,103
2020-07,50,276,22,52,22,39,0.66,82
2020-08,49,332,27,52,22,38,0.79,64
2020-09,48,200,27,49,28,37,0.81,61
2020-10,59,141,36,69,33,40,0.8,66
2020-11,72,273,52,79,47,53,1.68,77
2020-12,114,259,86,122,26,53,1.31,66
2021-01,147,303,112,146,25,74,2.05,64
2021-02,135,316,102,121,19,51,1.21,60
2021-03,176,316,64,293,20,52,1.11,84
2021-04,62,187,29,73,11,41,0.97,88
2021-05,85,314,44,121,15,35,0.78,96
2021-06,57,254,25,48,15,45,0.76,98
2021-07,52,288,24,41,8,25,0.58,90
2021-08,54,304,24,44,7,25,0.9,96
2021-09,40,179,24,39,9,29,0.99,68
2021-10,51,233,30,53,13,32,1.21,74
2021-11,107,331,80,104,13,44,1.94,59
2021-12,93,307,69,98,26,56,1.76,59
2022-01,135,277,103,128,22,51,2.27,63
2022-02,78,244,57,68,16,46,1.56,70
2022-03,100,283,52,146,20,58,1.16,68
