年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,29,11,7,19,18,12,0.39,10
2015-02,23,3,8,18,7,6,0.51,21
2015-03,30,8,6,19,8,9,0.53,24
2015-04,35,18,6,13,2,10,0.34,39
2015-05,36,14,7,21,13,11,0.23,54
2015-06,18,4,6,12,11,10,0.3,17
2015-07,25,5,5,21,11,16,0.23,28
2015-08,29,42,4,16,12,19,0.18,31
2015-09,25,8,4,15,7,13,0.28,25
2015-10,29,11,3,24,9,19,0.33,30
2015-11,19,2,4,16,9,20,0.56,8
2015-12,31,15,9,27,8,25,0.65,8
2016-01,44,61,8,31,10,14,0.89,7
2016-02,43,66,10,42,4,6,0.67,7
2016-03,42,40,10,31,8,17,0.45,15
2016-04,35,11,8,26,9,20,0.35,31
2016-05,39,14,6,17,8,13,0.25,51
2016-06,32,57,6,16,12,14,0.2,57
2016-07,25,17,4,17,12,16,0.31,21
2016-08,27,13,5,17,12,13,0.33,31
2016-09,32,17,6,27,11,20,0.28,23
2016-10,21,3,5,15,8,10,0.42,13
2016-11,31,52,6,29,8,10,0.62,6
2016-12,42,58,9,45,10,18,0.73,3
2017-01,31,8,9,30,10,11,0.77,5
2017-02,34,24,6,27,8,13,0.68,7
2017-03,26,6,9,15,11,17,0.71,8
2017-04,33,7,6,16,9,16,0.46,13
2017-05,37,24,7,32,9,16,0.59,18
2017-06,35,33,4,18,12,18,0.43,35
2017-07,26,34,5,18,15,16,0.5,30
2017-08,20,6,5,10,10,12,0.52,28
2017-09,19,2,5,11,10,17,0.56,12
2017-10,14,1,5,11,11,10,0.48,5
2017-11,21,1,7,20,10,15,0.39,4
2017-12,41,26,11,38,14,25,0.57,8
2018-01,28,24,10,23,12,15,0.53,5
2018-02,30,34,12,22,10,10,0.5,19
2018-03,26,1,6,14,15,13,0.59,25
2018-04,30,9,7,13,8,11,0.35,20
2018-05,22,2,9,17,12,12,0.33,34
2018-06,26,9,7,17,12,14,0.33,13
2018-07,21,3,6,11,12,15,0.53,16
2018-08,29,30,8,20,17,13,0.52,42
2018-09,15,1,6,12,8,9,0.47,16
2018-10,24,12,11,20,5,19,0.41,10
2018-11,25,22,11,21,3,7,0.27,4
2018-12,46,74,30,44,4,11,0.64,3
2019-01,42,54,13,36,3,23,1.02,5
2019-02,48,71,15,44,4,10,0.54,9
2019-03,32,29,13,25,6,10,0.39,23
2019-04,22,3,9,17,5,11,0.33,25
2019-05,30,21,8,15,5,9,0.22,20
2019-06,22,32,6,13,4,13,0.18,16
2019-07,18,9,7,17,6,18,0.25,25
2019-08,19,10,5,13,5,14,0.33,35
2019-09,16,7,5,13,3,10,0.37,3
2019-10,15,8,7,14,3,14,0.25,4
2019-11,21,22,11,19,4,11,0.19,4
2019-12,33,46,17,32,5,20,0.31,2
2020-01,33,42,19,32,4,15,0.53,5
2020-02,32,111,15,30,5,8,0.27,11
2020-03,18,25,7,17,7,13,0.2,14
2020-04,19,18,9,16,4,16,0.25,32
2020-05,23,21,8,16,3,11,0.25,52
2020-06,19,38,6,12,2,14,0.26,45
2020-07,15,9,6,12,2,12,0.35,12
2020-08,19,28,6,14,5,17,0.33,12
2020-09,15,16,7,12,3,16,0.33,13
2020-10,15,11,7,13,2,10,0.31,13
2020-11,20,23,12,19,1,10,0.35,8
2020-12,31,38,17,29,1,15,0.31,5
2021-01,41,57,20,41,2,16,0.53,7
2021-02,17,23,8,14,3,12,0.5,29
2021-03,24,17,11,22,1,11,0.35,13
2021-04,16,4,5,13,2,9,0.46,9
2021-05,25,42,8,17,2,7,0.25,35
2021-06,15,8,5,11,2,7,0.25,12
2021-07,16,15,7,14,3,9,0.33,32
2021-08,14,10,5,10,2,9,0.35,10
2021-09,14,9,6,10,2,13,0.47,4
2021-10,11,5,4,9,1,5,0.42,3
2021-11,23,22,13,22,2,12,0.58,3
2021-12,31,26,16,28,2,13,0.32,4
2022-01,24,32,16,21,2,15,0.94,3
2022-02,25,47,16,21,3,12,0.58,15
2022-03,19,29,7,12,4,10,0.41,15
