年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-12,113.0,69.0,103.0,140.0,37.0,40.0,1.86,25.0
2014-01,130.0,101.5,88.0,196.0,24.5,35.5,1.38,45.0
2014-02,121.5,148.0,62.0,188.5,14.0,23.0,0.685,64.5
2014-03,240.0,187.0,96.0,353.5,18.0,30.5,0.64,74.5
2014-04,169.5,182.5,70.0,272.5,8.5,26.5,0.51,80.5
2014-05,204.0,188.0,83.0,344.0,18.0,24.0,0.56,85.0
2014-06,75.5,103.5,29.0,95.0,22.0,23.0,0.71,90.0
2014-07,65.0,100.0,28.0,75.0,18.0,21.0,0.58,88.0
2014-08,73.0,143.0,33.0,92.0,5.0,25.0,0.93,87.0
2014-09,105.0,184.0,54.5,154.5,9.0,34.5,1.495,62.5
2014-10,117.0,147.0,58.0,180.0,9.0,46.0,1.66,45.0
2014-11,82.0,79.0,47.0,103.5,6.5,37.0,1.53,38.0
2014-12,113.0,126.0,68.0,138.0,10.0,44.0,2.18,35.0
2015-01,108.0,193.0,80.0,103.0,14.0,42.0,1.72,43.0
2015-02,86.5,191.0,50.0,111.5,9.0,26.0,1.475,51.5
2015-03,224.0,358.0,58.0,337.0,8.0,25.0,1.57,65.0
2015-04,114.0,317.5,39.5,169.5,4.0,24.0,1.12,80.0
2015-05,85.0,276.0,37.0,112.0,3.0,20.0,0.68,90.0
2015-06,62.0,207.0,25.5,66.5,5.0,16.5,1.145,90.0
2015-07,70.0,232.0,26.0,70.0,6.0,22.0,1.13,89.0
2015-08,70.0,266.0,30.0,85.0,5.0,23.0,1.4,81.0
2015-09,50.5,158.0,21.5,47.5,6.0,22.0,0.82,72.5
2015-10,93.0,276.0,41.0,134.0,8.0,33.0,1.13,49.0
2015-11,88.0,273.0,47.5,107.0,6.5,34.5,1.5750000000000002,36.5
2015-12,77.0,152.0,55.0,70.0,7.0,31.0,1.25,33.0
2016-01,92.0,246.0,60.0,107.0,10.0,33.0,1.35,41.0
2016-02,319.0,363.0,79.0,473.0,16.0,29.0,1.72,45.0
2016-03,280.0,363.0,80.0,415.0,11.0,29.0,0.92,55.0
2016-04,100.5,302.5,35.0,145.0,6.0,23.0,0.6,75.0
2016-05,152.0,359.0,50.0,252.0,6.0,18.0,0.78,71.0
2016-06,62.0,219.5,24.0,70.0,5.5,21.0,0.67,84.0
2016-07,67.0,268.0,29.0,75.0,3.0,21.0,0.94,81.0
2016-08,54.0,182.0,25.0,58.0,2.0,21.0,0.83,74.0
2016-09,69.5,240.5,27.0,89.5,6.0,27.5,0.925,63.0
2016-10,112.0,336.0,40.0,173.0,6.0,30.0,1.58,43.0
2016-11,100.5,259.5,48.5,148.5,6.5,37.5,1.355,39.0
2016-12,101.0,221.0,73.0,110.0,7.0,39.0,1.54,31.0
2017-01,85.0,150.0,44.0,84.0,9.0,31.0,1.63,39.0
2017-02,127.0,302.0,57.5,205.0,10.5,33.0,1.885,48.5
2017-03,121.0,328.0,47.0,187.0,8.0,30.0,1.61,64.0
2017-04,59.5,144.0,24.0,63.0,5.0,21.0,0.89,74.5
2017-05,70.0,159.0,38.0,86.0,8.0,18.0,1.15,86.0
2017-06,65.0,235.5,27.5,77.0,5.0,17.0,1.255,85.0
2017-07,69.0,279.0,27.0,83.0,4.0,18.0,1.43,91.0
2017-08,67.0,293.0,25.0,78.0,4.0,20.0,1.45,92.0
2017-09,81.5,326.5,34.0,111.5,4.0,30.0,1.55,69.5
2017-10,110.0,338.5,41.0,163.5,7.0,36.5,1.7149999999999999,56.0
2017-11,104.5,302.0,47.5,157.0,10.0,50.0,1.73,41.0
2017-12,94.0,211.0,55.0,104.0,9.0,35.0,1.53,38.0
2018-01,96.0,230.0,47.0,141.0,8.0,33.0,1.51,44.0
2018-02,95.0,265.5,52.0,138.0,6.0,31.5,1.51,51.5
2018-03,214.0,361.0,70.0,307.0,7.0,24.0,0.73,72.0
2018-04,157.0,347.0,64.0,232.0,6.0,13.0,0.44,80.5
2018-05,151.0,359.0,67.0,229.0,5.0,12.0,0.34,85.0
2018-06,66.0,231.0,26.0,73.0,5.0,13.0,0.415,96.5
2018-07,67.0,303.0,20.0,65.0,5.0,12.0,0.3,103.0
2018-08,62.0,246.0,19.0,68.0,5.0,13.0,0.43,89.0
2018-09,82.0,357.0,37.0,111.0,6.0,14.0,0.56,62.0
2018-10,74.0,298.0,27.0,97.0,5.0,23.0,0.56,47.0
2018-11,88.5,246.0,35.0,124.5,5.5,23.0,0.62,45.5
2018-12,126.0,301.0,50.0,199.0,5.0,23.0,0.77,36.0
2019-01,136.0,282.0,85.0,199.0,5.0,26.0,1.28,42.0
2019-02,146.0,321.5,53.0,240.5,5.0,18.5,0.615,52.5
2019-03,124.0,349.0,40.0,191.0,4.0,25.0,0.58,79.0
2019-04,95.0,319.5,30.0,130.5,4.0,17.5,0.45,74.0
2019-05,70.0,232.0,26.0,86.0,5.0,14.0,0.46,86.0
2019-06,63.0,261.0,20.0,72.0,4.0,15.0,0.61,92.0
2019-07,68.5,314.5,29.0,89.0,5.5,14.0,0.595,94.0
2019-08,57.5,304.5,24.5,68.5,4.0,15.5,0.73,83.0
2019-09,68.5,313.5,25.5,87.5,4.0,21.0,0.67,76.5
2019-10,82.0,325.0,34.0,115.0,4.0,27.0,0.55,50.0
2019-11,98.0,334.5,49.5,145.0,5.0,36.5,0.655,43.0
2019-12,80.0,235.0,51.0,107.0,4.0,33.0,0.93,41.0
2020-01,73.0,190.0,50.0,78.0,5.0,19.0,0.85,52.0
2020-02,81.0,307.0,53.0,90.0,8.0,9.0,0.64,69.0
2020-03,146.0,362.0,58.0,242.0,5.0,10.0,0.51,77.0
2020-04,88.5,349.5,38.0,127.0,4.0,18.0,0.46499999999999997,73.0
2020-05,68.0,302.0,27.0,85.0,4.0,10.0,0.46,94.0
2020-06,62.5,294.0,22.5,78.5,4.0,11.0,0.46,93.0
2020-07,47.0,261.0,17.0,54.0,2.0,14.0,0.49,85.0
2020-08,43.0,277.0,16.0,42.0,5.0,9.0,0.71,88.0
2020-09,60.5,331.0,24.0,78.0,4.0,19.5,0.625,70.5
2020-10,106.0,358.0,44.0,160.0,5.0,32.0,0.58,47.0
2020-11,89.5,319.5,38.5,130.0,5.0,37.0,0.71,39.5
2020-12,74.0,216.0,48.0,90.0,4.0,30.0,0.68,36.0
2021-01,97.0,306.0,47.0,143.0,4.0,32.0,0.71,44.0
2021-02,101.0,314.0,43.5,152.0,4.0,24.5,0.62,59.0
2021-03,175.0,355.0,66.0,289.0,3.0,21.0,0.42,65.0
2021-04,72.0,296.5,27.5,96.0,3.0,22.0,0.36,84.5
2021-05,73.0,304.0,22.0,96.0,4.0,15.0,0.36,85.0
2021-06,43.0,221.5,12.5,39.0,4.0,15.5,0.335,90.0
2021-07,56.0,332.0,20.0,64.0,4.0,16.0,0.35,94.0
2021-08,55.0,328.0,21.0,65.0,4.0,15.0,0.34,97.0
2021-09,61.5,342.0,22.5,76.5,4.0,21.5,0.355,80.5
2021-10,107.0,353.0,33.0,164.0,3.0,27.0,0.5,53.0
2021-11,184.5,362.5,63.5,306.5,4.0,38.0,0.45,39.0
