年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10,113,58,77,135,39,36,2.14,26
2013-11,500,114,534,246,65,76,3.3,44
2013-12,152,62,117,173,127,69,3.76,34
2014-01,260,147,205,273,121,61,3.3,31
2014-02,204,183,156,222,78,66,4.13,54
2014-03,255,185,134,429,57,55,2.92,49
2014-04,258,187,84,361,21,49,3.29,84
2014-05,220,180,92,320,17,62,1.84,85
2014-06,116,184,85,156,12,54,2.83,101
2014-07,102,169,58,131,12,46,2.29,95
2014-08,117,174,80,161,11,43,1.6,77
2014-09,109,170,81,141,11,47,1.96,54
2014-10,193,170,141,245,28,75,2.87,56
2014-11,144,176,109,177,70,70,3.14,61
2014-12,155,143,116,196,138,73,4.95,53
2015-01,211,455,163,227,160,92,6.44,46
2015-02,176,354,118,263,81,60,3.7,62
2015-03,124,310,86,196,53,60,3.65,72
2015-04,193,350,59,290,19,55,2.46,85
2015-05,114,322,57,172,14,60,1.79,84
2015-06,139,344,57,225,10,58,1.44,123
2015-07,127,346,92,135,17,56,1.44,109
2015-08,131,340,59,194,10,42,1.48,80
2015-09,95,336,70,119,12,53,1.6,76
2015-10,117,334,83,161,22,49,1.61,56
2015-11,116,336,80,170,51,70,2.3,50
2015-12,182,331,137,172,80,85,3.06,63
2016-01,204,356,158,204,108,68,2.79,77
2016-02,180,351,134,251,84,54,1.91,86
2016-03,274,356,122,461,50,81,1.8,146
2016-04,122,341,51,192,12,68,1.89,98
2016-05,160,345,67,253,14,59,1.57,133
2016-06,98,327,43,105,10,58,1.62,107
2016-07,94,329,66,108,9,44,1.69,126
2016-08,92,350,67,88,11,56,1.72,71
2016-09,82,303,58,98,19,51,1.63,58
2016-10,119,344,66,164,23,51,2.24,62
2016-11,151,337,113,246,96,91,2.97,50
2016-12,165,333,125,182,90,84,3.74,49
2017-01,221,332,125,316,110,86,3.26,74
2017-02,150,330,114,160,98,79,3.35,65
2017-03,123,316,92,138,67,70,2.32,91
2017-04,293,358,87,409,24,60,1.54,76
2017-05,204,307,118,460,15,58,1.38,88
2017-06,105,311,50,132,14,54,1.32,106
2017-07,108,351,57,136,14,62,1.42,109
2017-08,88,342,59,107,12,45,1.36,90
2017-09,90,342,64,114,11,64,1.46,76
2017-10,101,324,75,121,19,51,1.81,67
2017-11,122,346,86,151,58,75,2.97,36
2017-12,288,353,119,371,73,87,3.46,41
2018-01,124,332,75,195,100,81,3.17,78
2018-02,316,358,102,496,112,61,2.52,63
2018-03,144,331,79,228,50,66,1.94,91
2018-04,228,360,82,318,20,66,1.51,102
2018-05,188,353,111,420,15,55,1.44,120
2018-06,99,312,46,121,14,55,1.3,108
2018-07,75,322,48,86,10,39,1.45,81
2018-08,82,337,52,89,12,35,1.97,91
2018-09,63,314,39,75,12,48,1.29,67
2018-10,93,356,69,94,19,57,1.43,82
2018-11,168,294,81,239,42,71,2.33,44
2018-12,237,337,74,344,45,71,2.91,51
2019-01,180,347,135,168,50,70,2.7,53
2019-02,124,347,93,130,22,65,1.71,52
2019-03,160,346,82,234,16,74,1.56,64
2019-04,109,349,56,166,14,63,1.0,133
2019-05,286,351,139,570,9,47,0.91,103
2019-06,76,335,34,98,9,72,0.75,146
2019-07,70,325,29,77,5,47,0.81,107
2019-08,58,310,22,49,5,45,0.76,97
2019-09,62,292,33,69,5,50,1.04,106
2019-10,151,352,55,239,6,54,1.21,47
2019-11,106,349,77,162,20,70,1.88,61
2019-12,120,293,90,94,17,65,2.0,46
2020-01,140,330,106,113,18,65,2.4,60
2020-02,132,360,100,168,21,61,1.73,77
2020-03,124,353,54,212,9,53,1.04,69
2020-04,121,343,91,138,9,58,0.87,87
2020-05,198,364,74,294,6,63,0.78,102
2020-06,73,336,40,92,4,41,0.67,99
2020-07,55,299,33,58,4,27,0.7,97
2020-08,56,319,33,59,4,33,0.77,77
2020-09,76,346,55,78,7,48,1.08,66
2020-10,121,336,65,193,7,58,1.3,61
2020-11,132,332,99,113,13,76,1.71,72
2020-12,98,323,66,144,17,63,2.25,60
2021-01,211,360,121,298,20,82,2.5,44
2021-02,115,356,87,117,15,59,1.61,67
2021-03,500,362,469,2952,10,55,1.26,102
2021-04,267,356,84,414,6,50,0.92,79
2021-05,237,356,101,337,4,37,0.76,89
2021-06,81,354,49,111,5,41,0.78,105
2021-07,56,350,29,65,3,34,0.83,124
2021-08,64,344,34,57,5,36,0.89,109
2021-09,52,284,25,56,5,35,0.84,74
2021-10,65,346,37,81,6,48,0.95,46
2021-11,112,336,83,145,12,67,1.62,54
2021-12,77,259,54,89,13,58,1.68,46
2022-01,151,305,115,107,14,49,1.98,57
2022-02,128,317,56,175,10,52,1.71,56
2022-03,388,332,150,617,10,68,1.5,76
