年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,78.0,135.0,56.0,67.0,57.0,25.0,0.87,37.0
2015-02,62.5,120.0,41.5,57.0,35.0,22.5,0.69,47.0
2015-03,65.0,139.0,40.0,59.0,25.0,22.0,0.68,70.0
2015-04,66.0,142.0,39.5,58.0,14.0,21.0,0.785,67.5
2015-05,47.0,83.0,18.0,39.0,5.0,16.0,0.6,75.0
2015-06,40.0,86.0,16.5,27.0,2.0,17.0,0.6,66.5
2015-07,38.0,59.0,13.0,28.0,2.0,17.0,0.53,64.0
2015-08,31.0,36.0,12.0,25.0,3.0,14.0,0.5,48.0
2015-09,34.5,53.0,15.5,32.0,2.0,16.0,0.495,39.5
2015-10,51.0,76.0,26.0,47.0,6.0,22.0,0.6,44.0
2015-11,70.0,189.5,50.0,59.5,15.0,31.5,0.8200000000000001,34.5
2015-12,90.0,184.0,66.0,83.0,30.0,42.0,1.0,23.0
2016-01,58.0,116.0,40.0,53.0,26.0,23.0,0.67,48.0
2016-02,59.0,117.0,37.0,53.0,21.0,24.0,0.65,54.0
2016-03,60.0,92.0,36.0,61.0,14.0,23.0,0.8,67.0
2016-04,55.5,132.0,25.0,52.0,6.5,18.0,0.985,79.5
2016-05,50.0,75.0,16.0,40.0,4.0,17.0,0.73,83.0
2016-06,35.5,50.0,13.5,24.0,3.0,14.5,0.96,59.0
2016-07,32.0,58.0,12.0,25.0,3.0,12.0,0.88,53.0
2016-08,33.0,47.0,13.0,26.0,3.0,15.0,0.8,44.0
2016-09,33.0,41.5,13.5,29.0,5.0,15.0,0.985,36.5
2016-10,46.0,125.0,24.0,46.0,9.0,23.0,0.88,40.0
2016-11,67.0,150.0,46.0,62.5,20.0,30.0,1.2149999999999999,39.0
2016-12,67.0,107.0,48.0,56.0,25.0,36.0,1.19,46.0
2017-01,68.0,131.0,48.0,59.0,29.0,29.0,1.16,60.0
2017-02,56.5,105.5,30.0,40.0,22.0,23.5,0.84,75.5
2017-03,54.0,123.0,31.0,45.0,14.0,24.0,0.86,79.0
2017-04,68.0,200.0,31.5,59.0,8.5,22.0,0.83,81.5
2017-05,48.0,73.0,19.0,37.0,8.0,17.0,0.72,79.0
2017-06,37.0,70.5,12.0,23.0,9.0,17.0,0.83,66.5
2017-07,39.0,90.0,15.0,26.0,6.0,14.0,0.86,67.0
2017-08,29.0,30.0,10.0,21.0,7.0,10.0,0.67,46.0
2017-09,32.5,37.0,14.0,28.5,7.0,15.0,0.72,43.0
2017-10,48.5,160.5,27.5,46.0,11.0,26.0,0.895,37.0
2017-11,56.0,112.0,34.0,49.0,15.0,25.5,0.84,38.0
2017-12,56.0,98.0,32.0,47.0,18.0,27.0,0.92,49.0
2018-01,49.0,87.0,30.0,45.0,17.0,22.0,0.82,67.0
2018-02,63.5,136.5,37.5,56.0,19.0,20.0,0.755,71.5
2018-03,58.0,159.0,33.0,50.0,15.0,21.0,0.82,81.0
2018-04,67.5,153.0,32.5,58.5,9.0,17.5,0.595,98.0
2018-05,51.0,113.0,17.0,34.0,6.0,14.0,0.45,86.0
2018-06,36.5,73.5,13.0,22.5,7.0,15.0,0.485,70.5
2018-07,34.0,78.0,12.0,25.0,2.0,14.0,0.49,51.0
2018-08,29.0,31.0,9.0,23.0,4.0,13.0,0.53,44.0
2018-09,28.0,38.0,10.0,26.0,4.0,15.0,0.45,33.0
2018-10,36.0,44.0,16.0,34.0,4.0,20.0,0.47,33.0
2018-11,48.5,118.5,26.5,45.5,10.0,25.0,0.72,26.5
2018-12,57.0,131.0,32.0,49.0,12.0,23.0,0.79,37.0
2019-01,54.0,110.0,31.0,52.0,14.0,21.0,0.71,44.0
2019-02,62.0,169.5,39.5,60.5,12.0,18.5,0.69,58.0
2019-03,54.0,150.0,28.0,56.0,9.0,16.0,0.57,64.0
2019-04,55.0,158.0,23.5,48.0,6.0,16.0,0.57,76.5
2019-05,44.0,82.0,16.0,35.0,4.0,15.0,0.51,81.0
2019-06,36.0,104.0,11.0,21.0,4.0,12.0,0.45,73.0
2019-07,27.5,47.0,8.5,18.5,5.0,9.5,0.445,51.5
2019-08,24.0,51.0,9.5,19.0,4.5,9.0,0.48,42.0
2019-09,26.0,40.5,10.0,26.0,4.0,12.5,0.485,37.5
2019-10,38.0,98.0,20.0,39.0,5.0,18.0,0.59,38.0
2019-11,38.5,64.0,21.5,36.5,11.0,21.0,0.54,39.5
2019-12,54.0,152.0,38.0,52.0,15.0,25.0,0.73,37.0
2020-01,64.0,163.0,45.0,56.0,18.0,25.0,0.83,48.0
2020-02,37.0,109.0,24.0,31.0,16.0,13.0,0.57,64.0
2020-03,39.0,124.0,21.0,35.0,12.0,14.0,0.56,74.0
2020-04,40.0,63.5,21.0,35.5,9.0,12.5,0.47,75.0
2020-05,29.0,41.0,13.0,23.0,8.0,11.0,0.47,71.0
2020-06,24.5,76.5,9.5,19.5,8.5,11.0,0.415,62.0
2020-07,26.0,95.0,9.0,23.0,9.0,10.0,0.43,53.0
2020-08,24.0,64.0,8.0,20.0,9.0,10.0,0.52,50.0
2020-09,22.0,55.5,9.0,19.0,6.0,9.5,0.52,38.0
2020-10,33.0,73.0,16.0,33.0,7.0,15.0,0.56,45.0
2020-11,38.0,73.0,19.0,37.0,11.0,14.5,0.54,42.5
2020-12,43.0,73.0,23.0,36.0,12.0,18.0,0.61,44.0
2021-01,46.0,60.0,26.0,46.0,14.0,19.0,0.63,54.0
2021-02,43.0,123.5,24.5,35.5,14.0,15.0,0.725,64.5
2021-03,45.0,93.0,21.0,42.0,10.0,15.0,0.7,64.0
2021-04,39.0,99.5,17.0,39.0,8.0,12.5,0.555,71.5
2021-05,32.0,77.0,14.0,29.0,7.0,12.0,0.5,70.0
2021-06,23.5,38.5,10.0,18.5,7.0,10.0,0.47,59.5
2021-07,25.0,106.0,9.0,24.0,6.0,8.0,0.47,48.0
2021-08,25.0,85.0,10.0,22.0,6.0,8.0,0.5,51.0
2021-09,23.5,57.0,9.0,21.0,6.0,10.5,0.45,41.5
2021-10,33.0,128.0,15.0,30.0,6.0,16.0,0.47,40.0
2021-11,39.5,75.5,22.5,36.5,10.0,18.0,0.6,40.0
2021-12,41.0,72.0,24.0,39.0,12.0,20.0,0.7,47.0
2022-01,50.0,109.0,33.0,46.0,13.0,16.0,0.73,57.0
2022-02,39.0,114.5,23.0,34.5,9.5,11.5,0.635,73.0
2022-03,32.0,46.0,14.0,24.0,9.0,10.0,0.54,78.0
