年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,106.0,221.0,73.0,144.0,119.0,34.0,1.15,38.0
2015-02,106.5,237.0,75.5,131.5,90.5,27.0,0.865,54.0
2015-03,123.0,324.0,72.0,184.0,75.0,24.0,0.94,72.0
2015-04,85.0,284.0,42.5,115.0,20.0,14.0,0.53,92.5
2015-05,75.0,220.0,35.0,74.0,17.0,16.0,0.42,100.0
2015-06,69.0,243.0,31.0,65.5,15.0,14.5,0.53,91.0
2015-07,60.0,194.0,25.0,50.0,11.0,12.0,0.41,95.0
2015-08,51.0,168.0,17.0,32.0,14.0,17.0,0.4,86.0
2015-09,45.0,116.0,16.5,31.5,13.0,19.0,0.435,74.0
2015-10,46.0,80.0,15.0,36.0,15.0,28.0,0.79,73.0
2015-11,50.0,111.0,26.0,54.5,66.5,33.0,1.0950000000000002,50.0
2015-12,67.0,153.0,38.0,74.0,90.0,37.0,1.32,40.0
2016-01,75.0,176.0,48.0,89.0,81.0,36.0,1.51,46.0
2016-02,72.0,200.0,34.0,86.0,67.0,25.0,1.18,61.0
2016-03,85.0,201.0,42.0,117.0,41.0,24.0,1.08,66.0
2016-04,59.5,164.5,27.5,63.5,13.5,18.0,0.575,75.0
2016-05,70.0,213.0,30.0,76.0,11.0,14.0,0.63,90.0
2016-06,68.5,257.0,27.5,67.5,6.0,14.0,0.515,102.5
2016-07,59.0,246.0,21.0,52.0,4.0,15.0,0.56,91.0
2016-08,40.0,87.0,16.0,31.0,4.0,16.0,0.4,70.0
2016-09,48.0,116.5,18.0,40.5,7.0,17.0,0.41000000000000003,71.5
2016-10,64.0,248.0,31.0,64.0,8.0,22.0,0.68,70.0
2016-11,90.0,242.0,47.5,112.0,20.0,27.0,0.655,47.5
2016-12,71.0,138.0,45.0,80.0,22.0,28.0,0.78,44.0
2017-01,73.0,165.0,46.0,75.0,25.0,25.0,1.0,47.0
2017-02,68.0,178.0,39.0,80.5,20.0,22.0,1.02,66.0
2017-03,68.0,189.0,29.0,77.0,15.0,23.0,0.5,82.0
2017-04,64.5,155.5,15.0,47.5,9.0,23.5,0.395,89.5
2017-05,72.0,224.0,17.0,65.0,7.0,17.0,0.35,103.0
2017-06,73.5,248.0,14.5,49.0,7.0,15.0,0.295,106.5
2017-07,57.0,220.0,8.0,25.0,7.0,13.0,0.32,102.0
2017-08,50.0,203.0,7.0,27.0,7.0,14.0,0.42,92.0
2017-09,48.5,163.0,12.0,39.0,8.0,19.0,0.34,73.0
2017-10,59.0,218.5,24.0,64.0,12.0,21.0,0.51,59.5
2017-11,67.0,162.0,33.0,79.5,16.0,24.5,0.66,48.0
2017-12,62.0,127.0,35.0,74.0,17.0,22.0,0.53,47.0
2018-01,76.0,188.0,39.0,97.0,15.0,19.0,0.59,50.0
2018-02,63.5,126.0,30.5,73.5,11.0,12.0,0.59,61.0
2018-03,102.0,288.0,47.0,142.0,10.0,20.0,0.55,66.0
2018-04,69.0,155.5,23.0,85.5,7.0,18.0,0.51,77.0
2018-05,64.0,176.0,25.0,65.0,6.0,12.0,0.3,94.0
2018-06,59.0,186.5,22.0,53.0,4.5,12.0,0.3,96.0
2018-07,61.0,279.0,19.0,36.0,3.0,10.0,0.23,106.0
2018-08,57.0,228.0,20.0,33.0,2.0,10.0,0.38,101.0
2018-09,47.0,181.0,19.0,38.0,5.0,11.0,0.32,68.0
2018-10,63.0,243.0,34.0,65.0,11.0,23.0,0.51,60.0
2018-11,67.0,208.5,39.0,75.0,15.0,23.5,0.635,42.5
