年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10,41,2,23,43,37,48,1.15,22
2013-11,47,5,31,44,34,41,0.76,10
2013-12,92,20,57,107,35,41,0.88,6
2014-01,66,42,43,78,23,16,0.95,10
2014-02,57,59,36,48,19,17,0.93,9
2014-03,67,25,37,81,22,24,0.85,11
2014-04,54,56,30,52,19,21,0.79,23
2014-05,50,61,29,49,14,17,0.81,56
2014-06,57,57,32,50,6,17,0.63,23
2014-07,38,25,15,34,12,15,0.55,32
2014-08,30,15,13,29,18,12,0.48,24
2014-09,35,5,13,35,7,15,0.5,10
2014-10,35,2,9,33,7,20,0.45,7
2014-11,59,55,21,68,14,22,0.68,5
2014-12,73,74,13,94,50,24,0.9,9
2015-01,59,115,33,64,28,23,1.16,12
2015-02,51,124,26,48,18,16,1.06,14
2015-03,58,145,20,66,18,25,1.15,17
2015-04,57,113,18,60,14,23,0.92,39
2015-05,66,199,22,72,17,20,0.47,26
2015-06,30,38,16,26,12,17,0.65,43
2015-07,37,53,15,35,14,15,0.63,19
2015-08,28,15,10,25,20,12,0.66,25
2015-09,30,22,14,27,17,18,0.71,32
2015-10,43,112,20,38,18,22,0.79,24
2015-11,31,51,20,29,21,16,0.76,10
2015-12,66,131,24,79,32,22,0.85,9
2016-01,57,160,20,61,26,16,0.67,14
2016-02,38,104,16,36,20,13,0.88,19
2016-03,58,112,20,64,22,26,1.0,30
2016-04,50,110,21,52,13,30,0.92,18
2016-05,53,173,23,56,19,18,0.89,49
2016-06,40,97,16,39,19,17,0.94,35
2016-07,35,80,13,31,21,14,0.67,33
2016-08,38,103,18,35,25,14,0.66,33
2016-09,35,98,20,34,25,24,0.95,28
2016-10,32,44,18,31,10,26,0.53,18
2016-11,35,119,21,34,14,23,0.63,8
2016-12,65,131,44,66,21,33,0.66,6
2017-01,50,93,26,49,13,14,0.57,11
2017-02,75,194,38,81,13,29,0.8,27
2017-03,48,104,25,48,9,24,0.56,38
2017-04,66,218,33,74,15,23,0.61,44
2017-05,59,186,27,63,8,20,0.51,64
2017-06,50,174,19,39,7,14,0.45,64
2017-07,30,42,13,25,6,13,0.49,24
2017-08,34,91,18,29,6,14,0.48,47
2017-09,38,105,23,30,8,21,0.54,13
2017-10,44,144,15,41,9,28,0.53,10
2017-11,58,109,28,64,13,35,0.53,12
2017-12,66,154,41,79,12,34,0.62,6
2018-01,65,186,39,70,13,27,0.64,7
2018-02,67,187,47,64,7,17,0.59,28
2018-03,54,179,31,51,7,23,0.54,25
2018-04,55,107,30,55,8,20,0.4,32
2018-05,42,67,23,40,6,16,0.56,42
2018-06,48,186,21,41,8,15,0.62,73
2018-07,18,3,8,14,6,12,0.59,22
2018-08,30,26,9,25,9,10,0.65,36
2018-09,38,116,12,30,7,22,0.5,46
2018-10,58,225,22,65,11,35,0.55,30
2018-11,35,113,24,30,8,28,0.52,10
2018-12,49,207,20,53,9,20,0.45,5
2019-01,57,112,30,65,3,24,0.58,8
2019-02,54,203,35,52,3,12,0.68,23
2019-03,50,189,27,49,7,23,0.48,41
2019-04,47,129,21,33,5,20,0.39,29
2019-05,41,55,15,28,7,13,0.3,50
2019-06,50,184,22,41,4,12,0.35,73
2019-07,25,65,13,23,4,12,0.38,33
2019-08,23,57,2,8,4,6,0.34,17
2019-09,41,155,19,41,5,19,0.46,48
2019-10,32,154,15,33,4,20,0.45,23
2019-11,48,148,23,50,7,29,0.46,8
2019-12,48,76,26,42,5,27,0.56,9
2020-01,41,131,29,28,5,13,0.68,15
2020-02,28,68,18,23,5,7,0.42,8
2020-03,45,176,20,47,7,24,0.53,27
2020-04,40,60,22,38,4,19,0.39,54
2020-05,30,84,19,26,4,15,0.45,46
2020-06,25,88,6,6,5,13,0.42,42
2020-07,22,71,6,7,5,12,0.42,35
2020-08,25,147,12,24,6,14,0.53,32
2020-09,43,202,18,44,7,26,0.43,54
2020-10,53,217,23,59,4,20,0.54,11
2020-11,39,172,25,36,6,29,0.6,11
2020-12,37,173,18,38,7,24,0.65,7
2021-01,65,170,20,74,6,18,0.55,13
2021-02,36,64,16,27,4,13,0.44,29
2021-03,31,118,21,24,5,20,0.58,38
2021-04,28,90,17,24,4,20,0.48,35
2021-05,24,85,15,21,6,12,0.38,26
2021-06,28,138,17,26,6,10,0.46,42
2021-07,13,9,4,6,6,7,0.4,29
2021-08,25,90,11,16,5,12,0.43,44
2021-09,20,33,9,18,5,13,0.4,37
2021-10,36,234,13,37,4,18,0.47,21
2021-11,25,96,12,24,5,17,0.43,18
2021-12,34,118,18,34,6,17,0.52,17
2022-01,40,65,27,33,5,18,0.64,18
2022-02,46,185,27,45,6,16,0.6,39
2022-03,42,149,15,42,7,14,0.42,40
