年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10,83,45,59,88,42,53,1.69,11
2013-11,71,29,22,71,24,32,0.63,5
2013-12,89,41,49,97,50,18,0.81,1
2014-01,78,63,39,92,31,29,0.77,1
2014-02,49,61,25,36,29,20,0.91,3
2014-03,77,44,48,91,19,35,0.72,15
2014-04,77,92,0,59,13,2,0.5,20
2014-05,48,64,33,36,14,21,1.17,31
2014-06,56,64,36,45,12,12,1.0,54
2014-07,50,62,30,49,16,23,1.0,48
2014-08,59,98,41,53,13,17,1.03,40
2014-09,38,28,18,38,14,24,1.19,13
2014-10,54,44,31,58,17,27,0.98,6
2014-11,49,34,30,50,25,36,1.15,4
2014-12,67,71,32,74,27,30,0.79,7
2015-01,49,70,30,47,28,35,1.04,6
2015-02,55,78,32,59,27,19,1.08,17
2015-03,64,212,34,72,20,23,1.03,37
2015-04,57,103,30,63,9,16,0.87,58
2015-05,54,133,29,44,8,17,0.93,35
2015-06,53,196,26,50,11,11,1.05,68
2015-07,54,183,17,48,4,16,0.91,83
2015-08,50,153,25,41,5,19,1.32,68
2015-09,42,98,22,25,11,16,1.11,21
2015-10,54,126,17,56,11,30,0.97,2
2015-11,31,48,19,22,9,22,1.0,1
2015-12,49,94,20,51,23,26,0.59,3
2016-01,60,144,34,71,28,24,1.14,10
2016-02,36,66,17,32,17,11,1.05,8
2016-03,56,184,21,63,18,14,0.89,38
2016-04,59,196,22,67,13,18,0.91,27
2016-05,62,157,27,69,14,14,0.79,49
2016-06,67,267,20,41,10,16,0.7,78
2016-07,43,168,18,38,6,8,0.79,64
2016-08,42,140,12,41,6,10,0.92,47
2016-09,48,154,14,49,14,22,0.95,25
2016-10,47,192,19,47,13,26,0.8,20
2016-11,41,95,16,41,16,20,0.84,6
2016-12,58,58,28,65,19,29,1.07,3
2017-01,47,76,27,43,17,21,0.71,2
2017-02,58,102,15,62,13,23,0.44,26
2017-03,56,64,29,55,16,24,0.82,37
2017-04,72,223,25,85,15,23,0.87,34
2017-05,69,261,24,49,4,16,0.74,78
2017-06,43,100,15,35,6,16,0.84,70
2017-07,45,102,18,30,8,7,0.82,59
2017-08,37,125,20,23,4,13,0.89,40
2017-09,44,163,10,45,6,14,0.89,45
2017-10,18,3,7,10,4,20,0.77,20
2017-11,46,66,13,49,9,27,0.88,11
2017-12,45,66,16,47,11,36,1.05,1
2018-01,43,50,19,44,12,27,1.01,5
2018-02,58,92,16,62,10,13,1.09,25
2018-03,52,151,14,51,6,17,0.55,29
2018-04,43,30,17,33,6,14,0.57,56
2018-05,51,157,18,46,4,13,0.44,53
2018-06,52,173,12,33,3,13,0.39,77
2018-07,33,89,10,16,2,5,0.41,56
2018-08,20,10,6,13,3,4,0.42,37
2018-09,37,109,5,30,4,14,0.28,32
2018-10,48,133,12,52,6,26,0.22,32
2018-11,53,233,29,54,5,30,0.44,12
2018-12,47,178,18,49,6,25,0.34,4
2019-01,59,148,26,69,8,19,0.55,11
2019-02,51,160,13,51,8,8,0.49,31
2019-03,47,55,8,45,4,17,0.4,56
2019-04,42,64,17,35,1,15,0.32,53
2019-05,48,184,6,30,2,12,0.2,74
2019-06,60,280,4,39,5,13,0.2,106
2019-07,45,183,9,18,3,8,0.26,87
2019-08,17,8,5,9,4,8,0.39,33
2019-09,25,56,13,24,5,16,0.59,28
2019-10,28,109,11,26,5,19,0.38,14
2019-11,35,93,13,36,8,22,0.42,8
2019-12,43,90,19,46,7,23,0.52,5
2020-01,81,240,59,87,9,17,0.83,5
2020-02,26,41,7,21,4,8,0.44,34
2020-03,21,51,4,19,2,8,0.2,37
2020-04,36,50,8,33,4,14,0.28,60
2020-05,29,73,10,15,5,11,0.26,61
2020-06,40,231,15,37,6,8,0.17,103
2020-07,33,178,12,23,6,9,0.32,78
2020-08,20,54,5,11,5,8,0.34,38
2020-09,21,42,2,17,5,14,0.32,52
2020-10,35,85,4,36,4,25,0.47,22
2020-11,20,15,9,18,4,20,0.39,16
2020-12,46,161,13,49,5,22,0.39,8
2021-01,43,98,13,46,8,15,0.51,7
2021-02,40,135,14,41,6,9,0.52,33
2021-03,35,164,10,31,5,11,0.35,52
2021-04,40,145,9,37,3,16,0.35,50
2021-05,28,179,6,23,4,11,0.35,55
2021-06,30,179,8,28,4,7,0.38,43
2021-07,25,90,6,6,3,4,0.39,52
2021-08,25,102,7,14,3,8,0.46,66
2021-09,20,63,3,6,3,8,0.45,51
2021-10,13,22,5,5,3,14,0.43,26
2021-11,19,27,7,9,3,10,0.4,15
2021-12,34,64,10,35,6,14,0.39,8
2022-01,36,62,20,36,8,12,0.39,14
2022-02,30,51,16,25,6,9,0.44,42
2022-03,29,85,10,29,5,7,0.36,33
