年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-12,189.0,176.0,153.0,194.0,18.0,40.0,1.73,25.0
2014-01,188.0,140.0,143.0,190.5,26.0,62.0,1.8,37.5
2014-02,138.0,131.5,105.0,129.5,16.5,31.0,1.5,38.0
2014-03,86.0,98.0,61.5,105.0,27.0,45.0,0.99,47.5
2014-04,77.5,93.0,49.0,84.0,21.0,32.5,0.845,67.5
2014-05,97.0,117.0,68.0,125.0,25.0,31.0,0.79,78.0
2014-06,75.5,111.0,49.5,80.5,23.5,30.5,0.8,65.5
2014-07,64.0,92.0,34.0,64.0,21.0,27.0,0.66,65.0
2014-08,51.0,57.0,29.0,51.0,20.0,24.0,0.81,59.0
2014-09,46.0,43.5,27.0,44.0,19.0,23.5,0.965,48.0
2014-10,59.0,40.0,39.0,60.0,15.0,30.0,0.88,37.0
2014-11,51.0,27.5,33.5,49.0,10.5,34.0,0.94,18.0
2014-12,75.0,52.0,52.0,68.0,17.0,44.0,1.08,19.0
2015-01,153.0,271.0,115.0,164.0,14.0,50.0,1.24,23.0
2015-02,96.0,186.0,67.0,102.0,14.5,29.5,0.98,42.0
2015-03,83.0,222.0,56.0,100.0,15.0,28.0,1.12,56.0
2015-04,77.0,205.5,45.0,90.0,15.5,28.5,0.83,82.5
2015-05,81.0,268.0,36.0,76.0,12.0,21.0,0.92,91.0
2015-06,61.0,186.5,30.0,53.0,11.0,18.5,0.765,74.0
2015-07,69.0,235.0,40.0,66.0,15.0,23.0,0.92,79.0
2015-08,62.0,227.0,35.0,64.0,16.0,28.0,1.01,63.0
2015-09,48.0,147.5,27.5,49.0,7.0,24.0,0.91,55.0
2015-10,70.0,195.0,45.0,78.0,15.0,32.0,1.06,54.0
2015-11,56.0,127.5,32.5,58.0,7.0,29.0,0.995,23.0
2015-12,91.0,211.0,67.0,102.0,11.0,38.0,1.12,27.0
2016-01,98.0,251.0,72.0,114.0,10.0,35.0,1.39,35.0
2016-02,103.0,260.0,72.0,118.0,8.0,31.0,1.05,56.0
2016-03,87.0,212.0,62.0,110.0,15.0,33.0,1.11,61.0
2016-04,69.0,188.0,42.5,82.5,13.0,27.5,0.995,58.0
2016-05,68.0,186.0,36.0,69.0,11.0,15.0,0.76,90.0
2016-06,75.0,281.5,31.0,66.0,12.5,19.0,0.975,91.0
2016-07,45.0,137.0,22.0,39.0,14.0,16.0,1.02,68.0
2016-08,55.0,210.0,22.0,48.0,13.0,14.0,0.82,73.0
2016-09,57.5,174.5,30.5,60.0,8.0,21.0,0.82,65.0
2016-10,52.0,173.0,31.0,54.0,8.0,17.0,0.72,38.0
2016-11,111.0,272.0,82.5,129.0,9.0,27.5,0.88,28.5
2016-12,139.0,296.0,104.0,171.0,9.0,46.0,1.11,21.0
2017-01,132.0,280.0,99.0,151.0,10.0,40.0,1.11,34.0
2017-02,109.0,262.0,80.5,124.0,8.5,34.0,0.9450000000000001,41.5
2017-03,73.0,206.0,46.0,78.0,8.0,29.0,0.77,51.0
2017-04,68.5,184.5,44.5,72.0,10.0,28.5,0.685,73.5
2017-05,80.0,236.0,38.0,83.0,11.0,30.0,0.69,90.0
2017-06,73.0,251.0,38.0,71.5,10.0,24.5,0.68,88.5
2017-07,61.0,230.0,22.0,42.0,10.0,17.0,0.61,96.0
2017-08,47.0,142.0,19.0,37.0,5.0,14.0,0.68,70.0
2017-09,47.0,144.0,22.0,44.5,6.0,21.5,0.73,51.5
2017-10,44.5,146.0,21.0,43.0,5.0,23.0,0.765,35.0
2017-11,76.5,219.0,53.5,89.0,7.5,36.0,0.915,35.5
2017-12,119.0,317.0,89.0,139.0,8.0,47.0,1.07,33.0
2018-01,107.0,239.0,78.0,124.0,6.0,40.0,1.05,41.0
2018-02,104.5,277.5,72.0,127.0,7.0,32.0,0.9,57.5
2018-03,81.0,238.0,51.0,99.0,9.0,38.0,0.83,64.0
2018-04,84.5,218.5,43.5,109.0,9.0,35.0,0.65,79.0
2018-05,75.0,235.0,30.0,82.0,8.0,25.0,0.55,83.0
2018-06,49.5,141.5,18.5,47.0,7.5,22.5,0.67,71.0
