年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,147.0,291.0,112.0,157.0,31.0,41.0,1.16,12.0
2015-02,111.0,228.0,83.0,102.5,9.0,23.0,1.3050000000000002,29.5
2015-03,79.0,213.0,57.0,79.0,10.0,22.0,1.07,32.0
2015-04,65.0,151.0,43.5,72.5,17.5,17.5,0.89,44.5
2015-05,63.0,150.0,43.0,59.0,11.0,16.0,0.88,41.0
2015-06,49.5,138.0,32.0,48.0,11.0,14.5,0.83,34.5
2015-07,49.0,121.0,28.0,46.0,6.0,13.0,0.67,55.0
2015-08,48.0,133.0,28.0,46.0,5.0,6.0,0.86,47.0
2015-09,58.0,216.0,38.0,59.5,5.0,6.0,0.33999999999999997,41.5
2015-10,74.0,196.0,53.0,82.0,10.0,13.0,0.28,27.0
2015-11,53.5,119.5,34.0,55.0,9.0,21.5,0.585,5.0
2015-12,76.0,151.0,55.0,73.0,10.0,23.0,0.55,9.0
2016-01,98.0,246.0,73.0,91.0,8.0,27.0,0.69,16.0
2016-02,92.0,209.0,67.0,94.0,5.0,23.0,0.42,21.0
2016-03,79.0,170.0,54.0,79.0,8.0,25.0,0.73,25.0
2016-04,55.5,114.5,35.0,59.0,9.5,15.5,0.67,29.5
2016-05,50.0,89.0,30.0,53.0,6.0,11.0,0.55,45.0
2016-06,43.0,110.0,22.0,41.5,5.0,8.0,0.56,34.5
2016-07,38.0,84.0,21.0,36.0,4.0,5.0,0.52,36.0
2016-08,48.0,136.0,28.0,48.0,6.0,7.0,0.51,42.0
2016-09,78.0,255.0,56.5,79.0,7.0,10.0,0.58,39.5
2016-10,46.0,107.0,30.0,46.0,6.0,20.0,0.86,21.0
2016-11,65.0,131.0,46.0,62.0,19.5,27.0,1.28,16.0
2016-12,117.0,248.0,87.0,108.0,17.0,41.0,1.28,11.0
2017-01,117.0,267.0,88.0,104.0,10.0,35.0,0.96,16.0
2017-02,74.0,175.0,53.5,58.5,9.0,23.5,0.805,27.5
2017-03,62.0,139.0,43.0,62.0,13.0,28.0,0.66,35.0
2017-04,53.5,72.5,35.0,53.0,11.5,27.0,0.685,39.5
2017-05,55.0,84.0,35.0,53.0,11.0,22.0,0.74,43.0
2017-06,49.0,133.0,28.5,42.5,6.0,16.0,0.875,57.5
2017-07,48.0,132.0,23.0,36.0,6.0,14.0,0.84,59.0
2017-08,46.0,155.0,24.0,38.0,6.0,13.0,0.94,58.0
2017-09,39.0,88.5,22.5,35.5,5.0,16.0,1.1349999999999998,35.0
2017-10,37.5,66.0,24.0,35.5,5.0,20.5,1.13,29.0
2017-11,71.5,196.5,50.5,73.0,6.5,25.0,1.11,21.5
2017-12,108.0,282.0,80.0,110.0,7.0,28.0,1.24,19.0
2018-01,91.0,208.0,67.0,80.0,7.0,25.0,1.42,21.0
2018-02,94.0,253.0,67.5,95.0,3.5,25.0,1.24,27.0
2018-03,53.0,59.0,33.0,48.0,6.0,26.0,0.97,32.0
2018-04,56.0,85.0,34.0,57.5,5.0,27.5,0.88,38.5
2018-05,47.0,79.0,27.0,47.0,5.0,26.0,0.96,38.0
2018-06,41.5,106.0,24.5,40.0,6.0,19.0,0.885,40.0
2018-07,39.0,130.0,22.0,37.0,5.0,15.0,0.89,38.0
2018-08,44.0,131.0,23.0,43.0,9.0,16.0,0.98,54.0
2018-09,39.0,130.0,17.0,37.0,6.0,17.0,0.92,35.0
2018-10,50.0,155.0,27.0,52.0,5.0,24.0,0.79,24.0
2018-11,47.5,114.0,25.0,49.0,5.0,22.0,0.925,10.5
2018-12,62.0,202.0,40.0,68.0,6.0,21.0,0.99,14.0
2019-01,78.0,185.0,57.0,86.0,5.0,28.0,1.19,11.0
2019-02,52.5,120.0,32.0,53.5,3.0,15.5,0.825,20.5
2019-03,60.0,138.0,31.0,61.0,3.0,27.0,0.78,32.0
2019-04,47.5,107.0,21.5,46.5,3.5,21.5,0.68,48.5
2019-05,48.0,108.0,21.0,48.0,3.0,23.0,0.59,50.0
2019-06,42.0,123.0,19.0,38.0,3.0,21.0,0.98,48.0
2019-07,34.5,135.0,16.0,33.5,2.0,14.0,0.9,45.5
2019-08,44.0,198.5,21.5,44.5,2.5,13.0,0.91,64.5
2019-09,51.0,226.0,27.5,53.5,3.0,18.0,0.765,53.0
2019-10,42.0,108.0,19.0,43.0,3.0,15.0,0.89,32.0
2019-11,61.5,146.5,38.0,65.5,3.0,24.0,0.685,20.0
2019-12,67.0,170.0,45.0,77.0,3.0,27.0,0.86,13.0
2020-01,49.0,113.0,32.0,46.0,4.0,20.0,0.74,22.0
2020-02,60.0,218.0,42.0,51.0,4.0,7.0,0.62,28.0
2020-03,49.0,138.0,32.0,45.0,4.0,14.0,0.53,40.0
2020-04,45.5,93.5,25.0,46.5,5.0,22.0,0.45,52.0
2020-05,40.0,130.0,20.0,40.0,6.0,20.0,0.42,46.0
2020-06,28.0,109.5,13.5,26.0,6.0,15.0,0.4,42.5
2020-07,28.0,87.0,12.0,26.0,6.0,11.0,0.6,46.0
2020-08,30.0,162.0,12.0,29.0,9.0,12.0,0.51,44.0
2020-09,32.0,112.5,13.5,31.0,8.0,13.0,0.445,47.0
2020-10,35.0,103.0,18.0,37.0,9.0,21.0,0.41,23.0
2020-11,54.5,163.5,33.5,59.5,9.0,27.5,0.485,18.5
2020-12,59.0,203.0,38.0,67.0,7.0,29.0,0.55,13.0
2021-01,83.0,242.0,59.0,90.0,6.0,26.0,0.83,18.0
2021-02,54.5,168.5,36.5,57.0,5.0,15.0,0.69,35.0
2021-03,39.0,53.0,15.0,39.0,6.0,18.0,0.82,31.0
2021-04,30.5,51.0,15.0,30.5,6.0,15.0,0.75,41.0
2021-05,37.0,129.0,12.0,37.0,7.0,17.0,0.91,24.0
2021-06,33.0,123.0,10.0,31.5,8.0,9.5,1.065,34.0
2021-07,27.0,121.0,6.0,26.0,7.0,6.0,1.18,42.0
2021-08,27.0,128.0,9.0,26.0,5.0,5.0,0.6,49.0
2021-09,34.5,186.0,13.5,33.0,5.0,6.0,0.55,54.5
2021-10,36.0,129.0,16.0,35.0,7.0,6.0,0.65,51.0
2021-11,45.5,145.5,26.0,48.5,7.0,14.5,0.825,27.0
2021-12,68.0,234.0,47.0,77.0,6.0,15.0,0.91,20.0
2022-01,59.0,142.0,40.0,63.0,6.0,14.0,1.13,24.0
2022-02,48.5,152.5,27.5,50.0,5.0,7.0,0.71,41.0
2022-03,53.0,136.0,26.0,56.0,6.0,14.0,0.6,36.0
