年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,36,60,25,28,3,18,0.45,3
2015-02,32,71,19,19,1,10,0.92,5
2015-03,43,32,28,39,2,12,0.79,2
2015-04,30,8,18,26,1,8,0.67,7
2015-05,39,25,18,30,1,8,0.55,4
2015-06,35,56,20,31,3,9,0.57,12
2015-07,26,11,13,23,2,7,0.46,26
2015-08,33,26,11,18,2,3,0.24,28
2015-09,31,32,17,27,4,2,0.04,13
2015-10,22,1,12,21,4,5,0.0,1
2015-11,22,21,14,20,4,8,0.18,2
2015-12,34,51,22,31,5,10,0.2,1
2016-01,58,136,35,47,4,13,0.21,1
2016-02,30,36,18,27,2,13,0.22,0
2016-03,32,44,14,19,2,7,0.51,2
2016-04,32,17,17,30,4,9,0.41,9
2016-05,32,19,19,26,2,4,0.33,7
2016-06,25,6,12,20,2,5,0.41,9
2016-07,22,10,11,17,3,3,0.22,14
2016-08,27,27,13,26,3,5,0.27,22
2016-09,33,86,16,30,3,3,0.22,16
2016-10,25,27,14,20,3,6,0.6,4
2016-11,27,43,18,18,5,16,0.66,5
2016-12,72,137,51,61,7,26,0.62,3
2017-01,49,77,33,41,6,13,0.59,4
2017-02,33,4,21,23,6,14,0.33,6
2017-03,27,13,17,11,7,17,0.38,12
2017-04,33,25,14,15,6,16,0.35,5
2017-05,26,3,11,17,4,11,0.53,13
2017-06,30,37,14,19,2,11,0.67,24
2017-07,23,13,12,18,4,10,0.41,6
2017-08,34,67,18,26,4,9,0.8,34
2017-09,20,6,11,18,3,9,0.84,5
2017-10,20,12,12,14,3,13,0.95,5
2017-11,44,77,30,42,4,11,0.86,5
2017-12,50,120,34,44,4,17,0.74,4
2018-01,34,46,23,27,4,14,1.11,6
2018-02,40,88,27,29,2,11,0.84,4
2018-03,23,2,14,17,3,13,0.77,5
2018-04,30,12,15,27,3,17,0.73,25
2018-05,28,6,15,23,2,12,0.7,7
2018-06,31,30,15,26,4,12,0.75,25
2018-07,24,14,13,19,2,11,0.77,11
2018-08,29,31,12,28,6,12,0.87,22
2018-09,25,10,8,15,4,10,0.63,14
2018-10,32,42,16,30,4,16,0.61,7
2018-11,19,17,7,17,4,16,0.75,5
2018-12,32,40,17,31,4,12,0.56,3
2019-01,36,32,22,34,4,17,0.64,2
2019-02,27,10,12,24,2,8,0.49,2
2019-03,29,16,9,20,3,9,0.5,3
2019-04,24,12,9,21,2,10,0.35,23
2019-05,35,28,10,33,2,14,0.33,10
2019-06,27,34,9,23,2,10,0.82,7
2019-07,21,47,8,20,2,10,0.74,30
2019-08,26,66,11,26,2,9,0.74,25
2019-09,29,84,9,28,2,10,0.66,23
2019-10,24,49,10,23,2,10,0.46,6
2019-11,18,11,7,16,2,6,0.4,5
2019-12,27,31,15,27,2,16,0.44,4
2020-01,22,22,14,20,3,5,0.41,4
2020-02,21,27,10,18,3,2,0.29,10
2020-03,20,46,5,14,4,5,0.32,14
2020-04,23,12,11,20,5,10,0.33,21
2020-05,27,33,11,24,5,10,0.22,19
2020-06,15,18,6,11,5,4,0.21,13
2020-07,13,6,6,12,5,5,0.28,11
2020-08,20,37,7,19,8,8,0.37,22
2020-09,15,17,5,13,7,5,0.27,19
2020-10,18,22,5,11,7,5,0.23,5
2020-11,18,30,8,18,6,15,0.22,2
2020-12,31,47,18,31,5,14,0.3,2
2021-01,38,38,26,35,5,16,0.48,4
2021-02,16,9,6,16,5,7,0.48,10
2021-03,18,7,5,17,5,9,0.41,16
2021-04,18,9,6,14,5,7,0.63,18
2021-05,15,3,3,15,7,9,0.6,7
2021-06,13,4,3,13,7,5,0.8,18
2021-07,18,19,3,15,6,3,0.87,9
2021-08,17,22,2,12,5,3,0.42,13
2021-09,25,37,2,13,5,3,0.45,39
2021-10,19,41,5,14,6,2,0.48,19
2021-11,23,69,5,20,6,5,0.46,11
2021-12,34,98,18,34,5,6,0.45,8
2022-01,30,70,17,25,4,4,0.75,7
2022-02,31,110,16,31,5,2,0.36,12
2022-03,19,4,7,19,5,8,0.3,6
