年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10,73.5,29.5,50.0,72.5,26.5,55.0,0.97,32.0
2013-11,85.0,35.0,65.0,97.5,27.5,56.5,1.1949999999999998,26.5
2013-12,170.0,77.0,122.0,187.0,33.0,74.0,1.55,28.0
2014-01,233.0,163.0,177.5,261.0,30.0,72.0,1.7349999999999999,30.5
2014-02,144.5,154.0,110.0,146.0,18.5,45.0,1.3849999999999998,35.0
2014-03,97.5,121.0,72.5,121.0,20.5,64.5,1.335,43.0
2014-04,83.0,99.0,57.5,93.5,14.0,50.0,0.995,59.0
2014-05,103.0,122.0,74.0,127.0,14.0,52.0,0.82,70.0
2014-06,65.0,73.0,41.5,70.0,12.0,43.5,0.855,62.5
2014-07,65.0,94.0,33.0,70.0,12.0,43.0,0.83,67.0
2014-08,68.0,101.0,40.0,67.0,13.0,44.0,0.89,59.0
2014-09,55.5,73.5,34.5,61.0,13.0,44.5,0.98,37.5
2014-10,77.0,81.0,53.0,95.0,13.0,50.0,1.05,32.0
2014-11,75.5,75.5,52.0,95.0,14.0,47.0,1.06,21.0
2014-12,113.0,131.0,79.0,156.0,20.0,56.0,1.17,20.0
2015-01,177.0,296.0,135.0,215.0,18.0,59.0,1.47,16.0
2015-02,114.0,242.5,85.5,129.5,13.0,45.0,1.3250000000000002,40.0
2015-03,92.0,256.0,63.0,115.0,13.0,48.0,1.08,55.0
2015-04,75.5,198.5,45.0,85.5,12.5,46.5,0.845,79.5
2015-05,82.0,265.0,49.0,97.0,12.0,42.0,0.82,95.0
2015-06,68.0,226.0,36.5,68.0,13.0,35.5,0.81,75.5
2015-07,83.0,295.0,43.0,77.0,13.0,46.0,0.93,95.0
2015-08,67.0,243.0,41.0,65.0,13.0,46.0,0.9,58.0
2015-09,49.0,145.0,31.0,49.0,11.0,43.5,0.96,45.0
2015-10,75.0,247.0,52.0,94.0,15.0,51.0,0.87,37.0
2015-11,71.0,202.5,50.0,81.5,13.5,44.5,1.0,15.0
2015-12,96.0,225.0,71.0,110.0,15.0,56.0,1.15,19.0
2016-01,91.0,223.0,67.0,110.0,16.0,54.0,1.21,29.0
2016-02,88.0,247.0,64.0,96.0,13.0,48.0,1.36,50.0
2016-03,97.0,239.0,72.0,118.0,16.0,56.0,1.27,51.0
2016-04,76.0,237.5,52.5,84.0,12.0,52.0,0.975,51.0
2016-05,82.0,290.0,51.0,94.0,10.0,44.0,0.88,79.0
2016-06,73.0,273.0,38.0,67.0,10.0,38.5,0.835,84.5
2016-07,58.0,214.0,28.0,47.0,12.0,36.0,0.86,69.0
2016-08,71.0,310.0,40.0,65.0,12.0,43.0,0.92,84.0
