年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10,143,58,108,144,32,57,1.25,49
2013-11,182,110,145,278,48,101,2.29,50
2013-12,274,186,234,341,51,106,2.64,39
2014-01,451,187,396,562,59,109,2.07,44
2014-02,233,187,182,262,50,91,1.95,49
2014-03,211,181,161,251,52,103,2.18,72
2014-04,160,178,122,194,31,89,2.1,87
2014-05,181,188,141,209,24,89,1.4,173
2014-06,160,187,120,184,26,66,1.38,156
2014-07,102,178,76,125,19,81,1.52,100
2014-08,80,172,57,102,27,64,1.24,82
2014-09,117,187,88,145,23,69,1.47,54
2014-10,218,187,169,261,38,96,2.28,66
2014-11,139,153,105,170,24,72,1.58,44
2014-12,239,546,188,308,61,82,2.15,43
2015-01,260,647,209,326,34,95,2.43,36
2015-02,221,352,170,223,31,76,2.0,73
2015-03,147,333,111,179,27,73,1.98,84
2015-04,150,357,103,187,27,80,1.38,104
2015-05,135,359,94,174,24,68,1.11,133
2015-06,121,324,81,134,21,64,1.1,124
2015-07,120,349,86,148,24,66,1.16,128
2015-08,124,362,78,139,24,81,1.44,107
2015-09,117,356,88,158,25,73,1.32,69
2015-10,161,358,122,186,30,74,1.46,82
2015-11,109,327,82,143,30,71,1.43,55
2015-12,290,361,239,357,38,100,2.44,35
2016-01,201,341,152,224,30,73,2.27,60
2016-02,170,342,130,240,30,79,1.9,65
2016-03,168,363,126,264,33,94,1.99,72
2016-04,195,362,150,226,25,83,1.59,94
2016-05,177,363,132,221,24,79,1.46,112
2016-06,123,362,93,165,24,64,1.24,119
2016-07,108,360,50,88,19,50,1.15,138
2016-08,123,366,60,102,20,58,1.22,138
2016-09,102,328,76,111,31,69,1.24,97
2016-10,113,357,84,151,21,65,1.63,93
2016-11,221,361,172,281,26,84,2.15,36
2016-12,245,355,194,285,30,89,1.97,47
2017-01,361,361,290,451,28,111,2.57,49
2017-02,201,341,153,212,26,79,1.68,54
2017-03,114,320,85,143,18,73,1.18,69
2017-04,98,317,61,135,25,70,1.21,105
2017-05,116,347,81,136,16,77,0.86,122
2017-06,121,361,91,157,20,80,1.18,110
2017-07,115,357,56,103,15,62,1.04,142
2017-08,86,355,40,65,11,46,1.02,125
2017-09,87,329,63,105,12,55,0.94,102
2017-10,102,311,75,121,13,62,1.0,74
2017-11,148,339,112,172,17,67,1.42,57
2017-12,224,360,165,278,18,97,1.81,48
2018-01,237,347,186,261,20,85,1.6,64
2018-02,196,354,149,191,12,59,1.27,82
2018-03,146,341,110,164,19,80,1.41,92
2018-04,122,320,91,162,17,77,1.18,106
2018-05,129,351,75,159,18,69,1.11,140
2018-06,96,288,54,87,13,60,0.99,125
2018-07,86,350,44,75,10,48,0.9,130
2018-08,107,362,57,90,10,46,0.94,134
2018-09,71,322,45,66,8,41,0.92,103
2018-10,111,363,82,125,13,60,1.09,63
2018-11,127,339,96,146,12,57,1.13,63
2018-12,170,332,128,220,9,70,1.21,43
2019-01,136,331,103,154,11,63,1.46,48
2019-02,119,294,89,127,10,66,1.22,66
2019-03,92,330,68,121,12,71,0.97,76
2019-04,98,340,68,111,14,59,1.04,117
2019-05,84,293,56,91,10,51,0.99,104
2019-06,115,349,58,109,11,55,0.99,139
2019-07,94,354,39,77,7,55,0.93,107
2019-08,76,351,53,89,8,49,1.05,117
2019-09,102,357,76,128,9,62,1.24,62
2019-10,97,317,72,91,9,59,0.92,65
2019-11,119,357,90,138,12,71,1.05,41
2019-12,182,355,137,176,12,68,1.4,38
2020-01,156,345,118,133,13,85,1.42,69
2020-02,141,362,107,128,8,42,0.97,69
2020-03,102,356,75,133,12,67,0.83,80
2020-04,124,353,93,135,9,92,1.06,117
2020-05,105,363,73,132,11,65,0.84,138
2020-06,91,351,53,88,8,58,0.88,134
2020-07,82,359,40,93,7,54,0.85,113
2020-08,85,361,53,82,8,47,0.81,113
2020-09,73,336,52,84,7,50,0.83,77
2020-10,125,366,94,140,8,63,1.0,53
2020-11,135,359,103,154,13,72,1.22,44
2020-12,238,354,188,253,9,72,1.55,39
2021-01,158,350,119,172,9,77,1.32,50
2021-02,198,361,150,199,9,72,1.31,68
2021-03,136,318,85,221,9,68,1.24,83
2021-04,89,348,66,99,8,51,1.06,102
2021-05,89,350,57,91,9,46,0.88,120
2021-06,92,355,68,106,9,60,0.98,120
2021-07,71,364,51,72,6,37,0.77,121
2021-08,80,365,37,65,7,36,0.77,138
2021-09,57,320,40,57,7,43,0.77,87
2021-10,71,313,51,73,5,42,0.74,69
2021-11,181,358,137,184,8,57,0.99,45
2021-12,203,366,155,207,8,72,1.18,40
2022-01,159,312,121,153,6,69,1.12,59
2022-02,151,313,114,128,7,43,0.92,63
2022-03,104,309,78,132,9,68,0.96,90
