年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10,170,77,129,218,29,56,1.64,21
2013-11,148,82,112,203,54,62,1.97,54
2013-12,150,58,109,199,86,64,2.56,62
2014-01,202,139,162,240,102,71,2.75,64
2014-02,319,183,268,368,96,75,3.39,79
2014-03,202,162,155,272,77,66,1.64,92
2014-04,190,182,126,290,66,61,1.65,157
2014-05,129,168,75,167,43,42,1.45,150
2014-06,119,166,88,123,40,34,1.2,141
2014-07,189,189,144,195,38,35,1.83,152
2014-08,133,183,97,153,35,43,1.29,132
2014-09,108,182,76,154,45,40,1.55,92
2014-10,275,183,220,349,48,77,2.21,58
2014-11,215,172,162,312,70,77,2.72,68
2014-12,164,151,125,221,79,77,3.34,66
2015-01,158,276,119,215,108,78,2.92,58
2015-02,198,334,151,232,89,60,2.25,73
2015-03,189,354,116,383,54,49,1.89,105
2015-04,135,336,94,163,38,42,1.27,128
2015-05,167,354,95,217,38,30,1.06,190
2015-06,196,365,149,230,25,32,1.46,154
2015-07,128,358,71,135,20,31,1.4,175
2015-08,109,356,73,121,18,35,1.04,130
2015-09,127,357,95,154,20,41,1.25,99
2015-10,154,351,116,213,20,76,1.8,78
2015-11,140,318,106,180,33,81,2.45,61
2015-12,242,329,191,272,49,80,3.35,65
2016-01,183,277,138,212,49,85,3.91,74
2016-02,200,333,152,207,45,59,2.35,88
2016-03,229,347,179,262,38,67,1.81,104
2016-04,248,358,72,419,28,39,1.16,139
2016-05,151,354,98,246,27,37,1.52,176
2016-06,125,363,55,125,28,34,1.09,170
2016-07,123,362,82,127,23,34,1.32,154
2016-08,109,362,78,110,17,28,1.74,106
2016-09,106,312,75,139,21,52,1.34,84
2016-10,141,354,105,196,23,62,1.61,94
2016-11,177,320,133,250,37,77,2.73,74
2016-12,156,333,118,206,49,76,3.27,44
2017-01,239,309,195,247,65,81,3.45,76
2017-02,205,335,156,256,61,91,2.89,89
2017-03,121,317,87,171,30,65,1.55,94
2017-04,109,332,81,152,27,48,1.32,109
2017-05,409,351,175,867,19,31,1.05,184
2017-06,131,359,71,129,21,35,1.21,157
2017-07,112,349,65,109,13,30,1.38,138
2017-08,88,330,64,107,16,32,1.29,114
2017-09,89,325,50,124,17,45,1.19,111
2017-10,119,341,88,167,19,50,1.98,57
2017-11,156,346,114,228,34,67,1.94,50
2017-12,152,254,112,230,48,70,3.49,65
2018-01,100,253,66,143,45,54,2.01,75
2018-02,186,336,150,251,48,61,2.17,84
2018-03,317,358,158,539,36,84,2.45,91
2018-04,182,351,99,272,19,45,1.26,172
2018-05,219,363,59,310,19,38,1.15,168
2018-06,122,350,43,108,20,35,1.13,187
2018-07,90,356,64,98,12,29,1.21,138
2018-08,101,342,49,95,18,29,1.46,138
2018-09,70,322,45,80,20,41,1.29,106
2018-10,106,340,71,145,17,73,1.49,58
2018-11,183,347,128,261,25,69,2.1,35
2018-12,165,298,87,222,29,61,2.52,57
2019-01,117,251,84,170,39,60,2.75,59
2019-02,187,299,138,236,23,45,1.61,70
2019-03,174,336,131,208,20,74,1.8,84
2019-04,129,353,72,193,17,36,1.0,136
2019-05,102,340,53,150,16,37,1.1,155
2019-06,119,361,44,90,18,33,1.0,190
2019-07,81,339,50,80,17,51,1.15,125
2019-08,54,262,27,48,16,30,0.81,97
2019-09,77,353,46,82,21,47,1.01,123
2019-10,107,337,65,132,27,63,1.45,115
2019-11,168,340,127,197,35,70,2.47,61
2019-12,120,300,90,150,34,66,2.61,56
2020-01,208,320,165,208,37,62,2.51,45
2020-02,177,358,133,164,28,49,2.24,78
2020-03,115,315,86,111,18,46,1.34,103
2020-04,125,365,59,158,23,50,1.38,167
2020-05,112,359,58,131,22,43,1.4,177
2020-06,84,365,37,97,24,39,1.04,173
2020-07,59,349,41,69,12,38,1.1,129
2020-08,68,351,49,80,18,30,1.23,105
2020-09,62,309,43,68,20,35,1.12,82
2020-10,125,350,95,168,33,60,1.6,65
2020-11,115,348,80,159,36,69,1.95,58
2020-12,92,216,63,132,30,56,2.55,65
2021-01,140,286,106,187,55,68,2.95,71
2021-02,161,335,117,185,24,53,2.17,81
2021-03,290,362,117,631,17,63,1.71,79
2021-04,122,350,57,173,23,44,0.98,112
2021-05,210,345,90,445,18,34,1.03,140
2021-06,76,339,43,75,16,33,1.18,138
2021-07,65,361,45,68,13,25,1.31,109
2021-08,67,341,46,81,17,29,1.16,102
2021-09,57,307,31,59,17,32,0.95,74
2021-10,120,340,90,138,18,57,1.38,57
2021-11,112,329,84,142,19,57,1.62,74
2021-12,90,324,63,121,21,53,1.71,62
2022-01,131,285,99,124,17,54,1.92,63
2022-02,76,268,55,81,13,42,1.3,77
2022-03,124,314,92,186,11,48,1.2,79
