年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,129,269,97,154,104,70,1.95,59
2015-02,101,235,75,128,62,54,1.62,70
2015-03,80,275,56,100,64,37,1.43,62
2015-04,97,248,71,123,71,51,1.67,94
2015-05,148,335,111,193,84,29,1.76,106
2015-06,76,258,53,99,60,17,1.74,63
2015-07,140,355,105,187,65,19,1.92,58
2015-08,82,302,59,99,53,18,1.96,55
2015-09,71,278,47,84,30,22,1.71,64
2015-10,121,326,90,173,61,35,1.5,62
2015-11,84,291,60,116,57,36,1.86,28
2015-12,142,293,108,177,63,42,2.66,31
2016-01,146,280,110,192,108,57,2.76,46
2016-02,205,289,151,250,100,39,1.97,74
2016-03,130,286,98,177,112,52,2.08,93
2016-04,105,272,77,141,47,35,1.34,113
2016-05,93,321,66,116,56,31,1.63,122
2016-06,91,318,61,107,58,24,1.82,117
2016-07,73,293,50,84,46,20,1.71,81
2016-08,86,329,62,101,48,24,2.05,90
2016-09,104,324,77,131,51,33,1.72,92
2016-10,84,337,60,109,52,38,1.67,80
2016-11,127,265,96,143,70,53,1.65,48
2016-12,166,342,125,184,70,59,1.95,57
2017-01,295,341,256,341,92,59,2.24,63
2017-02,143,321,109,169,62,51,1.71,85
2017-03,126,351,95,134,54,41,1.39,94
2017-04,87,291,63,105,56,45,1.59,109
2017-05,120,334,89,156,46,37,1.5,118
2017-06,75,302,54,87,41,28,1.27,85
2017-07,82,312,57,101,39,28,1.42,79
2017-08,67,343,46,76,29,24,1.14,89
2017-09,89,341,61,101,41,30,1.19,132
2017-10,99,338,74,113,47,37,1.06,116
2017-11,142,359,107,155,66,52,1.87,99
2017-12,151,350,114,180,84,70,1.95,82
2018-01,195,304,147,203,88,62,1.74,68
2018-02,195,315,150,208,36,53,1.61,84
2018-03,100,289,71,137,55,57,1.78,96
2018-04,95,271,70,136,44,37,1.49,93
2018-05,82,310,56,106,40,36,1.32,115
2018-06,94,305,51,87,29,24,1.15,140
2018-07,72,327,47,83,25,30,1.39,98
2018-08,91,306,47,74,22,19,1.05,143
2018-09,73,335,42,83,36,24,0.98,112
2018-10,88,327,54,95,38,47,1.42,123
2018-11,87,322,64,108,42,51,1.86,83
2018-12,112,260,84,135,37,58,2.13,48
2019-01,141,340,107,153,28,50,1.69,82
2019-02,102,261,76,112,24,36,1.43,60
2019-03,73,260,52,95,36,51,1.39,70
2019-04,64,284,43,76,29,30,1.69,72
2019-05,71,272,49,90,34,25,1.39,96
2019-06,57,281,36,61,30,26,1.29,134
2019-07,57,266,31,57,26,22,1.14,92
2019-08,65,312,44,75,26,17,0.85,143
2019-09,81,339,49,93,32,32,0.85,127
2019-10,97,360,65,144,35,41,1.37,122
2019-11,93,300,62,136,50,65,1.54,94
2019-12,117,335,88,158,63,82,2.12,63
2020-01,74,219,53,94,44,50,1.66,69
2020-02,66,297,47,68,34,25,1.41,78
2020-03,73,290,47,97,41,47,1.13,84
2020-04,78,293,55,96,47,46,1.46,115
2020-05,69,333,49,82,41,29,1.35,128
2020-06,51,299,31,54,48,22,1.7,66
2020-07,68,332,46,82,41,27,1.72,80
2020-08,56,346,35,61,42,23,1.43,121
2020-09,70,362,50,83,28,31,1.15,108
2020-10,80,350,51,111,46,36,1.13,124
2020-11,81,337,54,113,43,52,1.14,102
2020-12,129,285,98,161,44,65,1.56,56
2021-01,115,305,74,179,71,75,2.28,56
2021-02,76,327,52,98,26,46,1.51,70
2021-03,82,267,47,115,47,48,1.45,75
2021-04,84,326,45,119,30,44,1.0,78
2021-05,77,340,47,103,35,33,1.55,115
2021-06,59,339,39,67,37,27,1.5,104
2021-07,51,332,31,54,42,26,1.5,89
2021-08,55,340,38,59,42,20,1.25,123
2021-09,65,348,42,76,36,30,1.2,114
2021-10,84,343,62,107,28,46,1.2,97
2021-11,85,307,62,112,51,55,1.89,69
2021-12,105,342,78,139,41,56,1.56,94
2022-01,102,249,76,125,36,57,1.37,64
2022-02,72,302,52,92,21,50,1.27,62
2022-03,79,222,52,107,24,55,1.16,85
