年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,118,273,85,155,10,27,1.53,93
2015-02,82,188,52,96,12,18,2.03,80
2015-03,78,187,32,100,9,22,3.23,93
2015-04,139,353,90,106,9,23,3.35,116
2015-05,91,279,62,89,8,26,3.94,106
2015-06,215,366,164,140,9,38,0.96,88
2015-07,63,230,24,74,6,27,0.76,92
2015-08,80,337,35,98,5,32,1.31,101
2015-09,57,213,26,67,7,27,2.15,80
2015-10,70,273,29,91,8,46,1.92,79
2015-11,91,337,48,118,10,35,3.18,77
2015-12,117,266,79,151,10,34,5.24,70
2016-01,83,256,49,96,11,31,3.07,85
2016-02,110,328,53,167,9,25,2.28,100
2016-03,62,283,29,63,8,22,1.66,102
2016-04,83,322,29,75,7,30,2.7,134
2016-05,83,302,40,112,7,40,2.72,142
2016-06,77,346,45,49,8,22,1.05,128
2016-07,112,362,51,57,42,37,0.91,88
2016-08,52,179,27,37,44,27,0.81,91
2016-09,267,367,29,373,19,22,0.88,80
2016-10,166,358,58,252,11,42,1.15,71
2016-11,100,346,59,135,9,52,2.14,59
2016-12,136,300,79,168,11,51,2.34,63
2017-01,65,164,42,79,13,37,1.71,76
2017-02,69,158,35,86,12,36,1.7,90
2017-03,96,274,38,111,13,37,1.29,105
2017-04,89,324,46,120,14,30,1.43,127
2017-05,73,263,30,79,10,16,1.19,116
2017-06,89,306,30,95,19,71,3.14,110
2017-07,97,338,29,103,15,39,1.0,155
2017-08,52,229,23,63,8,25,0.9,74
2017-09,67,283,24,87,10,36,0.81,73
2017-10,83,283,29,106,12,40,1.5,100
2017-11,77,307,33,106,7,33,1.27,58
2017-12,104,277,67,132,11,26,4.15,52
2018-01,92,248,47,128,5,28,2.2,88
2018-02,91,255,44,134,8,30,2.2,91
2018-03,63,203,38,66,13,24,1.08,96
2018-04,86,247,53,119,7,25,0.81,131
2018-05,68,271,26,64,7,21,0.93,117
2018-06,80,239,23,73,6,21,0.82,131
2018-07,59,270,19,58,9,14,0.89,97
2018-08,55,269,19,64,6,20,0.93,71
2018-09,46,222,17,48,4,19,0.73,80
2018-10,53,185,19,62,3,27,1.18,81
2018-11,72,211,28,98,4,30,1.46,60
2018-12,67,286,38,74,5,45,1.44,52
2019-01,54,141,28,59,3,66,1.37,59
2019-02,49,123,27,48,4,21,1.46,71
2019-03,47,71,17,49,6,23,0.96,81
2019-04,64,207,15,47,10,20,0.71,113
2019-05,76,326,11,32,7,16,0.65,126
2019-06,50,178,11,31,8,19,0.84,103
2019-07,44,136,8,26,7,20,0.73,106
2019-08,47,238,10,34,9,18,0.76,86
2019-09,32,76,9,32,8,22,1.08,71
2019-10,40,127,18,44,9,30,1.03,65
2019-11,50,155,30,57,10,38,1.36,59
2019-12,60,187,30,74,12,39,1.5,62
2020-01,57,118,29,64,11,39,1.54,78
2020-02,47,218,29,33,13,12,1.13,73
2020-03,57,264,18,65,12,20,0.84,96
2020-04,47,115,22,53,11,24,1.17,91
2020-05,36,123,12,25,15,16,0.65,116
2020-06,36,150,11,23,13,12,0.84,111
2020-07,36,182,8,30,12,9,0.68,87
2020-08,31,173,11,26,12,10,0.57,90
2020-09,52,280,15,61,10,14,0.85,83
2020-10,32,110,16,30,10,20,0.85,72
2020-11,33,110,15,35,11,20,1.08,77
2020-12,43,121,23,42,10,28,1.18,62
2021-01,36,59,17,36,10,20,0.93,72
2021-02,48,129,28,40,13,14,0.85,93
2021-03,40,203,16,32,10,11,0.84,119
2021-04,39,159,11,25,8,10,0.76,125
2021-05,37,310,10,16,8,6,2.28,117
2021-06,31,139,8,14,8,6,0.67,100
2021-07,31,157,9,15,8,7,0.76,100
2021-08,26,110,6,18,8,7,0.78,82
2021-09,25,81,7,15,9,10,0.73,78
2021-10,28,111,11,22,9,15,0.72,70
2021-11,38,234,24,39,9,22,0.9,63
2021-12,40,80,28,34,10,29,1.09,71
2022-01,30,67,16,27,11,19,1.05,73
2022-02,29,79,13,20,9,14,0.91,91
2022-03,48,170,28,52,12,12,0.89,105
