年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,41,18,17,42,42,16,0.88,4
2015-02,51,71,20,52,27,10,0.56,16
2015-03,44,45,13,44,17,11,0.65,20
2015-04,40,10,13,39,15,12,0.63,20
2015-05,42,60,20,42,11,10,0.68,29
2015-06,31,64,11,30,20,14,0.7,30
2015-07,54,132,28,59,13,22,0.86,27
2015-08,29,33,11,28,12,10,0.59,23
2015-09,27,20,8,24,9,11,0.67,12
2015-10,32,31,7,31,10,15,0.44,15
2015-11,42,68,21,37,26,24,0.66,9
2015-12,31,25,5,30,17,7,0.54,16
2016-01,47,69,9,50,30,14,0.61,13
2016-02,33,15,5,24,19,11,0.77,23
2016-03,60,156,30,65,43,22,0.82,47
2016-04,48,102,23,50,20,15,0.68,49
2016-05,39,48,13,33,18,11,0.68,34
2016-06,42,103,9,22,12,11,0.94,47
2016-07,24,25,8,21,8,7,0.92,36
2016-08,31,25,10,27,13,11,0.95,29
2016-09,24,22,10,22,15,15,1.05,22
2016-10,23,10,5,21,13,17,0.97,20
2016-11,47,140,30,48,17,22,0.92,21
2016-12,51,46,22,51,23,21,0.78,7
2017-01,42,67,25,39,22,19,0.87,12
2017-02,45,58,23,45,33,21,0.9,40
2017-03,50,72,13,40,11,17,0.69,52
2017-04,50,84,17,49,17,17,0.7,53
2017-05,54,149,19,47,11,12,0.73,79
2017-06,59,204,19,42,8,13,0.75,77
2017-07,61,217,31,70,5,9,0.8,38
2017-08,44,235,22,45,9,10,0.71,42
2017-09,55,184,20,42,10,15,0.55,23
2017-10,18,4,6,16,6,17,0.59,13
2017-11,58,118,15,66,21,23,0.63,14
2017-12,39,27,8,37,10,13,0.48,25
2018-01,49,70,14,45,9,10,0.43,14
2018-02,54,77,11,56,16,12,0.49,41
2018-03,57,167,20,56,7,14,0.52,20
2018-04,49,145,13,32,5,11,0.29,41
2018-05,46,123,13,29,8,17,0.51,69
2018-06,50,146,23,43,11,20,0.79,73
2018-07,42,175,20,39,4,9,0.53,59
2018-08,35,91,7,29,7,9,0.62,65
2018-09,33,96,6,16,3,15,0.39,32
2018-10,44,110,7,32,5,13,0.32,45
2018-11,43,160,21,41,5,26,0.64,15
2018-12,49,70,12,49,6,24,0.5,12
2019-01,53,87,15,56,7,17,0.48,17
2019-02,68,155,28,77,3,11,0.41,42
2019-03,52,129,7,49,6,16,0.45,46
2019-04,44,100,14,43,3,16,0.53,47
2019-05,60,227,11,54,7,13,0.33,72
2019-06,47,268,12,48,5,15,0.46,93
2019-07,59,291,10,51,6,16,0.46,108
2019-08,46,224,26,46,5,16,0.77,51
2019-09,18,22,5,16,4,17,0.67,29
2019-10,27,108,7,27,5,18,0.55,33
2019-11,50,189,11,53,6,17,0.43,14
2019-12,45,108,9,47,7,15,0.47,20
2020-01,70,164,29,87,12,16,0.81,15
2020-02,33,137,5,34,5,5,0.42,39
2020-03,51,121,11,59,6,16,0.44,46
2020-04,54,166,14,56,3,15,0.49,46
2020-05,38,185,9,38,5,12,0.53,48
2020-06,39,243,18,34,5,17,0.67,71
2020-07,37,222,13,34,3,11,0.59,77
2020-08,27,144,10,26,4,7,0.71,45
2020-09,40,147,10,36,5,14,0.73,54
2020-10,41,219,19,41,4,18,0.81,15
2020-11,38,82,12,38,4,17,0.53,18
2020-12,37,77,5,37,6,10,0.53,20
2021-01,42,72,6,43,6,10,0.43,15
2021-02,35,104,7,34,4,9,0.61,45
2021-03,40,96,11,43,3,14,0.43,41
2021-04,32,38,8,23,3,12,0.45,55
2021-05,28,175,5,28,4,11,0.48,65
2021-06,27,146,4,26,3,11,0.48,49
2021-07,20,43,4,16,4,12,0.53,46
2021-08,23,85,4,14,3,10,0.47,44
2021-09,22,89,5,15,3,15,0.61,48
2021-10,23,114,10,23,3,19,0.48,29
2021-11,34,132,6,34,4,11,0.46,31
2021-12,39,85,4,41,4,16,0.43,14
2022-01,64,144,27,70,4,10,0.52,22
2022-02,45,167,12,47,4,15,0.53,34
2022-03,60,194,16,71,3,16,0.39,36
