年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,84,238,60,98,14,27,0.87,61
2015-02,147,294,123,119,25,26,1.11,82
2015-03,201,359,153,182,18,38,1.26,136
2015-04,79,280,57,82,13,24,0.52,94
2015-05,82,293,47,83,87,24,0.7,109
2015-06,47,137,17,46,14,18,0.8,80
2015-07,48,127,29,49,18,19,1.95,94
2015-08,35,37,13,32,15,11,0.57,62
2015-09,31,20,10,23,14,10,0.73,59
2015-10,51,129,33,48,19,15,0.65,77
2015-11,46,187,29,36,7,18,0.74,38
2015-12,64,243,43,62,10,23,0.85,50
2016-01,61,170,40,65,7,26,2.02,54
2016-02,112,275,83,113,9,32,1.27,69
2016-03,98,307,72,112,9,32,0.86,74
2016-04,100,348,70,125,12,37,0.85,85
2016-05,65,229,36,78,20,22,0.83,78
2016-06,46,151,16,50,7,11,0.53,64
2016-07,33,74,16,27,11,14,0.31,44
2016-08,39,91,19,36,9,14,0.34,59
2016-09,55,106,38,50,31,24,0.59,65
2016-10,50,185,33,49,5,17,0.84,53
2016-11,50,237,27,55,12,19,0.74,39
2016-12,63,201,35,76,6,23,0.75,45
2017-01,117,158,85,90,13,21,0.73,56
2017-02,78,272,49,103,6,25,1.05,74
2017-03,117,346,88,135,5,31,1.03,97
2017-04,143,364,106,169,13,36,0.91,113
2017-05,93,333,64,106,15,30,0.63,95
2017-06,59,235,30,66,12,16,0.59,91
2017-07,49,135,31,47,8,15,0.67,68
2017-08,35,81,24,29,8,14,0.82,62
2017-09,33,75,18,28,9,16,0.61,46
2017-10,43,127,25,41,7,27,0.85,51
2017-11,57,135,39,60,8,40,1.02,90
2017-12,67,95,45,76,7,25,0.76,82
2018-01,55,168,29,60,6,26,0.81,56
2018-02,106,188,80,97,15,23,0.91,86
2018-03,101,334,73,120,7,35,0.92,109
2018-04,91,345,56,109,8,29,0.85,118
2018-05,70,240,35,84,8,30,0.44,95
2018-06,65,286,24,78,8,20,0.54,60
2018-07,36,124,8,25,8,19,0.72,72
2018-08,43,160,15,40,7,20,0.87,62
2018-09,33,132,12,32,8,20,0.64,39
2018-10,42,62,21,41,5,18,0.7,67
2018-11,41,146,18,41,7,24,0.83,50
2018-12,53,275,23,59,5,27,0.84,43
2019-01,43,66,23,43,4,24,0.79,68
2019-02,65,219,42,68,7,28,0.69,71
2019-03,132,353,92,112,6,36,1.08,110
2019-04,170,363,128,152,8,37,1.34,123
2019-05,87,302,57,114,7,26,0.81,124
2019-06,38,67,19,31,7,25,0.4,78
2019-07,35,92,14,33,10,17,0.41,48
2019-08,36,154,16,35,7,14,0.5,59
2019-09,43,92,25,42,12,19,0.63,88
2019-10,33,112,19,32,8,17,0.53,59
2019-11,41,205,23,42,6,22,0.49,50
2019-12,49,110,27,52,5,29,0.66,53
2020-01,73,209,54,66,7,27,0.63,65
2020-02,79,330,58,72,4,19,0.93,90
2020-03,137,365,103,127,6,29,1.09,115
2020-04,114,354,85,115,4,33,0.98,119
2020-05,57,317,28,63,9,24,0.61,94
2020-06,37,156,17,38,10,18,0.64,53
2020-07,23,56,12,21,6,10,0.46,51
2020-08,26,92,13,25,9,12,0.53,43
2020-09,35,112,19,35,10,14,0.69,47
2020-10,41,75,21,41,6,21,0.68,59
2020-11,47,245,30,46,8,29,0.74,58
2020-12,47,246,25,50,5,22,0.77,50
2021-01,68,147,47,79,6,23,1.22,71
2021-02,71,275,49,73,8,25,0.86,83
2021-03,131,340,99,161,8,44,1.18,118
2021-04,95,364,68,123,7,39,0.76,104
2021-05,46,293,25,46,8,23,0.61,79
2021-06,33,135,16,33,6,13,0.67,64
2021-07,22,78,12,19,6,13,0.55,56
2021-08,26,91,13,23,10,13,0.6,51
2021-09,29,104,15,25,7,13,0.79,46
2021-10,28,136,15,25,8,13,0.75,57
2021-11,28,132,18,23,9,14,0.8,53
2021-12,42,89,29,35,7,19,0.9,52
2022-01,41,122,26,42,6,28,0.93,58
2022-02,56,197,40,50,8,22,1.17,67
2022-03,65,287,46,72,9,27,1.28,88
