年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,93.0,147.0,67.0,111.0,13.0,28.0,1.05,23.0
2015-02,76.0,140.0,54.5,77.5,9.0,14.5,0.765,32.0
2015-03,59.0,126.0,39.0,61.0,8.0,18.0,0.61,29.0
2015-04,68.0,178.5,47.0,76.5,12.5,22.5,0.695,41.5
2015-05,65.0,175.0,43.0,74.0,8.0,15.0,0.68,39.0
2015-06,46.5,130.5,25.5,47.5,8.0,12.0,0.635,34.0
2015-07,46.0,104.0,23.0,47.0,7.0,11.0,0.62,37.0
2015-08,59.0,176.0,36.0,61.0,6.0,12.0,0.63,45.0
2015-09,52.0,135.5,32.0,52.5,7.5,12.5,0.64,46.5
2015-10,59.0,117.0,38.0,58.0,8.0,18.0,0.63,44.0
2015-11,41.5,68.0,26.0,40.0,5.0,16.5,0.81,16.0
2015-12,68.0,134.0,46.0,71.0,6.0,18.0,0.6,24.0
2016-01,59.0,114.0,36.0,56.0,4.0,16.0,0.7,30.0
2016-02,79.0,213.0,56.0,88.0,5.0,13.0,0.62,48.0
2016-03,72.0,140.0,48.0,77.0,7.0,18.0,0.75,60.0
2016-04,52.5,91.0,31.5,50.5,4.0,12.0,0.755,58.0
2016-05,46.0,73.0,29.0,45.0,5.0,9.0,0.77,65.0
2016-06,53.0,156.0,32.0,48.5,5.5,7.5,0.7,62.0
2016-07,46.0,171.0,26.0,46.0,4.0,5.0,0.66,39.0
2016-08,52.0,181.0,31.0,54.0,6.0,6.0,0.82,48.0
2016-09,57.5,149.5,33.5,59.5,6.0,9.0,0.84,67.5
2016-10,44.0,106.0,25.0,46.0,5.0,10.0,0.67,38.0
2016-11,55.0,103.5,37.0,56.5,7.5,16.5,0.61,23.5
2016-12,71.0,131.0,50.0,88.0,9.0,32.0,0.68,33.0
2017-01,72.0,161.0,51.0,75.0,7.0,17.0,0.71,39.0
2017-02,78.0,164.5,52.0,79.0,7.0,18.5,0.7,51.0
2017-03,49.0,81.0,31.0,49.0,7.0,22.0,0.75,55.0
2017-04,74.0,186.0,47.0,88.5,14.0,18.5,0.75,66.0
2017-05,71.0,172.0,43.0,77.0,12.0,16.0,0.79,76.0
2017-06,40.0,88.0,23.5,37.5,6.0,9.0,0.92,52.5
2017-07,55.0,184.0,32.0,56.0,9.0,7.0,0.84,55.0
2017-08,42.0,125.0,24.0,40.0,8.0,6.0,0.88,53.0
2017-09,50.0,142.5,29.0,48.5,7.5,8.5,0.845,51.5
2017-10,49.5,126.5,30.5,49.5,9.0,11.0,0.78,53.0
2017-11,64.0,124.0,43.5,72.0,10.0,18.0,0.85,28.5
2017-12,73.0,128.0,50.0,88.0,13.0,25.0,0.8,29.0
2018-01,65.0,112.0,43.0,74.0,10.0,21.0,0.82,25.0
2018-02,64.5,100.5,38.0,72.5,7.0,12.0,0.655,44.5
