年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,199,312,150,188,27,56,2.08,39
2015-02,149,327,114,157,26,29,1.38,57
2015-03,102,326,76,119,24,32,1.01,59
2015-04,100,315,75,121,24,38,0.96,67
2015-05,128,330,96,141,17,23,1.21,84
2015-06,68,263,45,80,12,16,1.01,57
2015-07,89,289,65,102,15,28,1.33,56
2015-08,83,307,60,99,20,32,1.09,66
2015-09,90,331,66,95,14,23,0.83,81
2015-10,88,235,63,106,17,28,0.87,68
2015-11,72,177,51,73,11,29,1.26,44
2015-12,136,299,102,138,20,39,1.56,50
2016-01,170,338,128,192,12,46,1.17,62
2016-02,229,356,185,250,39,28,1.18,82
2016-03,110,317,77,168,17,41,1.04,93
2016-04,99,248,69,140,15,28,1.24,102
2016-05,73,262,49,81,13,17,1.15,95
2016-06,74,298,50,74,10,12,1.04,92
2016-07,83,318,61,99,9,10,0.98,79
2016-08,85,316,59,99,19,17,1.03,111
2016-09,84,309,59,95,13,20,1.16,84
2016-10,70,292,44,80,13,23,1.27,84
2016-11,108,259,80,137,16,33,1.24,51
2016-12,200,354,152,215,19,42,1.55,56
2017-01,214,285,177,210,47,46,1.51,70
2017-02,103,265,76,111,13,39,1.02,77
2017-03,100,322,74,130,21,41,0.95,78
2017-04,99,281,72,132,20,35,1.12,102
2017-05,92,305,64,98,21,22,1.11,108
2017-06,75,243,54,69,11,14,1.23,83
2017-07,90,318,63,103,14,11,1.13,106
2017-08,61,278,37,62,16,12,1.01,69
2017-09,74,309,49,85,19,20,1.06,99
2017-10,91,306,67,98,16,26,1.2,83
2017-11,88,326,64,113,20,35,1.09,83
2017-12,113,308,84,135,27,42,1.17,58
2018-01,128,282,97,140,22,39,1.45,55
2018-02,169,288,130,159,29,30,0.99,63
2018-03,80,178,50,107,28,29,0.91,74
2018-04,84,244,57,116,19,28,0.97,87
2018-05,77,220,48,101,20,21,1.13,104
2018-06,82,268,40,74,18,16,0.95,128
2018-07,62,256,42,68,17,9,1.27,68
2018-08,73,284,41,60,12,11,0.96,99
2018-09,72,310,34,68,18,22,1.17,102
2018-10,82,320,59,94,28,28,0.97,98
2018-11,79,273,58,82,23,27,0.91,63
2018-12,85,187,62,90,28,33,1.35,41
2019-01,138,338,103,147,22,37,1.5,58
2019-02,62,104,44,56,10,19,0.89,51
2019-03,85,287,62,105,13,32,0.96,77
2019-04,61,290,37,69,17,25,0.82,77
2019-05,82,265,53,97,19,25,0.79,104
2019-06,61,223,33,61,11,27,0.84,102
2019-07,55,283,33,59,11,15,0.76,60
2019-08,59,282,40,68,12,18,0.75,100
2019-09,77,308,51,89,14,32,0.9,108
2019-10,112,322,59,173,17,33,1.1,93
2019-11,80,286,49,110,28,42,0.81,71
2019-12,95,310,69,118,26,55,1.08,62
2020-01,73,191,53,76,17,30,1.13,52
2020-02,55,255,31,61,8,21,0.78,69
2020-03,81,315,58,101,21,39,0.79,67
2020-04,77,321,47,104,24,43,0.89,100
2020-05,65,270,40,81,19,33,0.93,95
2020-06,48,252,29,51,16,21,0.99,68
2020-07,63,315,42,70,21,20,1.1,84
2020-08,61,354,39,70,35,23,1.05,69
2020-09,71,313,50,90,34,30,0.95,83
2020-10,76,303,36,101,32,32,0.75,75
2020-11,72,253,39,94,26,34,0.93,65
2020-12,79,271,58,101,26,49,1.11,49
2021-01,102,283,76,147,23,47,1.23,51
2021-02,71,310,52,77,13,32,0.95,75
2021-03,68,170,39,86,23,34,1.05,78
2021-04,86,333,44,122,21,35,0.87,78
2021-05,70,279,47,86,26,31,1.08,113
2021-06,56,353,30,56,20,21,0.69,91
2021-07,52,307,28,56,17,19,0.81,72
2021-08,59,346,35,70,19,17,0.7,76
2021-09,68,356,38,66,15,21,0.7,109
2021-10,60,318,41,67,13,28,0.65,67
2021-11,68,303,38,85,21,41,0.7,60
2021-12,83,333,60,107,17,49,1.16,66
2022-01,88,217,65,112,19,49,1.17,53
2022-02,64,225,40,76,10,39,0.91,65
2022-03,68,186,45,85,12,39,0.73,91
