年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-12,112,65,84,159,36,43,1.76,68
2014-01,50,5,12,47,15,8,0.87,24
2014-02,42,6,12,30,10,2,0.67,11
2014-03,50,8,14,51,15,13,0.82,20
2014-04,34,1,20,31,14,14,1.08,26
2014-05,33,8,14,27,13,13,1.15,45
2014-06,29,5,12,23,12,12,0.99,39
2014-07,18,4,6,15,18,11,1.19,25
2014-08,24,3,9,17,9,11,0.56,27
2014-09,25,8,9,17,10,10,0.67,21
2014-10,29,4,14,26,10,10,0.75,32
2014-11,38,4,12,38,16,13,0.67,14
2014-12,40,5,22,39,11,19,1.04,20
2015-01,35,8,11,28,14,14,0.44,20
2015-02,31,2,16,27,14,6,0.5,31
2015-03,38,20,14,26,7,11,0.53,61
2015-04,35,10,15,19,15,8,0.62,38
2015-05,32,22,15,20,10,10,0.32,54
2015-06,25,16,10,17,6,8,0.56,43
2015-07,30,23,12,22,13,12,0.63,32
2015-08,18,5,8,14,9,11,0.56,18
2015-09,19,2,6,15,10,11,0.62,13
2015-10,31,38,9,17,9,11,0.66,25
2015-11,22,6,10,20,14,11,0.54,11
2015-12,33,7,16,31,10,11,0.51,5
2016-01,32,15,12,27,11,10,0.61,28
2016-02,32,21,20,30,10,4,0.65,15
2016-03,33,28,15,28,12,12,0.58,37
2016-04,52,75,18,46,14,10,0.55,70
2016-05,31,19,14,23,8,7,0.65,36
2016-06,24,17,9,22,12,7,0.75,28
2016-07,22,12,9,21,7,8,0.82,20
2016-08,28,16,12,21,10,12,0.77,38
2016-09,39,60,13,28,11,13,0.71,45
2016-10,29,17,11,25,10,7,0.58,15
2016-11,30,17,11,27,11,11,0.42,18
2016-12,37,8,14,31,8,17,0.61,31
2017-01,33,5,11,16,10,6,0.66,11
2017-02,35,14,14,28,9,10,0.52,13
2017-03,45,41,12,44,14,10,0.53,31
2017-04,46,56,15,47,16,10,0.61,44
2017-05,43,44,12,41,9,13,0.53,54
2017-06,35,44,10,34,10,13,0.7,23
2017-07,23,9,10,20,8,18,0.63,14
2017-08,23,7,9,18,13,19,0.76,29
2017-09,25,16,13,19,9,9,0.82,25
2017-10,24,8,13,23,9,14,0.59,16
2017-11,33,7,11,31,6,17,0.72,14
2017-12,40,26,21,37,8,20,0.7,7
2018-01,28,13,14,22,8,14,0.33,16
2018-02,47,30,14,32,9,6,0.35,28
2018-03,39,5,20,31,8,9,0.54,52
2018-04,40,17,20,38,9,12,0.64,40
2018-05,24,8,9,22,8,8,0.54,34
2018-06,20,6,5,16,9,5,0.6,28
2018-07,25,14,11,23,9,7,0.67,29
2018-08,30,63,10,27,12,9,0.64,24
2018-09,23,16,6,16,5,10,0.59,24
2018-10,23,11,9,21,5,11,0.58,11
2018-11,37,36,10,36,10,12,0.53,24
2018-12,31,14,9,30,5,10,0.61,9
2019-01,35,30,8,33,5,12,0.45,20
2019-02,31,16,7,23,7,5,0.47,34
2019-03,33,40,13,25,9,7,0.47,27
2019-04,42,58,16,34,9,10,0.39,55
2019-05,34,47,11,19,7,9,0.52,57
2019-06,22,32,7,15,5,7,0.5,42
2019-07,18,16,8,14,6,9,0.55,31
2019-08,24,45,10,19,5,12,0.67,45
2019-09,16,16,8,13,5,10,0.64,21
2019-10,13,5,6,10,4,9,0.54,27
2019-11,25,22,13,23,4,11,0.51,23
2019-12,30,26,10,25,4,12,0.5,9
2020-01,19,7,9,15,3,7,0.4,28
2020-02,29,48,15,20,5,5,0.48,21
2020-03,32,54,17,31,6,7,0.38,38
2020-04,28,23,16,25,6,11,0.4,29
2020-05,23,18,6,14,9,9,0.33,41
2020-06,17,23,6,14,4,7,0.52,43
2020-07,11,5,5,8,4,6,0.39,17
2020-08,11,2,4,10,5,8,0.53,29
2020-09,16,16,7,13,7,10,0.68,26
2020-10,15,6,7,10,6,11,0.33,15
2020-11,23,27,9,22,7,7,0.42,18
2020-12,24,6,11,21,5,11,0.29,8
2021-01,28,11,18,25,4,12,0.45,14
2021-02,37,43,20,33,4,9,0.4,39
2021-03,41,47,25,45,5,12,0.52,38
2021-04,20,4,12,16,3,12,0.47,41
2021-05,24,26,9,16,3,7,0.42,51
2021-06,20,37,8,12,4,8,0.42,46
2021-07,15,19,7,10,4,8,0.27,35
2021-08,16,16,8,11,4,9,0.4,27
2021-09,16,16,8,11,5,10,0.32,35
2021-10,15,14,8,9,4,9,0.37,26
2021-11,17,8,9,11,5,12,0.4,27
2021-12,21,10,13,14,5,13,0.51,33
2022-01,22,10,12,13,3,9,0.34,32
2022-02,21,12,10,6,3,6,0.35,28
2022-03,30,32,17,23,4,8,0.43,49
