年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,262,468,213,288,305,85,3.09,80
2015-02,261,360,211,262,273,68,9.68,104
2015-03,138,346,104,176,147,47,1.87,119
2015-04,135,314,61,196,75,52,1.45,148
2015-05,160,337,75,117,51,42,1.11,221
2015-06,148,359,93,144,51,39,1.66,206
2015-07,149,360,97,136,63,44,1.58,198
2015-08,117,353,54,169,60,45,1.51,133
2015-09,119,357,89,128,45,65,1.76,112
2015-10,143,329,107,175,86,67,1.9,91
2015-11,221,362,178,235,168,90,3.37,65
2015-12,219,335,165,251,302,80,4.3,79
2016-01,204,358,159,212,288,65,2.97,93
2016-02,231,342,181,203,217,49,2.8,112
2016-03,234,364,184,340,160,60,1.73,106
2016-04,144,347,75,223,69,46,1.25,124
2016-05,145,361,97,157,76,48,1.29,180
2016-06,120,362,85,146,52,45,1.22,138
2016-07,141,362,106,141,46,37,1.52,178
2016-08,100,361,67,118,51,40,1.28,149
2016-09,102,333,74,122,52,46,1.5,105
2016-10,124,343,92,142,86,55,1.71,115
2016-11,181,357,141,221,190,64,1.96,81
2016-12,298,362,247,305,274,67,3.01,70
2017-01,306,359,204,371,351,59,2.96,86
2017-02,215,363,166,238,237,53,2.13,93
2017-03,176,362,134,198,103,56,1.75,111
2017-04,164,345,82,268,59,46,1.34,151
2017-05,430,356,232,867,23,40,1.04,172
2017-06,110,348,57,137,24,40,0.94,160
2017-07,113,348,58,135,25,40,1.14,145
2017-08,89,352,48,99,21,41,1.21,124
2017-09,131,363,84,204,37,65,1.38,138
2017-10,129,356,97,137,43,54,1.47,54
2017-11,149,356,108,219,96,69,1.75,61
2017-12,255,364,191,365,192,79,3.04,64
2018-01,193,365,147,285,142,64,2.12,69
2018-02,253,346,118,398,144,47,2.24,97
2018-03,343,365,137,474,80,58,1.59,124
2018-04,316,356,137,621,35,51,1.16,152
2018-05,236,365,106,408,37,61,0.99,160
2018-06,139,360,58,156,26,44,1.09,162
2018-07,120,362,53,88,19,31,1.19,166
2018-08,101,350,64,127,21,30,2.01,141
2018-09,87,351,40,121,17,47,1.2,98
2018-10,96,356,64,138,44,52,1.1,81
2018-11,273,365,108,532,95,63,1.46,92
2018-12,219,359,133,333,169,64,1.93,56
2019-01,229,362,175,316,159,73,2.93,47
2019-02,170,346,123,268,100,62,1.51,78
2019-03,152,356,113,217,74,69,1.42,87
2019-04,167,362,49,275,48,52,0.94,108
2019-05,181,360,72,333,26,56,0.87,141
2019-06,106,356,42,156,26,78,0.9,152
2019-07,105,362,47,113,25,46,1.12,134
2019-08,69,345,31,89,31,43,1.06,109
2019-09,81,352,31,104,35,46,0.98,102
2019-10,221,353,47,354,40,54,1.07,123
2019-11,206,361,100,302,94,68,1.64,69
2019-12,140,323,104,192,96,62,1.47,57
2020-01,279,363,229,324,138,78,2.14,63
2020-02,139,356,105,209,82,53,1.26,78
2020-03,111,356,75,155,51,42,1.06,115
2020-04,141,351,46,203,44,46,0.84,95
2020-05,315,364,87,578,45,42,0.79,119
2020-06,223,363,53,304,30,51,1.07,163
2020-07,71,353,49,88,31,42,0.98,137
2020-08,67,350,33,83,34,42,0.94,109
2020-09,76,351,55,92,29,45,1.03,112
2020-10,181,362,64,284,49,63,1.1,72
2020-11,157,363,119,220,65,76,1.48,81
2020-12,162,346,122,184,52,56,1.48,70
2021-01,479,364,237,1231,98,76,2.01,72
2021-02,143,364,107,188,55,54,1.16,81
2021-03,404,358,339,2008,22,46,1.29,81
2021-04,282,356,74,565,15,39,0.85,106
2021-05,292,359,125,706,15,44,1.01,162
2021-06,85,347,36,121,26,40,0.91,143
2021-07,67,356,30,84,22,36,0.75,128
2021-08,103,363,64,140,24,42,1.12,121
2021-09,84,356,38,117,30,49,0.86,112
2021-10,88,361,47,126,30,49,0.82,61
2021-11,128,357,70,207,35,61,1.07,60
2021-12,113,322,78,175,38,59,1.19,70
2022-01,200,335,154,224,51,66,1.54,70
2022-02,107,293,79,129,39,49,0.91,78
2022-03,252,337,95,493,18,47,1.0,93
