年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-12,110.0,62.0,25.0,135.0,50.0,36.0,2.38,23.0
2014-01,95.5,63.0,68.0,98.5,94.5,47.0,2.63,15.0
2014-02,89.5,109.5,60.5,94.0,73.5,36.0,3.18,26.0
2014-03,86.0,93.0,58.0,95.5,56.0,33.0,3.415,30.5
2014-04,77.0,84.0,49.0,92.0,33.5,30.5,2.05,47.0
2014-05,60.0,51.0,31.0,69.0,21.0,30.0,1.8,61.0
2014-06,62.0,69.5,37.0,64.0,16.5,32.5,1.685,59.0
2014-07,60.0,89.0,35.0,68.0,14.0,22.0,2.36,63.0
2014-08,64.0,101.0,37.0,73.0,11.0,28.0,1.81,55.0
2014-09,66.5,124.0,32.0,79.0,19.5,34.5,1.87,37.0
2014-10,89.0,115.0,61.0,112.0,23.0,48.0,1.76,47.0
2014-11,110.5,128.0,77.5,136.5,60.5,51.5,2.775,37.5
2014-12,96.0,102.0,67.0,95.0,96.0,65.0,2.81,28.0
2015-01,100.0,207.0,71.0,109.0,101.0,68.0,2.4,21.0
2015-02,88.5,192.0,62.0,107.5,75.0,60.0,2.5,30.0
2015-03,80.0,206.0,50.0,87.0,43.0,43.0,1.86,44.0
2015-04,77.0,214.0,42.5,94.5,25.0,35.5,1.525,58.5
2015-05,63.0,161.0,31.0,68.0,19.0,28.0,1.13,79.0
2015-06,58.0,189.5,27.5,52.5,10.0,25.5,1.005,78.5
2015-07,54.0,173.0,31.0,51.0,7.0,23.0,0.99,64.0
2015-08,55.0,165.0,30.0,56.0,8.0,20.0,1.05,59.0
2015-09,59.0,200.0,29.0,66.5,15.5,34.0,1.005,51.0
2015-10,73.0,183.0,47.0,81.0,23.0,34.0,1.09,42.0
2015-11,113.5,310.5,85.0,122.5,39.0,45.0,1.68,28.0
2015-12,87.0,219.0,63.0,91.0,85.0,47.0,1.65,21.0
2016-01,104.0,249.0,74.0,113.0,89.0,43.0,1.86,25.0
2016-02,68.0,183.0,46.0,69.0,60.0,35.0,1.48,39.0
2016-03,76.0,184.0,49.0,89.0,49.0,34.0,1.3,64.0
2016-04,71.0,208.0,35.0,77.0,24.5,28.5,1.315,81.0
2016-05,65.0,202.0,31.0,60.0,23.0,28.0,1.31,93.0
2016-06,58.0,199.5,28.5,55.0,11.5,28.5,1.32,77.0
2016-07,54.0,184.0,29.0,51.0,8.0,21.0,1.35,60.0
2016-08,46.0,140.0,24.0,42.0,9.0,23.0,1.3,49.0
2016-09,49.5,91.0,27.5,48.0,13.0,26.5,1.435,43.5
2016-10,51.0,166.0,31.0,54.0,19.0,33.0,1.28,33.0
2016-11,71.0,161.5,48.0,79.5,35.0,38.0,1.205,27.0
2016-12,94.0,209.0,70.0,105.0,49.0,39.0,1.42,22.0
2017-01,99.0,195.0,63.0,107.0,66.0,42.0,1.59,29.0
2017-02,82.5,168.0,57.5,89.0,51.0,36.0,1.475,41.5
