年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,258,605,213,266,169,70,2.22,71
2015-02,237,359,188,264,97,99,2.2,64
2015-03,134,333,101,121,36,38,1.6,78
2015-04,114,342,80,135,85,52,1.27,110
2015-05,100,272,74,98,33,37,1.28,91
2015-06,73,260,52,56,47,22,1.09,61
2015-07,95,315,71,93,45,26,1.08,82
2015-08,111,357,80,116,68,26,1.17,110
2015-09,93,332,68,102,54,27,1.24,115
2015-10,128,326,96,153,35,44,1.41,88
2015-11,64,187,45,59,34,40,1.95,61
2015-12,84,175,60,95,57,53,1.92,58
2016-01,118,324,88,135,42,48,2.01,68
2016-02,202,344,161,241,93,67,1.91,85
2016-03,143,359,109,152,107,50,2.01,80
2016-04,90,314,66,99,36,41,1.54,108
2016-05,88,284,65,92,40,36,1.19,105
2016-06,53,149,34,48,92,23,1.0,68
2016-07,72,283,49,69,105,18,0.89,75
2016-08,86,346,62,81,44,21,1.07,97
2016-09,108,365,81,105,66,26,1.13,119
2016-10,91,346,67,88,39,31,1.16,106
2016-11,108,281,81,104,52,40,1.55,58
2016-12,216,344,165,160,50,54,2.25,77
2017-01,257,357,313,397,67,64,2.44,79
2017-02,203,356,158,214,47,55,2.04,76
2017-03,149,352,112,149,85,38,1.64,78
2017-04,98,295,70,107,95,26,1.06,111
2017-05,109,300,81,119,87,47,1.05,103
2017-06,78,272,55,83,25,33,1.09,81
2017-07,99,355,70,100,30,20,0.79,100
2017-08,77,332,55,80,25,22,0.88,99
2017-09,86,320,57,92,19,26,0.96,98
2017-10,135,355,102,144,23,32,1.19,134
2017-11,150,348,113,157,28,48,1.59,120
2017-12,177,361,134,190,49,61,1.46,85
2018-01,201,366,153,207,42,58,2.12,75
2018-02,186,362,145,198,48,56,1.63,82
2018-03,131,321,98,141,33,40,1.11,89
2018-04,111,354,70,171,29,36,1.06,85
2018-05,65,147,41,72,20,26,0.9,96
2018-06,72,294,42,72,22,29,1.06,113
2018-07,72,334,36,69,16,23,0.86,87
2018-08,87,332,56,84,22,26,1.09,122
2018-09,82,349,56,84,27,24,0.96,121
2018-10,91,336,60,103,29,34,1.32,113
2018-11,100,354,74,113,19,43,1.57,89
2018-12,119,275,89,130,30,49,1.53,46
2019-01,206,357,159,207,31,52,1.75,64
2019-02,114,291,85,138,14,28,1.65,65
2019-03,179,363,137,192,21,51,1.47,63
2019-04,86,300,63,94,21,24,1.09,82
2019-05,97,290,59,126,19,25,1.04,86
2019-06,63,229,29,63,20,23,1.01,138
2019-07,58,319,34,64,23,19,0.86,77
2019-08,70,340,46,76,19,19,1.02,107
2019-09,99,354,62,117,23,35,1.13,134
2019-10,87,341,57,102,22,30,1.18,114
2019-11,103,337,76,125,27,41,1.15,119
2019-12,151,359,115,185,33,69,1.66,91
2020-01,148,334,112,125,28,46,1.91,66
2020-02,217,364,172,177,17,40,1.4,80
2020-03,75,326,50,88,20,28,1.24,79
2020-04,78,302,55,93,22,33,1.21,117
2020-05,61,293,40,69,33,26,1.02,105
2020-06,45,233,25,44,23,19,0.73,65
2020-07,45,276,25,45,23,18,0.77,71
2020-08,73,351,49,83,24,21,0.94,100
2020-09,73,345,49,89,23,23,1.0,105
2020-10,78,309,56,106,23,27,1.05,106
2020-11,106,332,80,120,24,41,1.5,111
2020-12,171,328,132,161,27,50,1.49,76
2021-01,220,362,175,213,24,59,1.78,78
2021-02,198,363,156,198,28,51,2.0,101
2021-03,127,342,96,194,25,28,1.27,85
2021-04,82,331,60,94,26,31,1.29,72
2021-05,60,232,42,66,19,30,1.13,91
2021-06,63,293,43,67,18,25,1.03,88
2021-07,61,357,40,68,22,22,0.9,87
2021-08,55,322,36,56,22,18,0.89,108
2021-09,69,343,47,79,33,21,0.99,110
2021-10,75,348,55,74,16,23,0.99,103
2021-11,68,252,48,83,23,34,1.05,92
2021-12,135,284,102,165,19,47,1.26,80
2022-01,125,320,95,136,14,36,1.45,51
2022-02,225,337,180,214,14,43,1.52,76
2022-03,177,335,136,169,20,42,1.45,103
