年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,78.0,112.0,55.0,90.0,41.0,39.0,0.92,26.0
2015-02,66.0,150.5,42.0,72.5,26.5,27.5,1.07,42.5
2015-03,63.0,157.0,36.0,75.0,19.0,27.0,0.95,49.0
2015-04,65.0,165.0,30.5,75.0,8.5,21.0,0.835,59.0
2015-05,53.0,97.0,20.0,56.0,4.0,17.0,0.48,57.0
2015-06,52.5,133.0,22.0,50.5,3.0,15.5,0.565,73.5
2015-07,52.0,148.0,19.0,33.0,3.0,17.0,0.78,87.0
2015-08,44.0,104.0,17.0,32.0,3.0,15.0,0.69,78.0
2015-09,39.0,78.0,15.5,36.0,5.0,26.0,0.87,49.0
2015-10,61.0,105.0,28.0,66.0,9.0,29.0,1.08,43.0
2015-11,94.5,269.0,65.0,101.5,29.0,38.5,1.16,36.5
2015-12,112.0,241.0,83.0,120.0,62.0,40.0,1.17,32.0
2016-01,58.0,135.0,38.0,61.0,31.0,27.0,0.99,37.0
2016-02,52.0,90.0,32.0,54.0,18.0,21.0,1.02,48.0
2016-03,64.0,106.0,32.0,81.0,13.0,17.0,1.08,57.0
2016-04,64.0,150.0,21.5,73.0,5.0,14.0,0.715,66.0
2016-05,68.0,223.0,20.0,67.0,3.0,11.0,0.73,101.0
2016-06,62.5,223.5,17.0,43.5,3.0,15.0,0.7,98.0
2016-07,65.0,250.0,20.0,48.0,4.0,15.0,0.76,107.0
2016-08,57.0,208.0,12.0,45.0,3.0,17.0,0.74,88.0
2016-09,47.0,112.0,14.5,43.0,3.5,22.5,0.715,57.5
2016-10,46.0,141.0,26.0,42.0,7.0,27.0,0.79,48.0
2016-11,66.0,177.0,46.0,64.0,23.0,29.0,0.9,47.5
2016-12,74.0,137.0,53.0,75.0,24.0,25.0,1.18,30.0
2017-01,74.0,166.0,51.0,78.0,24.0,19.0,1.11,31.0
2017-02,58.5,103.5,35.0,62.5,22.5,17.5,0.945,49.5
2017-03,69.0,203.0,47.0,72.0,18.0,25.0,1.02,56.0
2017-04,67.0,161.5,22.0,71.5,8.0,14.5,1.21,65.5
2017-05,70.0,186.0,17.0,81.0,6.0,12.0,1.02,83.0
2017-06,59.5,197.0,14.0,36.0,5.0,14.0,0.87,97.5
2017-07,65.0,241.0,17.0,43.0,6.0,12.0,0.74,112.0
2017-08,44.0,130.0,12.0,38.0,6.0,10.0,0.95,65.0
2017-09,38.0,92.5,10.5,34.5,5.0,13.0,0.915,47.5
2017-10,63.0,228.0,23.5,74.5,9.0,21.0,0.78,45.5
2017-11,55.0,125.0,28.0,61.5,11.5,18.0,0.765,35.5
2017-12,60.0,111.0,36.0,66.0,18.0,26.0,1.09,28.0
2018-01,56.0,151.0,36.0,60.0,15.0,26.0,1.09,37.0
2018-02,60.0,114.5,32.5,66.0,14.5,19.0,1.085,52.5
2018-03,68.0,235.0,43.0,78.0,11.0,22.0,0.91,78.0
2018-04,72.0,174.5,28.0,86.5,4.0,17.0,0.45,86.5
2018-05,64.0,198.0,18.0,63.0,4.0,14.0,0.36,91.0
2018-06,57.5,184.0,16.5,43.5,3.0,10.0,0.355,99.0
2018-07,51.0,206.0,21.0,47.0,2.0,7.0,0.47,74.0
2018-08,37.0,87.0,9.0,34.0,2.0,8.0,0.46,53.0
2018-09,33.0,91.0,8.0,29.0,2.0,9.0,0.38,40.0
2018-10,45.0,95.0,15.0,46.0,2.0,11.0,0.41,31.0
2018-11,53.5,150.5,26.5,57.5,4.0,15.5,0.485,26.5
2018-12,56.0,144.0,35.0,58.0,5.0,16.0,0.52,24.0
2019-01,61.0,130.0,34.0,65.0,6.0,10.0,0.48,35.0
2019-02,83.5,247.0,55.5,86.5,7.0,11.0,0.49,47.0
2019-03,65.0,201.0,31.0,67.0,7.0,16.0,0.65,61.0
2019-04,60.0,233.0,24.0,63.5,4.0,12.5,0.58,73.5
2019-05,50.0,137.0,12.0,46.0,2.0,13.0,0.45,76.0
2019-06,48.0,165.0,10.0,29.0,1.0,10.0,0.46,81.0
2019-07,36.0,126.5,11.0,31.0,2.0,11.5,0.645,79.5
2019-08,26.5,51.5,7.0,26.5,2.0,9.5,0.69,48.5
2019-09,32.0,80.5,9.0,31.5,1.5,12.5,0.575,47.0
2019-10,43.0,147.0,13.0,48.0,2.0,20.0,0.51,34.0
2019-11,36.0,58.0,16.0,38.0,3.5,18.0,0.52,32.0
2019-12,58.0,134.0,39.0,61.0,9.0,25.0,0.78,33.0
2020-01,100.0,246.0,74.0,99.0,12.0,35.0,1.06,59.0
2020-02,45.0,170.0,30.0,41.0,6.0,14.0,0.52,58.0
2020-03,49.0,156.0,26.0,50.0,3.0,14.0,0.44,68.0
2020-04,62.5,221.5,36.0,65.0,4.5,19.0,0.485,70.0
2020-05,34.0,85.0,12.0,32.0,2.0,11.0,0.38,69.0
2020-06,25.0,102.0,8.0,20.5,2.0,11.0,0.44,66.0
2020-07,34.0,177.0,14.0,33.0,3.0,12.0,0.59,74.0
2020-08,24.0,107.0,8.0,20.0,3.0,10.0,0.64,52.0
2020-09,26.0,62.5,7.5,22.5,3.0,13.0,0.645,44.5
2020-10,46.0,151.0,15.0,50.0,4.0,21.0,0.64,29.0
2020-11,41.5,118.5,21.5,44.0,7.0,20.5,0.48,28.0
