年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,200,359,155,235,160,75,2.16,34
2015-02,299,359,241,366,79,84,2.81,57
2015-03,168,352,80,259,46,50,1.76,92
2015-04,186,358,66,277,26,30,1.5,117
2015-05,157,355,51,290,10,30,0.73,137
2015-06,108,350,55,134,7,25,0.99,103
2015-07,84,303,43,61,9,30,1.55,145
2015-08,75,289,36,55,26,24,1.78,133
2015-09,71,238,41,71,11,42,2.16,119
2015-10,299,366,263,317,53,78,1.99,130
2015-11,461,366,537,630,86,102,3.34,61
2015-12,375,366,352,446,126,95,3.53,47
2016-01,168,314,129,171,94,53,1.69,50
2016-02,273,341,272,415,88,39,1.43,61
2016-03,302,358,79,570,50,38,1.74,100
2016-04,332,366,60,502,17,32,0.99,94
2016-05,212,366,53,291,20,34,1.03,192
2016-06,100,345,40,79,10,29,0.96,148
2016-07,131,361,57,109,15,50,1.06,195
2016-08,94,353,55,119,14,38,1.01,151
2016-09,77,228,41,74,11,47,1.15,133
2016-10,122,345,90,151,35,62,1.73,119
2016-11,440,366,419,220,78,70,1.81,69
2016-12,158,298,120,169,75,47,2.1,53
2017-01,281,354,234,288,77,68,3.26,45
2017-02,212,332,166,212,49,35,2.62,60
2017-03,182,366,144,210,36,51,1.62,65
2017-04,270,363,98,440,26,44,1.74,104
2017-05,340,366,113,682,14,28,1.99,170
2017-06,122,364,50,120,8,28,1.5,181
2017-07,123,363,43,99,10,29,1.17,190
2017-08,108,352,31,67,11,19,1.26,163
2017-09,64,293,38,68,9,24,1.51,107
2017-10,189,364,147,209,41,56,1.84,114
2017-11,283,364,248,310,35,40,1.63,57
2017-12,163,314,125,182,65,57,2.06,51
2018-01,160,321,121,163,63,55,2.03,52
2018-02,133,348,101,171,43,37,1.81,75
2018-03,309,366,111,562,38,44,1.58,144
2018-04,393,366,86,561,15,31,0.85,134
2018-05,132,356,55,192,9,26,0.79,168
2018-06,114,339,55,119,9,21,0.56,175
2018-07,78,304,40,68,4,19,0.61,128
2018-08,62,268,19,60,3,11,0.54,111
2018-09,56,245,30,55,4,20,0.57,97
2018-10,90,297,60,118,7,27,0.83,94
2018-11,133,279,50,204,10,27,0.75,54
2018-12,122,320,89,133,10,39,1.07,40
2019-01,200,304,153,192,23,39,1.01,53
2019-02,220,363,181,249,21,33,0.99,67
2019-03,132,345,75,202,18,34,1.3,98
2019-04,368,362,57,700,14,33,0.85,115
2019-05,247,359,53,334,5,22,0.62,163
2019-06,85,317,19,82,4,18,0.62,142
2019-07,71,317,30,51,5,17,0.85,124
2019-08,42,182,23,40,2,17,0.88,68
2019-09,56,247,31,68,3,29,0.96,111
2019-10,107,361,60,160,40,61,1.2,142
2019-11,106,336,79,119,13,45,1.19,42
2019-12,251,363,201,251,29,79,2.05,45
2020-01,228,354,181,232,41,56,1.8,89
2020-02,102,327,76,103,18,25,1.13,88
2020-03,172,357,62,235,9,29,0.69,93
2020-04,253,359,204,254,10,46,1.17,116
2020-05,167,366,32,264,6,24,0.69,128
2020-06,81,307,29,94,6,23,0.78,148
2020-07,59,332,36,62,7,27,0.99,148
2020-08,42,268,20,39,6,26,1.09,105
2020-09,65,330,32,88,7,34,1.29,95
2020-10,178,361,86,242,15,32,1.45,84
2020-11,167,354,127,182,13,44,1.19,50
2020-12,101,220,75,105,18,41,1.28,55
2021-01,149,295,114,156,20,36,1.42,70
2021-02,195,356,95,252,21,41,1.62,82
2021-03,220,340,55,293,11,39,1.16,100
2021-04,201,365,159,228,21,51,1.0,117
2021-05,118,356,53,167,7,21,0.9,165
2021-06,70,330,29,54,7,29,0.82,148
2021-07,43,300,25,39,4,16,0.73,116
2021-08,43,232,29,38,5,19,0.7,95
2021-09,31,166,15,30,15,22,0.8,87
2021-10,74,347,46,81,11,39,0.85,75
2021-11,112,358,81,150,11,43,0.77,51
2021-12,111,299,83,135,14,38,0.75,57
2022-01,241,336,191,248,25,58,1.38,55
2022-02,190,325,214,256,15,46,1.38,74
2022-03,83,262,58,97,9,33,0.84,84
