年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10,193.0,94.0,147.5,179.0,52.5,43.0,1.27,104.0
2013-11,95.5,54.5,71.5,106.0,35.0,38.0,1.025,63.0
2013-12,141.0,59.0,107.0,139.0,55.0,47.0,1.22,73.0
2014-01,182.5,137.0,138.5,172.5,41.5,52.5,1.4249999999999998,60.5
2014-02,87.0,81.0,64.5,74.5,23.0,27.0,1.245,49.5
2014-03,87.0,78.0,64.0,81.0,34.0,27.0,1.1949999999999998,42.0
2014-04,79.5,76.5,57.0,75.0,29.5,21.5,1.065,56.0
2014-05,77.0,77.0,54.0,81.0,32.0,24.0,1.04,75.0
2014-06,63.0,79.5,43.5,61.0,25.0,22.5,0.975,74.0
2014-07,55.0,64.0,31.0,52.0,22.0,20.0,0.8,73.0
2014-08,56.0,80.0,33.0,53.0,24.0,21.0,0.87,69.0
2014-09,68.0,127.0,44.5,71.0,30.5,23.0,0.935,76.0
2014-10,127.0,163.0,96.0,144.0,43.0,32.0,1.15,105.0
2014-11,83.5,75.5,59.0,83.5,41.5,22.5,1.135,55.5
2014-12,91.0,100.0,67.0,103.0,48.0,29.0,1.09,66.0
2015-01,104.0,243.0,78.0,121.0,34.0,34.0,1.35,59.0
2015-02,99.0,226.5,73.0,89.5,21.0,23.5,1.205,50.5
2015-03,69.0,149.0,49.0,58.0,16.0,23.0,1.08,43.0
2015-04,71.0,173.5,47.5,71.0,21.0,21.0,0.915,85.5
2015-05,55.0,118.0,35.0,55.0,18.0,18.0,0.91,75.0
2015-06,44.0,107.0,21.0,39.5,12.0,14.0,0.835,67.0
2015-07,50.0,136.0,30.0,46.0,17.0,14.0,0.98,74.0
2015-08,55.0,200.0,34.0,58.0,21.0,18.0,0.91,66.0
2015-09,58.5,207.0,38.0,64.5,25.0,18.0,0.995,58.5
2015-10,76.0,206.0,55.0,86.0,31.0,29.0,1.08,70.0
2015-11,49.5,114.5,32.0,50.0,26.0,21.0,1.225,34.0
2015-12,56.0,116.0,37.0,55.0,30.0,20.0,1.08,39.0
2016-01,57.0,125.0,40.0,53.0,24.0,21.0,1.34,33.0
2016-02,90.0,225.0,66.0,85.0,28.0,22.0,1.09,59.0
2016-03,80.0,205.0,58.0,79.0,23.0,29.0,1.14,42.0
2016-04,53.0,123.0,36.0,50.5,19.0,19.0,1.03,54.0
2016-05,54.0,127.0,33.0,52.0,17.0,20.0,0.97,56.0
2016-06,40.5,80.5,21.0,36.5,11.5,15.5,0.835,56.0
2016-07,42.0,103.0,22.0,41.0,8.0,13.0,0.84,62.0
2016-08,55.0,197.0,31.0,54.0,18.0,19.0,1.05,58.0
2016-09,65.5,247.0,45.0,71.0,28.0,18.0,0.94,80.5
2016-10,59.0,216.0,38.0,61.0,23.0,19.0,0.98,64.0
2016-11,47.0,73.0,30.0,47.5,15.5,24.0,1.0150000000000001,35.0
2016-12,94.0,184.0,69.0,101.0,26.0,36.0,1.22,45.0
2017-01,98.0,213.0,73.0,101.0,17.0,23.0,1.17,46.0
2017-02,77.0,178.0,53.0,73.5,19.0,25.5,1.0150000000000001,51.0
2017-03,55.0,129.0,35.0,58.0,18.0,23.0,1.12,32.0
2017-04,61.0,145.0,41.5,63.5,11.5,24.0,0.905,59.5
2017-05,61.0,131.0,38.0,61.0,13.0,24.0,0.94,65.0
2017-06,41.0,82.5,22.0,37.0,8.5,19.0,0.95,42.0
2017-07,36.0,75.0,19.0,33.0,8.0,20.0,0.82,38.0
2017-08,36.0,73.0,19.0,35.0,7.0,17.0,0.79,45.0
2017-09,50.5,161.5,31.5,50.5,13.0,22.0,1.005,52.5
2017-10,53.0,188.5,33.5,54.0,22.0,18.0,0.95,68.5
2017-11,65.0,176.0,45.5,62.5,30.0,26.5,1.18,37.0
2017-12,100.0,224.0,74.0,104.0,28.0,30.0,1.19,54.0
2018-01,93.0,213.0,69.0,83.0,26.0,31.0,1.24,37.0
2018-02,76.0,209.0,55.0,72.5,15.5,20.0,1.045,54.0
2018-03,66.0,189.0,47.0,62.0,11.0,26.0,0.97,50.0
2018-04,67.5,145.5,44.5,71.5,8.5,23.5,0.905,54.5
2018-05,41.0,48.0,25.0,39.0,6.0,16.0,0.73,61.0
2018-06,36.0,55.5,20.5,34.0,7.5,14.0,0.85,55.5
2018-07,39.0,105.0,19.0,35.0,6.0,15.0,0.74,54.0
2018-08,55.0,197.0,32.0,56.0,12.0,18.0,0.93,59.0
2018-09,49.0,205.0,29.0,51.0,13.0,17.0,0.86,58.0
2018-10,56.0,153.0,34.0,58.0,16.0,19.0,0.9,54.0
2018-11,65.0,163.5,40.5,72.0,19.5,30.5,1.05,35.0
2018-12,47.0,100.0,32.0,52.0,18.0,20.0,1.09,23.0
2019-01,43.0,84.0,29.0,43.0,16.0,22.0,1.44,28.0
2019-02,26.5,38.5,16.5,25.0,9.5,15.0,1.115,29.5
2019-03,50.0,102.0,35.0,47.0,11.0,23.0,0.98,39.0
2019-04,48.0,81.0,31.0,44.5,8.0,18.5,0.88,42.0
2019-05,47.0,118.0,28.0,47.0,9.0,17.0,0.86,59.0
2019-06,33.0,76.0,18.0,30.0,4.0,16.0,0.8,50.0
2019-07,29.5,95.0,16.5,29.0,5.0,15.0,0.745,47.0
2019-08,53.5,268.5,36.5,56.5,12.5,21.0,0.87,68.5
2019-09,55.5,263.0,37.0,56.0,12.5,20.0,0.84,89.5
2019-10,48.0,162.0,30.0,51.0,12.0,22.0,0.88,57.0
2019-11,67.5,211.0,46.5,75.5,18.5,25.0,0.875,59.0
2019-12,61.0,146.0,42.0,62.0,20.0,29.0,1.05,40.0
2020-01,53.0,136.0,36.0,51.0,12.0,22.0,1.03,36.0
2020-02,49.0,154.0,34.0,43.0,6.0,18.0,0.86,46.0
2020-03,34.0,60.0,21.0,31.0,7.0,17.0,0.8,40.0
2020-04,49.0,141.0,32.5,49.0,11.0,24.0,0.845,54.0
2020-05,40.0,133.0,26.0,40.0,7.0,19.0,0.83,69.0
2020-06,26.0,84.0,14.5,24.5,4.0,12.0,0.67,54.5
2020-07,32.0,145.0,17.0,31.0,5.0,14.0,0.66,56.0
2020-08,24.0,80.0,13.0,24.0,6.0,14.0,0.63,49.0
2020-09,29.5,112.5,16.5,29.0,8.0,15.0,0.75,47.5
2020-10,39.0,108.0,21.0,37.0,13.0,16.0,0.82,53.0
2020-11,54.0,176.0,32.5,58.0,14.0,20.5,0.95,53.5
2020-12,56.0,143.0,39.0,55.0,18.0,21.0,1.03,39.0
2021-01,74.0,191.0,53.0,84.0,18.0,31.0,1.09,47.0
2021-02,64.5,249.0,46.0,58.5,11.0,20.0,0.97,52.0
2021-03,54.0,157.0,38.0,54.0,8.0,21.0,0.94,41.0
2021-04,34.0,91.0,20.0,32.5,9.0,17.5,0.91,31.5
2021-05,33.0,111.0,18.0,33.0,9.0,14.0,0.8,51.0
2021-06,30.0,121.5,15.0,29.5,7.0,15.0,0.73,58.5
2021-07,34.0,215.0,19.0,33.0,7.0,14.0,0.67,63.0
2021-08,32.0,167.0,15.0,30.0,5.0,13.0,0.7,60.0
2021-09,34.0,207.5,19.0,33.0,9.0,14.0,0.735,68.5
2021-10,37.0,149.0,23.0,35.0,15.0,16.0,0.85,60.0
2021-11,42.0,118.5,25.0,41.0,12.0,19.5,0.79,47.5
2021-12,65.0,189.0,46.0,74.0,16.0,31.0,0.95,48.0
2022-01,34.0,73.0,24.0,31.0,9.0,16.0,0.96,33.0
2022-02,28.5,69.5,19.0,23.0,8.0,13.5,0.715,45.5
2022-03,57.0,164.0,37.0,58.0,10.0,24.0,0.9,45.0
