年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-12,90,30,69,128,20,68,2.04,45
2014-01,43,6,28,38,6,14,0.75,21
2014-02,15,2,3,5,5,9,0.69,10
2014-03,19,1,8,17,4,16,0.73,11
2014-04,38,4,19,32,6,16,0.82,36
2014-05,28,1,11,16,7,12,0.72,22
2014-06,32,7,11,20,7,8,0.63,24
2014-07,33,18,12,29,6,8,0.67,24
2014-08,29,15,10,21,8,10,0.59,27
2014-09,31,14,11,25,8,8,0.78,31
2014-10,53,15,34,50,12,17,0.77,47
2014-11,26,6,17,19,7,15,0.77,11
2014-12,31,12,14,21,8,14,0.75,12
2015-01,23,6,11,7,6,15,0.68,16
2015-02,24,4,14,17,6,7,0.82,15
2015-03,17,3,9,9,6,8,0.74,10
2015-04,16,2,9,11,3,12,0.53,7
2015-05,23,2,11,18,3,8,0.76,21
2015-06,22,6,8,16,4,7,0.62,28
2015-07,23,8,8,14,3,8,0.62,21
2015-08,21,3,9,17,4,10,0.58,28
2015-09,24,13,9,16,5,12,0.79,24
2015-10,23,15,15,11,6,13,0.67,18
2015-11,14,1,7,13,7,12,0.8,11
2015-12,16,2,7,11,2,12,0.64,8
2016-01,15,1,9,9,4,10,0.6,8
2016-02,11,1,5,3,3,9,0.61,17
2016-03,15,1,3,4,3,14,0.65,5
2016-04,26,1,8,17,4,14,0.77,18
2016-05,25,6,9,16,3,12,0.63,26
2016-06,21,5,8,15,3,8,0.57,22
2016-07,25,6,11,18,5,11,0.64,26
2016-08,20,3,5,12,5,6,0.65,30
2016-09,18,4,9,13,3,8,0.72,13
2016-10,18,2,7,14,5,11,0.74,19
2016-11,14,1,4,10,6,15,0.74,6
2016-12,28,10,10,26,3,17,0.87,18
2017-01,17,4,7,10,4,14,0.84,11
2017-02,16,1,8,9,5,11,0.84,30
2017-03,26,2,9,18,6,19,0.86,15
2017-04,23,1,6,10,6,16,0.88,25
2017-05,30,9,8,18,5,16,0.84,31
2017-06,15,1,5,10,5,7,0.67,22
2017-07,20,11,5,18,4,11,0.61,20
2017-08,19,8,7,13,4,8,0.67,26
2017-09,30,38,10,18,6,9,0.7,19
2017-10,19,3,10,18,7,16,0.75,14
2017-11,14,4,7,11,2,16,0.76,9
2017-12,15,4,8,12,2,18,0.74,10
2018-01,19,4,9,9,2,18,0.65,4
2018-02,15,4,8,10,3,8,0.67,23
2018-03,23,5,6,8,3,12,0.7,22
2018-04,27,9,14,18,3,18,0.72,12
2018-05,29,4,11,19,3,13,0.68,33
2018-06,17,3,9,14,3,10,0.69,23
2018-07,19,9,6,16,3,10,0.61,23
2018-08,21,7,7,15,4,11,0.69,24
2018-09,17,4,4,12,5,6,0.62,29
2018-10,18,4,10,13,6,17,0.7,18
2018-11,20,6,6,11,5,19,0.73,5
2018-12,11,7,5,10,5,15,0.68,6
2019-01,20,10,10,16,5,19,0.83,4
2019-02,14,2,3,10,5,8,0.62,6
2019-03,15,1,3,6,5,13,0.68,24
2019-04,22,4,8,13,5,16,0.68,18
2019-05,24,4,5,6,5,12,0.56,28
2019-06,19,1,6,12,4,11,0.58,8
2019-07,21,24,5,18,5,9,0.54,27
2019-08,12,2,3,8,5,8,0.55,32
2019-09,19,10,8,18,6,10,0.6,25
2019-10,29,34,15,25,6,16,0.65,28
2019-11,19,17,7,16,6,14,0.47,16
2019-12,23,27,13,21,6,17,0.5,10
2020-01,13,18,3,4,5,4,0.52,21
2020-02,15,19,3,5,3,5,0.5,22
2020-03,10,7,5,4,2,9,0.32,7
2020-04,13,4,6,7,4,11,0.54,15
2020-05,20,9,9,15,5,13,0.49,29
2020-06,15,6,4,11,4,10,0.45,22
2020-07,16,11,7,15,5,12,0.45,20
2020-08,12,2,5,10,5,8,0.51,20
2020-09,15,14,6,12,4,14,0.52,20
2020-10,15,15,7,14,5,12,0.56,29
2020-11,18,8,12,15,4,17,0.52,23
2020-12,11,6,5,8,3,14,0.49,5
2021-01,30,21,15,28,4,19,0.44,22
2021-02,12,5,6,10,5,9,0.5,28
2021-03,15,4,6,11,4,14,0.64,18
2021-04,16,4,5,7,4,15,0.45,28
2021-05,15,6,7,14,4,11,0.49,32
2021-06,15,8,5,10,3,9,0.52,27
2021-07,18,17,5,13,4,10,0.48,28
2021-08,17,15,5,10,4,8,0.53,26
2021-09,19,31,8,15,4,10,0.48,38
2021-10,12,5,3,7,5,8,0.57,23
2021-11,16,7,3,11,4,8,0.41,29
2021-12,16,4,8,9,5,15,0.43,8
2022-01,11,2,4,6,4,5,0.49,12
2022-02,10,1,1,2,4,4,0.53,15
2022-03,10,1,2,4,5,12,0.48,20
