年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,158,432,111,200,116,62,3.44,48
2015-02,243,346,173,410,122,54,3.24,64
2015-03,460,362,269,921,99,49,3.45,77
2015-04,495,364,503,1225,23,40,1.99,96
2015-05,327,364,300,897,13,41,1.52,95
2015-06,166,356,120,222,10,40,1.29,109
2015-07,86,335,43,120,11,34,2.42,98
2015-08,186,362,77,284,13,36,3.22,107
2015-09,90,331,44,129,12,46,2.51,96
2015-10,95,295,46,138,33,48,1.53,63
2015-11,108,324,69,147,72,57,3.14,52
2015-12,125,230,94,144,105,51,4.64,48
2016-01,124,353,89,166,174,78,4.31,62
2016-02,280,357,95,388,85,47,2.3,68
2016-03,305,363,160,486,44,44,1.79,88
2016-04,91,278,54,124,13,48,1.43,102
2016-05,182,355,83,248,34,34,1.61,114
2016-06,279,363,193,387,11,27,1.04,121
2016-07,300,366,216,696,10,31,0.99,115
2016-08,74,332,53,87,11,29,1.11,107
2016-09,75,230,30,77,14,36,1.2,83
2016-10,187,361,48,268,28,45,1.58,76
2016-11,294,361,114,705,60,59,2.16,60
2016-12,308,336,119,395,65,58,2.48,53
2017-01,283,339,529,2713,53,58,2.52,59
2017-02,264,364,90,432,52,43,2.32,78
2017-03,155,354,60,219,34,40,1.35,90
2017-04,165,347,64,363,12,48,1.18,104
2017-05,346,366,155,529,6,38,0.78,100
2017-06,237,363,115,317,8,33,0.68,119
2017-07,138,360,66,207,8,29,0.67,114
2017-08,204,365,79,276,10,32,1.68,124
2017-09,93,343,47,133,12,40,0.98,98
2017-10,128,356,70,189,15,48,1.61,77
2017-11,117,352,73,174,22,46,1.95,68
2017-12,492,366,228,1090,32,52,2.68,70
2018-01,187,349,79,270,27,48,2.08,72
2018-02,298,354,174,1006,21,48,2.33,84
2018-03,490,365,169,847,15,49,1.31,100
2018-04,261,357,97,649,7,45,0.98,99
2018-05,309,365,121,440,5,35,0.75,121
2018-06,104,342,42,138,4,31,0.69,127
2018-07,129,366,41,195,5,31,0.67,115
2018-08,189,366,53,251,7,27,0.7,113
2018-09,72,332,30,92,9,31,0.65,96
2018-10,227,364,104,350,11,44,1.36,82
2018-11,500,366,323,1624,15,52,1.74,68
2018-12,474,366,261,1456,20,43,1.92,62
2019-01,115,281,86,125,25,46,1.7,75
2019-02,193,365,71,305,14,37,1.39,73
2019-03,214,354,95,321,13,36,1.11,86
2019-04,210,361,88,291,8,39,0.77,95
2019-05,449,361,466,1596,9,36,0.58,113
2019-06,87,337,40,117,4,36,0.39,110
2019-07,88,313,33,115,6,36,0.52,115
2019-08,63,317,21,65,8,24,0.48,101
2019-09,292,365,280,789,5,42,0.57,98
2019-10,78,302,50,107,8,40,0.9,71
2019-11,114,357,84,121,21,51,1.3,69
2019-12,104,297,78,115,25,49,1.41,69
2020-01,123,330,92,108,23,55,1.62,68
2020-02,192,358,104,328,18,29,1.03,85
2020-03,140,357,56,219,14,33,0.71,96
2020-04,287,359,119,456,5,40,0.69,91
2020-05,320,363,358,1488,6,43,0.58,105
2020-06,112,361,73,203,7,33,0.46,105
2020-07,200,363,135,313,7,35,0.48,106
2020-08,85,363,44,120,9,33,0.5,91
2020-09,92,360,41,133,11,36,0.48,83
2020-10,89,332,62,115,10,47,0.78,81
2020-11,147,365,110,221,18,50,1.18,65
2020-12,142,361,107,187,11,41,1.38,64
2021-01,294,361,113,425,15,37,1.29,62
2021-02,211,359,85,287,12,29,1.07,78
2021-03,500,366,835,4910,10,33,0.88,77
2021-04,410,365,216,1072,7,30,0.49,102
2021-05,155,361,130,348,7,34,0.43,101
2021-06,152,364,71,224,7,32,0.48,96
2021-07,141,366,56,207,7,31,0.39,103
2021-08,190,366,66,261,9,32,0.52,116
2021-09,69,362,27,89,7,40,0.57,100
2021-10,141,362,57,189,10,43,0.78,76
2021-11,177,355,63,278,13,45,1.15,72
2021-12,136,357,71,223,11,48,1.24,62
2022-01,186,318,143,171,13,46,1.91,83
2022-02,94,308,58,136,16,39,1.01,83
2022-03,280,336,107,393,8,43,0.87,97
