年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,160,479,121,160,50,50,1.99,71
2015-02,150,299,113,148,39,38,2.07,90
2015-03,103,266,77,106,36,29,1.48,118
2015-04,94,268,67,107,28,32,1.96,107
2015-05,75,238,47,94,26,29,1.3,115
2015-06,54,132,34,56,16,34,1.17,91
2015-07,64,215,42,66,19,40,1.14,102
2015-08,61,189,42,63,17,39,1.42,80
2015-09,69,264,48,74,15,38,1.19,70
2015-10,72,198,51,76,20,34,1.38,87
2015-11,91,251,67,94,28,38,1.46,78
2015-12,102,262,75,105,35,41,1.36,69
2016-01,93,243,68,108,23,40,1.7,58
2016-02,141,344,107,148,29,36,1.81,77
2016-03,108,270,81,129,34,48,1.25,90
2016-04,76,266,55,85,25,33,0.84,88
2016-05,68,178,46,79,19,33,0.96,91
2016-06,56,163,31,48,23,28,1.01,97
2016-07,47,169,25,51,19,33,1.19,63
2016-08,52,166,33,51,20,29,1.33,70
2016-09,65,272,45,75,18,39,1.35,81
2016-10,71,276,49,79,24,33,1.42,65
2016-11,110,349,82,114,19,42,1.18,58
2016-12,135,286,101,135,29,58,1.61,52
2017-01,145,261,113,127,43,58,3.54,55
2017-02,98,249,72,85,30,39,2.22,65
2017-03,84,305,61,75,38,29,1.21,69
2017-04,96,313,71,105,53,41,1.77,126
2017-05,96,297,55,86,16,29,1.08,129
2017-06,63,218,37,68,12,31,1.09,101
2017-07,70,250,41,80,12,28,1.06,99
2017-08,75,314,45,97,23,24,0.95,88
2017-09,86,318,63,112,21,36,0.94,89
2017-10,106,326,75,156,16,31,1.03,78
2017-11,141,325,106,189,17,43,1.26,89
2017-12,228,356,177,296,26,66,2.0,110
2018-01,147,298,110,175,30,44,1.77,73
2018-02,152,332,116,160,21,27,1.48,98
2018-03,114,333,84,146,20,40,1.25,101
2018-04,120,341,88,180,28,35,1.35,116
2018-05,98,310,57,144,34,34,1.04,99
2018-06,72,271,47,74,31,30,0.86,113
2018-07,64,283,38,66,13,20,0.93,86
2018-08,100,364,66,90,14,24,1.27,114
2018-09,52,253,33,53,15,19,1.1,96
2018-10,64,290,44,67,16,26,1.0,69
2018-11,112,335,84,129,18,32,1.0,86
2018-12,107,266,80,130,30,39,1.55,57
2019-01,77,156,55,77,26,30,1.28,71
2019-02,96,341,71,98,18,18,1.17,104
2019-03,108,359,81,124,21,37,0.99,105
2019-04,81,339,49,95,16,27,0.74,120
2019-05,69,247,49,73,11,25,0.61,102
2019-06,69,241,33,69,14,26,0.63,101
2019-07,55,200,29,49,7,22,0.51,84
2019-08,63,297,43,62,9,20,0.66,94
2019-09,70,285,49,65,10,23,0.72,86
2019-10,60,234,42,64,13,27,0.68,78
2019-11,76,277,55,83,17,32,0.73,75
2019-12,132,323,100,121,15,30,1.03,70
2020-01,85,234,63,78,20,33,1.16,66
2020-02,122,357,92,112,15,16,0.87,90
2020-03,99,336,74,89,15,30,0.69,119
2020-04,98,336,73,101,14,27,0.73,149
2020-05,60,331,42,63,11,23,0.55,120
2020-06,56,260,39,56,9,26,0.63,96
2020-07,47,277,25,48,10,22,0.65,89
2020-08,52,308,35,51,12,19,0.57,94
2020-09,66,331,45,56,10,20,0.75,82
2020-10,82,294,60,98,14,32,0.78,78
2020-11,96,355,70,107,20,37,0.8,86
2020-12,86,171,63,79,17,29,0.87,60
2021-01,122,263,92,132,15,31,0.96,78
2021-02,120,360,90,113,13,21,0.79,92
2021-03,79,267,57,108,13,24,0.67,121
2021-04,59,272,38,62,12,20,0.7,109
2021-05,50,315,33,52,9,17,0.57,107
2021-06,64,302,44,57,11,22,0.64,108
2021-07,42,254,23,37,6,20,0.54,87
2021-08,64,355,44,55,7,22,0.85,94
2021-09,43,248,28,39,11,19,0.62,93
2021-10,58,281,41,57,18,20,0.71,81
2021-11,99,300,74,95,15,29,0.87,79
2021-12,135,359,102,132,14,29,0.9,74
2022-01,81,197,59,74,13,22,0.96,77
2022-02,86,230,64,84,15,20,0.86,96
2022-03,120,322,91,112,14,20,0.84,128
