年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,131.0,262.0,99.0,133.0,62.0,44.0,1.03,39.0
2015-02,105.0,207.0,78.0,92.5,20.0,37.5,0.95,48.0
2015-03,70.0,161.0,50.0,63.0,21.0,31.0,0.86,40.0
2015-04,78.5,211.5,56.5,76.0,37.0,32.5,0.635,66.0
2015-05,72.0,223.0,52.0,76.0,28.0,27.0,0.72,66.0
2015-06,58.0,213.0,40.0,58.0,29.5,20.0,0.545,53.0
2015-07,71.0,250.0,51.0,70.0,36.0,24.0,0.6,49.0
2015-08,57.0,183.0,39.0,58.0,34.0,21.0,0.54,55.0
2015-09,70.0,257.5,46.5,69.5,33.0,24.0,0.6950000000000001,72.0
2015-10,57.0,138.0,38.0,58.0,27.0,31.0,0.71,68.0
2015-11,40.0,59.5,25.0,38.0,13.0,26.0,0.78,28.0
2015-12,65.0,118.0,44.0,67.0,21.0,29.0,0.82,31.0
2016-01,54.0,108.0,33.0,55.0,19.0,26.0,0.99,36.0
2016-02,58.0,112.0,36.0,58.0,12.0,27.0,0.75,64.0
2016-03,73.0,136.0,50.0,79.0,20.0,31.0,0.73,59.0
2016-04,53.5,98.0,34.5,51.0,16.0,23.0,0.74,49.5
2016-05,54.0,143.0,36.0,53.0,19.0,23.0,0.7,66.0
2016-06,40.0,89.0,19.5,37.0,16.5,19.0,0.625,44.5
2016-07,49.0,148.0,24.0,50.0,16.0,10.0,0.58,55.0
2016-08,66.0,281.0,45.0,66.0,12.0,12.0,0.51,58.0
2016-09,86.5,323.5,61.5,92.0,20.0,18.0,0.575,79.5
2016-10,64.0,238.0,42.0,71.0,25.0,16.0,0.58,50.0
2016-11,57.5,111.5,39.0,58.5,23.5,20.0,0.635,41.0
2016-12,105.0,207.0,78.0,111.0,18.0,31.0,0.84,44.0
2017-01,112.0,223.0,84.0,107.0,10.0,20.0,0.84,52.0
2017-02,76.5,164.0,55.0,78.0,10.5,15.5,0.72,58.0
2017-03,58.0,153.0,40.0,56.0,7.0,19.0,0.73,48.0
2017-04,58.0,101.0,33.5,60.0,14.0,19.0,0.595,68.5
2017-05,57.0,105.0,30.0,50.0,6.0,23.0,0.52,83.0
2017-06,36.0,53.0,14.5,26.0,5.0,13.0,0.54,52.0
2017-07,32.0,46.0,10.0,25.0,6.0,10.0,0.45,48.0
2017-08,33.0,45.0,14.0,28.0,5.0,9.0,0.5,47.0
2017-09,55.0,173.5,35.5,55.0,8.0,15.5,0.71,64.0
2017-10,52.5,179.5,34.0,52.5,8.5,15.0,0.635,58.0
2017-11,85.5,249.0,62.5,89.5,16.5,32.5,0.725,38.0
2017-12,108.0,273.0,80.0,116.0,19.0,44.0,0.81,52.0
2018-01,78.0,229.0,56.0,84.0,10.0,36.0,0.9,43.0
