年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,44,78,30,30,22,21,0.66,14
2015-02,39,76,27,26,5,15,0.54,15
2015-03,51,93,35,40,8,15,0.48,15
2015-04,39,74,27,31,12,19,0.29,41
2015-05,51,98,35,45,15,24,0.36,41
2015-06,43,81,29,40,11,13,0.34,35
2015-07,41,74,24,41,12,11,0.36,32
2015-08,41,93,25,40,9,14,0.33,22
2015-09,38,90,22,37,12,13,0.36,31
2015-10,28,18,18,26,6,22,0.33,30
2015-11,19,6,9,16,3,17,0.49,8
2015-12,27,29,13,23,8,15,0.4,11
2016-01,25,8,15,24,6,12,0.45,7
2016-02,35,16,13,31,2,9,0.46,39
2016-03,28,24,14,22,2,8,0.41,22
2016-04,36,26,19,27,8,13,0.41,15
2016-05,39,39,16,31,6,15,0.43,27
2016-06,27,21,11,26,10,12,0.43,32
2016-07,25,42,9,24,10,4,0.41,24
2016-08,45,139,24,43,4,6,0.34,40
2016-09,35,91,20,32,11,11,0.34,54
2016-10,31,48,16,29,10,7,0.41,20
2016-11,25,11,14,20,9,6,0.24,12
2016-12,40,58,27,35,4,18,0.53,10
2017-01,41,55,27,38,3,11,0.58,8
2017-02,36,20,24,35,2,6,0.42,18
2017-03,27,5,16,24,3,13,0.47,26
2017-04,25,7,14,22,3,12,0.35,23
2017-05,24,9,9,16,3,19,0.32,39
2017-06,22,5,6,12,3,8,0.33,26
2017-07,18,1,5,12,4,6,0.38,27
2017-08,18,1,6,13,3,4,0.4,30
2017-09,29,32,11,26,5,9,0.35,31
2017-10,24,28,10,16,2,9,0.36,31
2017-11,41,72,28,35,5,20,0.52,13
2017-12,42,75,28,36,3,17,0.55,11
2018-01,28,40,19,25,2,12,0.56,9
2018-02,28,26,17,23,2,17,0.36,25
2018-03,25,10,15,19,4,18,0.51,14
2018-04,34,10,19,33,5,13,0.42,41
2018-05,35,12,17,27,4,9,0.38,33
2018-06,30,27,15,27,5,7,0.43,38
2018-07,35,93,22,28,5,8,0.45,35
2018-08,34,78,17,32,3,8,0.46,34
2018-09,30,54,14,21,2,7,0.3,29
2018-10,31,50,21,25,2,16,0.48,24
2018-11,27,28,18,22,2,13,0.46,17
2018-12,28,73,18,23,2,15,0.44,9
2019-01,33,52,23,26,2,17,0.53,14
2019-02,19,12,11,17,2,15,0.59,23
2019-03,22,7,13,19,3,23,0.25,16
2019-04,28,7,15,23,4,21,0.42,24
2019-05,27,18,9,15,3,14,0.38,41
2019-06,18,3,7,15,4,6,0.3,38
2019-07,18,14,6,8,3,7,0.28,31
2019-08,21,26,9,15,4,13,0.38,59
2019-09,36,118,22,32,4,16,0.44,63
2019-10,16,17,10,14,2,20,0.5,26
2019-11,26,47,15,24,3,18,0.36,9
2019-12,21,20,14,19,3,22,0.45,6
2020-01,22,26,14,20,2,12,0.44,7
2020-02,24,62,12,20,2,10,0.2,20
2020-03,17,12,10,14,2,13,0.25,16
2020-04,29,37,14,23,3,12,0.34,29
2020-05,25,25,11,18,2,8,0.41,44
2020-06,14,8,6,8,3,6,0.34,38
2020-07,16,13,7,15,4,7,0.33,35
2020-08,13,11,5,10,6,7,0.34,33
2020-09,21,47,9,13,4,9,0.49,30
2020-10,16,19,9,14,4,10,0.45,38
2020-11,19,25,12,17,4,18,0.41,10
2020-12,42,150,29,39,4,22,0.56,22
2021-01,51,137,24,54,6,26,0.47,33
2021-02,21,56,14,9,3,8,0.54,24
2021-03,19,14,13,10,4,12,0.6,15
2021-04,20,16,10,11,4,9,0.61,31
2021-05,18,5,8,10,5,5,0.48,30
2021-06,16,11,8,11,5,5,0.45,32
2021-07,20,44,9,17,5,5,0.45,37
2021-08,18,34,8,12,5,6,0.53,28
2021-09,22,55,9,17,6,7,0.45,45
2021-10,14,19,9,6,4,8,0.5,35
2021-11,24,23,15,13,3,10,0.38,23
2021-12,39,57,27,26,3,8,0.48,24
2022-01,23,18,15,12,2,6,0.6,12
2022-02,26,86,18,9,2,4,0.53,36
2022-03,22,19,11,9,5,8,0.49,24
