年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10,55,15,32,57,12,21,0.62,59
2013-11,33,1,20,30,8,17,0.35,33
2013-12,22,2,11,13,9,21,0.72,22
2014-01,55,15,38,55,9,18,0.64,25
2014-02,19,4,12,16,4,12,0.63,21
2014-03,35,9,20,31,8,19,0.73,26
2014-04,38,3,23,33,6,12,0.67,42
2014-05,24,2,10,21,4,9,0.56,27
2014-06,24,3,12,21,2,6,0.67,30
2014-07,23,4,9,20,5,8,0.59,28
2014-08,26,6,10,25,7,8,0.62,27
2014-09,23,3,9,22,5,6,0.64,33
2014-10,50,17,26,41,9,10,0.76,63
2014-11,48,21,26,45,10,16,0.8,36
2014-12,30,10,16,26,10,20,0.71,26
2015-01,29,14,12,21,8,18,0.55,32
2015-02,37,27,16,26,4,11,0.66,27
2015-03,30,18,16,25,5,12,0.56,33
2015-04,33,18,15,20,5,11,0.59,29
2015-05,29,5,13,25,5,8,0.6,32
2015-06,25,7,10,22,6,6,0.58,27
2015-07,26,13,7,19,4,4,0.62,30
2015-08,24,6,12,20,8,10,0.67,29
2015-09,26,36,13,25,8,7,0.68,25
2015-10,30,33,13,27,7,8,0.69,49
2015-11,33,31,17,31,8,12,0.72,38
2015-12,27,27,15,25,9,18,0.7,22
2016-01,20,7,12,17,8,15,0.69,11
2016-02,25,12,14,20,6,11,0.66,21
2016-03,28,11,9,11,8,18,0.67,15
2016-04,35,10,15,25,7,14,0.72,16
2016-05,29,7,9,27,6,7,0.64,27
2016-06,23,8,7,14,6,8,0.59,29
2016-07,22,17,10,21,7,10,0.57,26
2016-08,27,33,9,13,5,8,0.56,32
2016-09,22,16,10,19,9,11,0.69,31
2016-10,17,1,9,15,5,3,0.62,25
2016-11,27,19,11,12,6,15,0.7,14
2016-12,38,19,19,36,9,22,0.73,31
2017-01,31,16,17,28,4,10,0.53,10
2017-02,23,7,14,21,4,10,0.58,14
2017-03,36,11,14,26,6,20,0.61,39
2017-04,34,7,12,22,6,16,0.61,32
2017-05,37,30,11,17,7,8,0.58,35
2017-06,21,6,8,17,6,5,0.52,25
2017-07,21,4,6,20,6,7,0.58,23
2017-08,26,37,9,24,6,8,0.54,29
2017-09,24,20,8,22,6,6,0.62,24
2017-10,24,25,13,19,5,10,0.66,35
2017-11,31,23,13,28,8,16,0.63,20
2017-12,32,7,15,31,9,20,0.69,15
2018-01,20,10,9,15,7,18,0.54,13
2018-02,36,17,13,22,6,10,0.64,35
2018-03,23,12,11,15,8,15,0.61,30
2018-04,28,15,13,27,8,12,0.61,31
2018-05,27,7,13,25,7,9,0.55,41
2018-06,21,10,8,18,6,7,0.52,40
2018-07,23,15,8,16,6,6,0.51,41
2018-08,27,12,5,14,5,8,0.55,21
2018-09,26,32,7,18,6,3,0.43,31
2018-10,29,39,11,21,7,12,0.55,49
2018-11,27,5,11,18,6,13,0.56,32
2018-12,25,30,11,24,7,15,0.53,11
2019-01,35,30,13,29,8,18,0.55,23
2019-02,24,29,8,17,6,10,0.47,39
2019-03,27,17,5,18,5,13,0.52,12
2019-04,26,7,10,18,6,11,0.52,38
2019-05,20,1,7,11,6,9,0.49,33
2019-06,19,1,8,17,5,6,0.47,21
2019-07,19,14,6,15,5,7,0.49,36
2019-08,16,4,6,14,5,7,0.52,35
2019-09,17,6,8,16,8,8,0.57,44
2019-10,34,73,10,35,7,10,0.54,57
2019-11,32,52,13,31,7,13,0.49,34
2019-12,30,20,17,20,6,18,0.54,29
2020-01,15,12,3,6,6,7,0.48,31
2020-02,16,19,3,7,6,8,0.4,42
2020-03,28,28,8,20,6,12,0.46,20
2020-04,27,31,7,20,6,12,0.44,42
2020-05,21,14,4,9,5,9,0.44,29
2020-06,14,5,4,11,6,6,0.35,28
2020-07,16,9,6,15,6,7,0.4,29
2020-08,14,4,4,10,5,7,0.41,24
2020-09,19,38,8,18,6,9,0.56,37
2020-10,33,47,12,32,6,9,0.45,61
2020-11,27,31,9,25,8,14,0.44,38
2020-12,25,27,11,24,7,16,0.5,14
2021-01,33,26,16,31,7,17,0.48,33
2021-02,19,34,9,16,6,9,0.46,39
2021-03,26,24,12,20,6,13,0.45,39
2021-04,26,18,12,19,6,11,0.38,31
2021-05,16,9,6,14,6,7,0.36,43
2021-06,15,5,6,12,6,6,0.34,32
2021-07,13,7,5,11,6,6,0.36,28
2021-08,14,10,4,10,6,7,0.45,32
2021-09,16,17,7,13,7,8,0.45,43
2021-10,16,26,4,10,7,7,0.46,36
2021-11,25,57,5,24,8,11,0.42,43
2021-12,27,24,15,18,8,17,0.43,26
2022-01,18,8,8,8,7,9,0.52,40
2022-02,11,5,2,6,6,7,0.49,28
2022-03,16,24,4,12,7,15,0.45,22
