年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,26,15,16,20,9,24,0.34,27
2015-02,21,1,8,18,8,7,0.5,21
2015-03,20,1,6,19,6,10,0.54,23
2015-04,25,1,13,23,7,12,0.55,23
2015-05,25,5,10,20,7,17,0.38,36
2015-06,24,6,8,20,5,13,0.39,36
2015-07,21,2,5,19,5,11,0.25,28
2015-08,20,3,5,18,4,10,0.29,19
2015-09,25,16,10,23,4,14,0.53,34
2015-10,26,10,8,21,6,16,0.39,25
2015-11,22,5,4,19,5,15,0.48,14
2015-12,22,1,7,19,5,22,0.4,8
2016-01,24,6,13,20,8,22,0.51,12
2016-02,21,1,11,20,6,14,0.61,18
2016-03,41,14,23,35,8,13,0.7,14
2016-04,30,14,18,26,6,13,0.58,35
2016-05,31,24,10,26,11,18,0.48,32
2016-06,26,27,10,20,11,22,0.31,36
2016-07,23,24,8,15,10,19,0.33,28
2016-08,25,18,7,19,9,17,0.36,42
2016-09,20,5,9,12,8,12,0.37,25
2016-10,30,51,18,26,7,16,0.57,15
2016-11,26,30,16,20,9,18,0.39,14
2016-12,40,90,27,26,12,21,0.5,10
2017-01,45,102,31,30,12,14,0.58,7
2017-02,66,168,48,39,10,16,0.45,11
2017-03,51,92,34,44,9,20,0.6,16
2017-04,50,129,34,40,7,13,0.44,28
2017-05,44,89,29,38,7,13,0.35,56
2017-06,33,41,18,28,10,12,0.3,45
2017-07,27,60,15,24,12,13,0.34,43
2017-08,32,33,15,29,10,13,0.46,39
2017-09,35,63,18,34,8,17,0.57,24
2017-10,32,105,20,28,10,24,0.5,27
2017-11,45,94,31,41,11,23,0.5,24
2017-12,32,45,20,30,8,25,0.55,24
2018-01,27,49,13,15,8,23,0.39,22
2018-02,37,16,24,27,10,15,0.53,22
2018-03,37,46,25,24,9,17,0.32,30
2018-04,30,16,20,24,6,16,0.39,29
2018-05,38,48,15,25,7,12,0.31,39
2018-06,34,89,13,25,6,14,0.37,51
2018-07,35,71,7,16,5,16,0.43,54
2018-08,24,10,8,14,7,20,0.34,46
2018-09,28,59,13,19,6,18,0.36,33
2018-10,40,82,23,38,5,24,0.43,24
2018-11,14,2,6,9,5,23,0.39,21
2018-12,23,28,10,16,6,27,0.3,10
2019-01,37,74,25,33,4,29,0.47,11
2019-02,30,55,19,27,4,24,0.42,21
2019-03,40,22,26,33,5,24,0.37,30
2019-04,35,26,16,26,5,19,0.52,22
2019-05,38,58,4,9,5,21,0.41,52
2019-06,17,14,7,10,5,15,0.56,38
2019-07,27,78,12,22,6,11,0.38,57
2019-08,19,22,7,17,7,18,0.34,27
2019-09,20,15,7,12,7,14,0.45,48
2019-10,32,110,12,32,6,20,0.5,14
2019-11,28,84,17,25,6,24,0.25,18
2019-12,41,77,25,33,3,27,0.54,2
2020-01,26,27,11,16,5,10,0.46,0
2020-02,17,9,9,11,4,10,0.45,4
2020-03,21,39,9,12,4,12,0.35,28
2020-04,26,21,10,15,6,15,0.45,34
2020-05,23,13,8,15,3,10,0.5,41
2020-06,16,22,4,7,4,12,0.44,22
2020-07,15,17,6,9,4,11,0.48,21
2020-08,17,21,7,14,4,11,0.43,33
2020-09,22,54,10,12,4,11,0.58,30
2020-10,21,66,12,13,4,15,0.61,24
2020-11,28,89,15,20,4,18,0.42,1
2020-12,39,92,18,38,6,17,0.61,3
2021-01,45,71,20,45,5,22,0.56,6
2021-02,25,26,14,16,6,10,0.44,20
2021-03,17,9,11,13,4,18,0.47,18
2021-04,24,40,16,22,4,13,0.43,29
2021-05,22,38,8,13,3,10,0.47,49
2021-06,16,14,8,13,4,8,0.46,35
2021-07,9,3,3,6,4,9,0.36,25
2021-08,20,57,6,8,4,7,0.43,40
2021-09,27,83,10,19,4,10,0.54,54
2021-10,19,37,7,11,4,14,0.48,4
2021-11,17,16,8,13,4,14,0.4,15
2021-12,39,95,23,35,4,20,0.42,12
2022-01,17,7,7,9,4,14,0.39,13
2022-02,29,86,19,21,4,12,0.4,27
2022-03,17,15,5,6,3,16,0.4,28
