年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10,233,92,182,276,101,83,2.66,69
2013-11,315,110,278,339,123,97,3.71,45
2013-12,366,101,308,376,270,112,5.15,41
2014-01,351,183,301,400,201,76,4.19,42
2014-02,308,180,257,339,144,56,3.97,106
2014-03,236,185,189,278,151,53,3.11,87
2014-04,196,184,149,205,55,46,2.0,124
2014-05,246,190,195,246,74,39,1.58,163
2014-06,181,184,137,158,62,45,1.08,157
2014-07,222,190,176,205,70,41,1.11,139
2014-08,147,180,100,188,36,40,1.15,122
2014-09,178,186,135,233,43,56,8.02,133
2014-10,238,186,189,293,82,82,2.25,95
2014-11,418,188,362,508,88,91,3.99,49
2014-12,281,222,223,356,155,103,3.78,41
2015-01,329,375,269,431,206,140,4.35,31
2015-02,263,349,211,319,140,95,3.96,64
2015-03,295,356,122,433,86,74,1.73,95
2015-04,162,351,106,267,51,61,1.1,131
2015-05,139,350,96,180,58,47,1.08,180
2015-06,149,355,111,186,57,42,1.16,142
2015-07,132,344,99,136,40,35,0.82,120
2015-08,153,360,111,158,38,51,1.19,152
2015-09,123,347,88,152,80,87,1.98,99
2015-10,160,343,121,200,81,67,2.01,105
2015-11,423,362,388,484,107,96,5.58,81
2015-12,425,365,379,490,145,97,6.23,32
2016-01,344,356,295,379,136,106,4.11,39
2016-02,197,354,154,213,132,97,5.03,72
2016-03,202,343,155,282,80,77,2.08,98
2016-04,184,357,140,222,50,77,2.3,123
2016-05,146,357,79,201,75,68,1.11,153
2016-06,129,361,89,140,52,64,1.38,173
2016-07,114,352,82,107,30,33,1.35,150
2016-08,113,363,85,103,25,54,1.4,101
2016-09,140,358,96,136,51,67,1.52,155
2016-10,183,360,143,202,62,90,1.56,89
2016-11,233,363,191,257,143,92,2.69,58
2016-12,355,365,307,399,116,118,5.77,27
2017-01,299,357,249,351,119,93,4.7,60
2017-02,286,363,237,300,124,108,3.67,69
2017-03,201,360,157,215,70,70,1.33,109
2017-04,147,361,107,207,54,63,1.12,117
2017-05,322,354,240,851,37,56,1.56,193
2017-06,147,358,73,117,34,56,0.85,218
2017-07,137,363,83,118,31,53,1.73,176
2017-08,112,359,68,108,27,56,1.33,147
2017-09,132,363,97,156,36,58,1.49,143
2017-10,253,361,203,277,31,91,2.11,96
2017-11,192,361,146,218,45,78,1.87,47
2017-12,318,360,269,352,69,97,3.58,40
2018-01,324,366,280,390,71,117,3.53,47
2018-02,234,362,188,250,72,74,2.35,85
2018-03,200,361,154,250,42,83,1.56,151
2018-04,187,358,141,227,41,49,0.94,180
2018-05,124,349,86,163,33,50,0.91,163
2018-06,129,364,58,160,58,45,0.99,193
2018-07,116,362,60,104,20,37,1.0,174
2018-08,118,366,64,98,22,48,1.11,179
2018-09,98,362,71,125,29,57,0.94,138
2018-10,153,362,116,191,37,81,1.35,101
2018-11,282,365,231,325,47,87,1.89,88
2018-12,244,360,194,281,42,89,2.52,43
2019-01,263,340,212,313,57,90,3.14,54
2019-02,253,364,208,279,38,92,2.77,75
2019-03,159,346,120,177,27,70,1.12,103
2019-04,241,362,117,336,34,48,1.09,131
2019-05,114,338,74,163,29,40,0.89,149
2019-06,124,362,78,141,21,33,1.12,234
2019-07,104,347,48,74,21,29,0.95,162
2019-08,72,345,48,79,16,47,1.27,112
2019-09,90,352,55,106,22,53,0.96,146
2019-10,135,353,102,199,27,84,1.09,132
2019-11,198,361,150,230,28,87,2.0,54
2019-12,266,360,219,286,30,68,2.98,50
2020-01,281,361,231,303,37,98,2.72,76
2020-02,166,349,127,160,24,34,1.78,82
2020-03,157,358,120,173,22,41,1.29,88
2020-04,91,319,56,120,21,36,0.77,168
2020-05,84,352,56,112,17,32,0.86,145
2020-06,121,363,61,192,17,36,0.79,172
2020-07,95,354,70,113,8,38,0.73,146
2020-08,78,361,56,92,12,39,1.14,124
2020-09,96,361,57,112,22,49,0.94,148
2020-10,147,361,107,203,27,80,1.31,85
2020-11,182,362,140,215,21,65,1.26,73
2020-12,225,360,175,276,32,97,3.06,44
2021-01,196,354,150,267,30,84,2.34,58
2021-02,178,343,135,189,25,58,1.08,99
2021-03,307,353,141,1003,18,48,0.92,106
2021-04,346,347,68,476,17,58,0.88,128
2021-05,151,351,59,253,12,31,0.65,125
2021-06,87,364,59,88,11,33,0.86,151
2021-07,69,355,45,70,6,22,0.67,151
2021-08,65,347,43,66,8,32,0.98,135
2021-09,73,344,52,80,8,36,0.77,123
2021-10,164,358,125,166,15,73,0.96,95
2021-11,231,364,182,235,18,72,1.3,62
2021-12,221,366,173,211,19,69,1.62,44
2022-01,164,314,124,163,18,68,1.38,63
2022-02,138,326,105,129,22,52,1.05,69
2022-03,130,306,76,179,14,60,0.9,123
