年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10,75,37,54,78,29,59,1.87,31
2013-11,57,22,29,54,17,12,0.44,10
2013-12,45,2,0,0,0,0,0.0,6
2014-01,72,32,44,79,27,21,1.17,9
2014-02,45,39,24,38,6,8,1.04,15
2014-03,67,27,34,69,17,16,0.53,24
2014-04,71,76,31,71,3,13,0.36,21
2014-05,56,59,27,7,8,13,0.42,58
2014-06,58,71,25,37,5,12,0.37,60
2014-07,48,53,22,48,4,14,0.44,32
2014-08,41,25,18,38,5,0,0.45,40
2014-09,44,43,14,43,4,19,0.5,27
2014-10,62,41,22,73,11,26,0.42,16
2014-11,66,52,29,74,8,26,0.5,7
2014-12,64,58,30,72,25,24,0.93,6
2015-01,46,57,28,45,35,41,0.8,3
2015-02,45,30,26,46,34,21,0.75,14
2015-03,59,135,28,64,17,24,0.61,33
2015-04,53,58,29,55,8,18,0.33,44
2015-05,47,85,18,45,7,25,0.36,45
2015-06,28,17,8,13,8,16,0.45,49
2015-07,43,93,16,29,9,9,0.2,42
2015-08,38,67,21,25,10,16,0.4,38
2015-09,24,11,7,9,7,18,0.39,21
2015-10,30,32,7,29,12,15,0.32,8
2015-11,30,38,15,26,19,23,0.71,5
2015-12,43,70,19,44,20,21,0.82,6
2016-01,44,80,22,44,15,19,0.76,8
2016-02,33,24,13,26,23,14,0.69,14
2016-03,46,54,16,47,31,32,0.55,30
2016-04,46,55,15,37,9,18,0.58,26
2016-05,57,58,18,53,9,18,0.4,53
2016-06,47,180,15,34,9,15,0.55,72
2016-07,39,135,23,34,8,11,0.45,55
2016-08,38,67,15,33,7,11,0.49,42
2016-09,42,106,12,38,8,19,0.57,15
2016-10,48,150,28,48,15,26,0.47,12
2016-11,45,140,23,43,11,25,0.7,10
2016-12,64,70,42,66,37,46,1.23,3
2017-01,47,91,29,41,31,25,0.85,5
2017-02,42,72,20,39,20,20,0.7,17
2017-03,47,46,26,48,18,34,0.51,41
2017-04,56,155,23,60,15,24,0.38,36
2017-05,65,185,25,43,16,23,0.39,64
2017-06,51,175,24,43,10,23,0.42,75
2017-07,44,91,27,34,9,17,0.39,55
2017-08,42,142,21,32,10,16,0.38,50
2017-09,36,97,17,34,13,25,0.32,49
2017-10,27,20,17,22,11,27,0.33,20
2017-11,47,80,25,49,19,31,0.43,16
2017-12,49,87,29,51,22,39,0.62,3
2018-01,46,71,24,47,20,26,0.48,6
2018-02,50,58,25,53,21,18,0.33,25
2018-03,53,165,27,55,17,19,0.42,36
2018-04,48,50,22,45,10,15,0.31,63
2018-05,61,153,19,56,13,21,0.35,70
2018-06,60,188,22,44,9,17,0.37,104
2018-07,28,36,13,21,8,11,0.19,45
2018-08,25,24,11,17,7,16,0.28,44
2018-09,37,105,17,29,7,22,0.3,28
2018-10,39,90,21,40,5,27,0.29,29
2018-11,59,203,39,57,11,39,0.5,11
2018-12,49,121,26,52,9,19,0.52,4
2019-01,45,109,24,47,14,16,0.65,14
2019-02,39,93,19,35,14,6,0.63,23
2019-03,43,35,16,37,8,11,0.34,50
2019-04,42,68,18,35,9,20,0.51,45
2019-05,47,138,13,24,9,16,0.35,70
2019-06,44,207,12,35,11,14,0.38,80
2019-07,41,177,16,32,8,10,0.31,66
2019-08,16,5,8,12,5,12,0.44,24
2019-09,30,103,12,27,6,18,0.35,26
2019-10,27,104,13,25,6,22,0.43,14
2019-11,37,82,16,37,5,25,0.64,5
2019-12,38,61,19,41,4,17,0.53,5
2020-01,50,104,34,51,8,16,0.77,5
2020-02,24,51,12,17,6,7,0.3,39
2020-03,28,79,11,24,7,14,0.32,39
2020-04,31,62,13,28,6,11,0.34,61
2020-05,34,118,13,20,4,9,0.37,50
2020-06,41,231,15,33,4,13,0.15,89
2020-07,41,218,20,39,3,13,0.35,79
2020-08,25,117,13,22,2,8,0.3,30
2020-09,25,83,11,25,3,21,0.3,29
2020-10,27,36,12,25,4,20,0.27,21
2020-11,31,43,13,31,2,29,0.39,9
2020-12,41,96,18,42,3,16,0.48,9
2021-01,39,73,16,40,4,17,0.45,6
2021-02,33,73,16,31,5,10,0.25,28
2021-03,36,109,14,32,2,16,0.34,47
2021-04,32,89,11,28,3,13,0.25,42
2021-05,28,106,9,21,3,13,0.25,44
2021-06,37,117,9,26,3,11,0.21,64
2021-07,23,58,8,11,3,6,0.2,42
2021-08,33,154,10,18,3,11,0.25,65
2021-09,21,68,8,10,3,13,0.31,42
2021-10,16,42,10,13,3,15,0.25,28
2021-11,21,46,10,16,2,17,0.29,11
2021-12,29,64,11,28,4,23,0.2,6
2022-01,32,51,15,32,4,14,0.4,10
2022-02,29,63,11,26,4,13,0.34,37
2022-03,29,26,7,26,5,11,0.29,35
