年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,104.0,187.0,77.0,94.0,15.0,28.0,1.42,30.0
2015-02,82.5,182.5,58.5,75.5,8.0,16.5,1.51,23.0
2015-03,67.0,145.0,48.0,59.0,11.0,16.0,1.13,30.0
2015-04,71.0,145.5,48.0,75.0,12.0,14.5,0.995,66.0
2015-05,53.0,105.0,33.0,48.0,13.0,12.0,1.15,62.0
2015-06,39.5,74.0,23.0,37.5,5.0,12.0,0.92,41.0
2015-07,48.0,138.0,29.0,47.0,14.0,14.0,1.08,53.0
2015-08,51.0,141.0,31.0,50.0,30.0,14.0,1.13,45.0
2015-09,48.0,138.5,28.5,47.5,17.5,18.0,1.1349999999999998,32.5
2015-10,71.0,201.0,49.0,73.0,33.0,24.0,1.45,48.0
2015-11,46.0,99.0,28.5,43.5,18.0,20.0,1.4849999999999999,29.0
2015-12,50.0,72.0,30.0,47.0,13.0,23.0,1.13,32.0
2016-01,48.0,87.0,32.0,38.0,15.0,19.0,1.31,32.0
2016-02,70.0,163.0,49.0,69.0,14.0,20.0,1.1,61.0
2016-03,64.0,111.0,44.0,59.0,7.0,25.0,1.12,40.0
2016-04,45.0,55.0,25.5,44.0,6.0,23.0,0.955,36.0
2016-05,44.0,59.0,22.0,40.0,4.0,20.0,0.88,35.0
2016-06,34.0,55.0,13.0,27.5,6.0,17.5,0.635,48.5
2016-07,37.0,76.0,17.0,34.0,5.0,17.0,0.6,47.0
2016-08,40.0,98.0,17.0,34.0,7.0,16.0,0.61,47.0
2016-09,59.0,208.5,38.5,57.0,11.5,25.0,0.8,60.0
2016-10,49.0,135.0,27.0,48.0,9.0,19.0,0.83,50.0
2016-11,45.5,46.5,28.5,44.5,7.0,18.5,0.82,39.5
2016-12,84.0,139.0,60.0,87.0,14.0,31.0,1.0,41.0
2017-01,82.0,158.0,60.0,68.0,6.0,20.0,1.01,35.0
2017-02,68.5,134.0,47.5,57.0,6.0,15.5,0.755,44.0
