年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10,52.5,10.5,22.0,56.5,7.5,20.0,0.535,71.5
2013-11,57.5,13.5,29.5,62.0,8.0,20.0,0.74,63.0
2013-12,73.0,12.0,49.0,85.0,14.0,24.0,0.87,63.0
2014-01,72.0,28.0,39.5,90.0,10.5,28.0,0.86,56.5
2014-02,46.5,9.5,24.0,40.5,5.0,21.0,0.765,46.0
2014-03,69.0,44.0,38.0,85.5,9.0,24.0,0.9,46.0
2014-04,58.5,36.5,31.0,67.0,8.0,23.5,0.795,46.5
2014-05,54.0,37.0,29.0,60.0,5.0,22.0,0.94,42.0
2014-06,49.0,41.0,24.5,49.5,5.0,13.0,0.59,31.0
2014-07,52.0,50.0,19.0,57.0,9.0,12.0,0.6,26.0
2014-08,56.0,61.0,29.0,68.0,9.0,18.0,0.54,34.0
2014-09,43.5,36.5,24.5,42.0,8.0,14.0,0.545,42.0
2014-10,50.0,25.0,25.0,53.0,6.0,15.0,0.56,63.0
2014-11,46.5,17.0,24.5,45.0,7.0,21.0,0.63,54.5
2014-12,55.0,16.0,33.0,56.0,9.0,26.0,0.61,50.0
2015-01,64.0,67.0,39.0,64.0,10.0,32.0,0.75,62.0
2015-02,52.5,55.0,32.5,48.0,6.5,21.0,0.69,62.0
2015-03,53.0,70.0,29.0,51.0,8.0,24.0,0.66,60.0
2015-04,52.5,81.0,24.5,53.5,9.0,22.0,0.675,67.0
2015-05,58.0,148.0,29.0,62.0,9.0,23.0,0.68,54.0
2015-06,49.0,145.0,20.0,51.5,12.5,19.5,0.51,48.0
2015-07,45.0,97.0,20.0,46.0,8.0,15.0,0.52,52.0
2015-08,33.0,74.0,16.0,32.0,10.0,15.0,0.56,44.0
2015-09,44.0,104.5,22.5,42.5,8.0,16.0,0.605,63.0
2015-10,45.0,55.0,20.0,43.0,6.0,15.0,0.58,59.0
2015-11,35.0,44.0,18.5,32.0,5.0,16.0,0.665,50.0
2015-12,37.0,49.0,21.0,37.0,7.0,22.0,0.69,38.0
2016-01,42.0,29.0,20.0,40.0,7.0,24.0,0.79,44.0
2016-02,43.0,66.0,25.0,39.0,6.0,17.0,0.71,53.0
2016-03,56.0,62.0,30.0,50.0,8.0,31.0,0.66,64.0
2016-04,48.5,78.0,26.0,51.0,10.0,31.5,0.705,44.5
2016-05,46.0,51.0,24.0,45.0,9.0,20.0,0.49,46.0
2016-06,39.5,84.5,20.0,39.0,11.0,21.5,0.44,38.5
