年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10,69,35,50,68,10,9,1.05,50
2013-11,57,16,37,61,13,9,0.93,24
2013-12,20,1,0,0,22,13,0.93,25
2014-01,52,24,36,43,15,9,1.08,28
2014-02,23,9,10,11,11,6,1.21,27
2014-03,51,29,34,49,15,9,1.23,26
2014-04,40,7,22,35,14,9,0.94,36
2014-05,52,79,36,50,17,12,1.0,41
2014-06,39,27,26,34,16,14,0.8,36
2014-07,41,22,24,23,16,12,0.67,26
2014-08,27,16,14,26,16,10,0.49,21
2014-09,31,14,19,23,20,9,0.39,31
2014-10,59,41,31,62,16,16,0.4,21
2014-11,40,16,24,37,15,16,0.62,25
2014-12,64,51,31,67,24,21,0.77,18
2015-01,44,83,22,43,16,15,0.79,13
2015-02,33,48,18,31,14,11,0.59,29
2015-03,33,23,18,27,13,11,0.44,22
2015-04,44,45,22,37,12,15,0.41,44
2015-05,48,98,28,41,14,12,0.44,53
2015-06,45,153,17,27,14,11,0.43,58
2015-07,38,43,12,25,6,8,0.33,38
2015-08,26,40,10,24,11,8,0.52,27
2015-09,50,111,16,43,12,15,0.67,60
2015-10,53,148,22,45,10,19,0.75,39
2015-11,30,59,12,24,7,17,0.59,10
2015-12,61,102,32,71,11,30,0.65,15
2016-01,45,58,22,40,8,13,0.46,27
2016-02,37,118,19,36,8,9,0.92,15
2016-03,46,125,15,43,8,13,0.5,18
2016-04,49,145,21,50,4,19,0.57,19
2016-05,41,26,12,26,6,12,0.42,38
2016-06,43,90,12,22,6,11,0.51,23
2016-07,34,78,14,22,8,5,0.42,32
2016-08,30,36,12,29,8,7,0.41,38
2016-09,27,47,5,8,7,4,0.49,36
2016-10,31,28,8,14,5,10,0.54,29
2016-11,39,30,15,30,6,16,0.6,22
2016-12,34,34,17,24,6,18,0.58,35
2017-01,38,48,19,33,7,9,0.64,27
2017-02,43,79,21,41,8,15,0.66,31
2017-03,43,77,21,35,7,18,0.64,51
2017-04,47,134,25,43,8,17,0.59,70
2017-05,40,27,17,38,9,17,0.63,51
2017-06,38,60,13,28,6,14,0.61,47
2017-07,36,42,14,33,1,7,0.46,21
2017-08,33,41,8,28,3,9,0.42,49
2017-09,28,46,10,18,3,11,0.5,25
2017-10,27,47,12,20,4,13,0.4,28
2017-11,36,30,17,31,4,15,0.47,16
2017-12,49,66,28,48,5,22,0.65,17
2018-01,30,57,20,26,6,13,0.74,15
2018-02,34,2,13,26,4,11,0.39,32
2018-03,38,48,16,29,4,10,0.47,31
2018-04,46,101,17,39,5,15,0.44,51
2018-05,34,25,13,26,5,10,0.52,39
2018-06,37,62,11,24,4,8,0.47,55
2018-07,27,34,9,21,4,7,0.55,36
2018-08,29,44,8,15,3,6,0.6,40
2018-09,28,69,11,17,4,7,0.48,41
2018-10,38,72,15,31,5,14,0.45,31
2018-11,29,73,16,19,5,14,0.54,29
2018-12,37,95,18,32,5,15,0.37,5
2019-01,39,21,15,25,3,13,0.52,16
2019-02,37,69,16,28,2,9,0.48,24
2019-03,44,106,17,36,3,12,0.56,43
2019-04,33,27,14,25,3,11,0.46,37
2019-05,42,61,13,22,3,9,0.3,42
2019-06,34,76,15,25,2,9,0.37,40
2019-07,16,11,9,15,3,4,0.35,36
2019-08,17,8,8,15,2,4,0.42,28
2019-09,17,17,8,15,3,9,0.46,39
2019-10,27,51,12,27,4,10,0.38,41
2019-11,32,69,15,31,5,15,0.3,20
2019-12,37,54,21,36,4,14,0.42,10
2020-01,28,58,17,19,3,7,0.53,8
2020-02,25,39,13,19,3,6,0.48,26
2020-03,26,42,11,19,4,11,0.44,47
2020-04,35,64,17,25,4,11,0.45,66
2020-05,30,41,19,24,3,12,0.48,57
2020-06,26,97,11,14,2,8,0.4,35
2020-07,25,81,15,16,2,5,0.45,35
2020-08,21,9,10,14,4,7,0.4,34
2020-09,26,52,13,21,4,8,0.4,47
2020-10,23,75,13,20,4,14,0.6,43
2020-11,22,32,12,15,3,13,0.6,16
2020-12,27,50,15,26,5,12,0.49,13
2021-01,45,53,17,38,4,12,0.53,2
2021-02,29,34,12,21,3,8,0.4,17
2021-03,37,47,18,26,3,11,0.46,29
2021-04,30,35,15,24,3,10,0.49,30
2021-05,23,64,11,16,3,10,0.5,31
2021-06,21,36,10,15,3,5,0.29,37
2021-07,15,25,4,6,3,2,0.32,34
2021-08,18,28,9,15,4,4,0.24,39
2021-09,22,54,8,16,5,8,0.36,46
2021-10,22,55,4,9,5,10,0.33,30
2021-11,27,60,9,19,5,12,0.45,25
2021-12,27,54,14,27,4,10,0.58,14
2022-01,29,24,14,18,3,10,0.41,20
2022-02,28,96,15,21,3,7,0.56,47
2022-03,24,44,10,17,3,9,0.45,40
