年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-12,70.0,6.0,24.0,108.0,41.0,41.0,1.53,37.0
2014-01,171.0,152.5,130.0,189.0,57.0,52.0,2.46,28.5
2014-02,165.5,151.5,125.0,178.0,59.5,42.0,2.105,37.5
2014-03,92.5,113.0,65.0,122.5,49.0,44.0,1.9,54.0
2014-04,105.0,152.0,75.5,130.5,33.5,45.5,2.4699999999999998,66.0
2014-05,86.0,102.0,47.0,106.0,37.0,43.0,1.83,93.0
2014-06,74.0,101.5,44.5,94.0,27.5,41.5,1.955,68.5
2014-07,68.0,93.0,35.0,81.0,23.0,33.0,1.49,61.0
2014-08,67.0,109.0,39.0,82.0,22.0,35.0,1.53,69.0
2014-09,66.5,106.5,38.0,73.5,26.0,35.0,1.525,55.0
2014-10,92.0,83.0,66.0,100.0,43.0,41.0,1.13,20.0
2014-11,129.5,153.0,97.0,137.0,61.5,44.5,2.125,17.5
2014-12,75.0,59.0,49.0,77.0,100.0,44.0,1.76,19.0
2015-01,138.0,275.0,103.0,176.0,103.0,67.0,2.7,19.0
2015-02,144.5,310.5,97.5,170.0,69.5,40.5,2.09,32.5
2015-03,113.0,299.0,71.0,141.0,44.0,45.0,1.54,42.0
2015-04,86.5,273.5,60.0,105.5,36.5,35.5,1.54,52.5
2015-05,97.0,302.0,67.0,122.0,39.0,34.0,1.51,75.0
2015-06,91.5,303.5,56.0,110.5,23.5,27.0,1.59,70.5
2015-07,75.0,288.0,51.0,87.0,15.0,22.0,1.61,82.0
2015-08,74.0,263.0,47.0,87.0,20.0,23.0,1.52,63.0
2015-09,59.5,227.5,36.0,63.5,25.0,33.0,1.645,55.5
2015-10,66.0,186.0,36.0,74.0,35.0,44.0,1.59,37.0
2015-11,85.0,241.0,62.0,94.0,40.5,53.0,2.41,27.5
2015-12,134.0,292.0,87.0,183.0,75.0,68.0,2.92,29.0
2016-01,213.0,343.0,161.0,246.0,77.0,71.0,3.1,28.0
2016-02,94.0,257.0,65.0,124.0,64.0,42.0,2.26,41.0
2016-03,102.0,256.0,58.0,133.0,57.0,57.0,1.94,58.0
2016-04,108.5,321.0,75.0,145.5,38.5,47.5,1.82,72.5
2016-05,84.0,286.0,42.0,73.0,31.0,37.0,1.49,109.0
2016-06,78.5,300.5,37.0,69.0,21.0,32.0,1.6949999999999998,110.5
2016-07,67.0,280.0,37.0,62.0,10.0,20.0,1.53,86.0
2016-08,59.0,249.0,26.0,50.0,11.0,22.0,1.8,85.0
2016-09,72.5,274.0,35.0,79.0,26.5,41.0,2.31,88.0
2016-10,69.0,275.0,46.0,80.0,24.0,44.0,1.64,43.0
2016-11,130.0,335.5,88.0,194.0,36.5,50.0,1.9449999999999998,30.5
2016-12,173.0,318.0,131.0,191.0,43.0,62.0,1.81,21.0
2017-01,194.0,327.0,142.0,218.0,40.0,61.0,2.4,25.0
2017-02,122.0,314.0,90.0,145.0,42.0,46.0,1.655,47.5
2017-03,104.0,316.0,77.0,128.0,31.0,45.0,1.29,52.0
2017-04,96.0,314.0,56.0,116.0,25.0,37.0,1.2149999999999999,71.5
2017-05,93.0,291.0,55.0,107.0,23.0,33.0,1.17,103.0
