年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10,187.5,91.5,148.0,212.0,98.5,83.0,2.7649999999999997,30.5
2013-11,129.0,86.5,100.5,160.0,170.0,74.5,2.185,16.5
2013-12,184.0,84.0,122.0,205.0,208.0,80.0,2.83,13.0
2014-01,201.5,137.5,159.0,234.5,144.5,69.5,2.375,17.5
2014-02,138.0,138.0,103.0,147.0,126.5,59.5,2.005,32.0
2014-03,143.0,155.5,95.5,180.5,135.0,66.0,1.78,45.0
2014-04,140.5,167.5,101.0,189.5,120.5,69.0,1.77,53.5
2014-05,115.0,153.0,66.0,167.0,99.0,55.0,1.66,87.0
2014-06,109.5,159.0,72.5,136.5,83.5,55.5,1.7349999999999999,95.0
2014-07,105.0,165.0,72.0,133.0,80.0,57.0,1.84,97.0
2014-08,111.0,179.0,70.0,142.0,115.0,67.0,2.1,86.0
2014-09,98.5,173.0,65.5,135.5,86.5,62.5,2.0199999999999996,61.5
2014-10,117.0,146.0,83.0,153.0,98.0,66.0,2.06,40.0
2014-11,151.5,166.5,114.5,188.5,130.0,70.0,2.635,18.0
2014-12,111.5,176.5,78.0,169.5,141.5,64.5,2.3200000000000003,8.5
2015-01,133.0,265.0,97.0,179.0,136.0,69.0,2.4,16.0
2015-02,135.0,277.5,95.5,176.5,90.0,54.0,2.17,24.5
2015-03,126.0,328.0,88.0,163.0,88.0,64.0,1.97,35.0
2015-04,113.0,328.0,76.5,154.0,76.0,60.5,1.915,63.0
2015-05,105.0,320.0,64.0,149.0,57.0,56.0,1.96,78.0
2015-06,106.0,337.0,62.0,129.5,57.5,51.0,1.73,99.5
2015-07,103.0,334.0,68.0,132.0,48.0,54.0,1.85,79.0
2015-08,87.0,317.0,53.0,101.0,52.0,55.0,2.04,70.0
2015-09,88.0,338.5,61.0,117.0,51.0,59.5,1.9049999999999998,63.0
2015-10,122.0,329.0,89.0,165.0,85.0,67.0,2.2,40.0
2015-11,117.0,311.5,87.0,135.5,65.5,57.0,2.04,22.5
2015-12,181.0,328.0,139.0,235.0,126.0,68.0,2.59,18.0
2016-01,133.0,300.0,99.0,159.0,105.0,59.0,2.07,23.0
2016-02,95.0,267.0,70.0,121.0,67.0,44.0,1.61,35.0
2016-03,112.0,297.0,72.0,163.0,67.0,56.0,1.71,44.0
2016-04,111.0,325.5,75.0,159.5,47.5,54.5,1.6949999999999998,63.5
2016-05,90.0,305.0,51.0,102.0,50.0,48.0,1.63,89.0
2016-06,89.5,329.5,51.5,89.0,38.0,38.5,1.565,107.0
2016-07,82.0,307.0,48.0,78.0,27.0,36.0,1.6,83.0
2016-08,68.0,291.0,42.0,75.0,34.0,40.0,1.77,69.0
2016-09,92.0,333.5,60.0,116.0,46.0,52.0,2.135,80.5
2016-10,78.0,310.0,55.0,97.0,44.0,56.0,1.84,30.0
2016-11,121.0,298.0,90.5,127.0,50.5,55.0,1.93,23.0
2016-12,133.0,299.0,101.0,162.0,75.0,62.0,2.61,18.0
2017-01,154.0,305.0,117.0,193.0,72.0,65.0,2.32,20.0
2017-02,106.0,268.0,73.5,130.5,66.0,48.5,2.0199999999999996,39.5
2017-03,93.0,296.0,62.0,123.0,55.0,52.0,1.67,50.0
2017-04,87.0,296.5,48.0,115.5,38.0,45.5,1.6349999999999998,76.5
