年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,169,318,128,176,40,44,1.57,53
2015-02,202,348,155,241,49,48,1.54,74
2015-03,108,305,80,131,26,44,1.1,79
2015-04,99,290,70,119,34,47,1.08,95
2015-05,147,361,111,158,35,45,1.34,111
2015-06,136,363,93,167,25,31,1.14,118
2015-07,134,351,102,136,29,28,1.22,101
2015-08,90,309,62,118,16,29,1.16,78
2015-09,118,356,89,130,15,34,1.39,75
2015-10,231,361,182,236,33,53,1.85,101
2015-11,196,346,150,185,50,74,1.97,58
2015-12,204,357,157,214,48,66,2.32,48
2016-01,193,335,153,200,31,69,2.24,45
2016-02,183,345,139,149,26,59,2.06,77
2016-03,200,340,154,208,25,53,1.69,103
2016-04,98,281,64,116,26,43,1.15,112
2016-05,158,339,98,244,28,36,1.16,117
2016-06,86,315,59,92,19,38,0.98,124
2016-07,78,328,56,89,20,31,1.01,79
2016-08,84,354,53,100,20,42,1.29,116
2016-09,106,350,79,126,25,49,1.23,128
2016-10,95,359,67,114,25,45,1.12,81
2016-11,202,343,156,261,31,74,1.63,71
2016-12,241,341,191,296,40,80,1.9,58
2017-01,253,345,203,272,37,95,2.25,67
2017-02,184,360,139,180,29,54,1.43,97
2017-03,159,362,119,205,35,73,1.14,88
2017-04,151,360,113,159,21,44,1.26,143
2017-05,445,367,164,597,19,42,0.85,184
2017-06,128,360,75,181,17,25,0.96,185
2017-07,106,355,63,121,14,24,1.0,139
2017-08,85,356,57,96,21,26,0.88,112
2017-09,108,350,79,152,24,50,0.99,129
2017-10,181,360,137,212,31,55,1.23,118
2017-11,234,366,184,254,30,66,1.28,87
2017-12,328,360,277,321,37,101,2.05,45
2018-01,233,361,182,226,37,89,1.96,83
2018-02,172,350,132,206,22,52,1.29,83
2018-03,187,357,141,205,28,44,1.19,113
2018-04,161,334,92,255,23,36,0.98,150
2018-05,108,345,77,162,19,32,1.03,141
2018-06,126,360,64,102,19,32,0.82,172
2018-07,87,352,58,83,15,21,0.76,143
2018-08,116,366,52,77,14,26,0.88,169
2018-09,86,357,49,101,20,34,1.05,138
2018-10,124,356,84,151,24,46,1.07,149
2018-11,234,366,185,301,19,60,1.49,90
2018-12,223,342,173,264,23,72,1.54,58
2019-01,219,359,170,207,21,60,1.53,69
2019-02,200,342,153,211,20,56,1.32,96
2019-03,174,363,131,187,21,55,1.14,91
2019-04,138,354,100,220,15,38,1.09,112
2019-05,130,335,83,201,25,33,0.9,152
2019-06,100,339,45,100,14,22,0.85,163
2019-07,97,357,46,94,15,23,0.91,151
2019-08,84,358,45,87,17,20,1.0,150
2019-09,105,366,69,124,23,41,1.01,135
2019-10,251,360,100,371,21,43,0.95,130
2019-11,188,364,147,198,27,56,1.21,114
2019-12,210,363,160,212,28,66,1.25,63
2020-01,237,350,189,232,18,63,1.65,85
2020-02,151,354,114,141,13,34,1.13,86
2020-03,124,359,93,168,16,37,0.93,104
2020-04,97,355,70,118,17,44,0.73,132
2020-05,100,363,51,115,16,31,0.78,184
2020-06,179,361,63,298,11,25,0.69,145
2020-07,70,348,51,68,11,25,0.78,115
2020-08,69,327,43,69,11,19,0.93,126
2020-09,82,350,54,92,16,32,0.86,158
2020-10,145,366,109,224,16,55,0.92,113
2020-11,153,366,115,200,23,61,0.95,81
2020-12,240,366,190,247,26,84,1.36,58
2021-01,208,353,162,216,17,65,1.47,60
2021-02,147,360,111,166,9,33,1.24,97
2021-03,303,351,112,437,11,38,0.82,113
2021-04,204,365,78,290,15,37,0.77,118
2021-05,236,356,76,300,11,27,0.86,138
2021-06,88,362,42,93,13,27,0.8,176
2021-07,62,360,32,59,10,16,0.67,143
2021-08,60,344,36,58,11,15,0.8,129
2021-09,75,351,39,68,11,21,0.78,144
2021-10,110,353,83,122,15,42,0.72,120
2021-11,140,356,106,182,17,50,0.93,91
2021-12,176,364,135,178,16,58,0.95,63
2022-01,194,326,147,201,15,55,1.0,70
2022-02,126,318,93,148,11,34,0.68,97
2022-03,189,321,88,248,15,34,0.75,114
