年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10,124.0,61.0,93.0,62.0,30.0,33.5,1.095,69.0
2013-11,140.5,89.5,107.5,149.0,37.5,32.0,1.005,42.0
2013-12,219.0,94.0,151.0,122.0,36.0,54.0,1.71,33.0
2014-01,143.0,111.5,110.5,120.5,39.0,33.0,1.605,41.5
2014-02,117.0,108.0,82.5,109.5,25.5,14.5,1.245,73.0
2014-03,106.5,130.5,75.5,119.5,33.0,25.5,1.3849999999999998,82.5
2014-04,82.0,99.5,53.5,93.0,24.0,19.0,1.06,95.5
2014-05,104.0,138.0,59.0,124.0,40.0,22.0,1.22,119.0
2014-06,91.0,139.0,58.0,87.5,23.5,14.5,0.775,102.5
2014-07,67.0,96.0,43.0,59.0,15.0,15.0,0.79,93.0
2014-08,70.0,125.0,47.0,59.0,20.0,19.0,0.65,78.0
2014-09,47.5,55.5,26.0,47.5,20.5,12.5,0.71,77.0
2014-10,65.0,74.0,44.0,71.0,20.0,21.0,0.77,56.0
2014-11,87.0,107.0,64.0,98.0,18.5,31.0,1.01,32.5
2014-12,109.0,135.0,80.0,117.0,34.0,35.0,1.11,21.0
2015-01,119.0,247.0,89.0,134.0,23.0,28.0,1.29,34.0
2015-02,107.5,246.5,79.0,117.5,14.0,18.0,1.28,45.5
2015-03,95.0,235.0,61.0,95.0,17.0,18.0,1.26,59.0
2015-04,77.5,245.0,46.5,84.0,20.5,21.5,1.11,79.5
2015-05,77.0,215.0,37.0,81.0,17.0,20.0,0.86,89.0
2015-06,77.0,269.0,40.5,74.0,15.5,17.0,0.985,107.0
2015-07,55.0,169.0,28.0,51.0,16.0,12.0,0.71,75.0
2015-08,67.0,248.0,38.0,66.0,13.0,14.0,0.77,84.0
2015-09,59.0,222.0,28.5,51.0,13.0,14.0,0.725,89.0
2015-10,84.0,279.0,47.0,99.0,21.0,22.0,0.82,87.0
2015-11,72.0,232.0,51.0,78.5,19.5,26.5,0.995,47.0
2015-12,117.0,278.0,86.0,134.0,23.0,37.0,1.42,27.0
2016-01,110.0,257.0,81.0,110.0,33.0,27.0,1.51,40.0
2016-02,101.0,275.0,74.0,109.0,26.0,26.0,1.26,52.0
2016-03,92.0,259.0,64.0,118.0,21.0,26.0,1.2,66.0
2016-04,85.5,272.5,52.5,104.5,18.0,28.0,1.4,81.5
2016-05,72.0,230.0,43.0,78.0,16.0,24.0,1.31,93.0
2016-06,66.5,262.5,37.5,67.5,13.5,13.5,0.765,89.0
2016-07,59.0,235.0,30.0,53.0,11.0,9.0,0.54,93.0
2016-08,47.0,139.0,20.0,39.0,11.0,6.0,0.41,72.0
2016-09,62.5,233.5,34.0,65.5,13.5,11.5,0.6,90.5
2016-10,48.0,151.0,23.0,51.0,8.0,20.0,0.69,52.0
2016-11,71.5,189.5,41.0,82.0,11.0,31.5,0.79,44.0
2016-12,102.0,188.0,73.0,133.0,17.0,41.0,1.13,39.0
2017-01,83.0,192.0,51.0,99.0,17.0,29.0,0.91,50.0
2017-02,99.0,258.0,70.5,108.0,18.0,31.0,0.91,62.0
2017-03,76.0,241.0,43.0,83.0,16.0,32.0,0.72,73.0
2017-04,96.0,309.5,49.5,106.0,15.0,30.0,1.0,95.0
2017-05,86.0,290.0,42.0,87.0,14.0,29.0,0.89,101.0
2017-06,83.0,298.0,41.5,74.5,10.0,19.0,0.62,108.0
2017-07,55.0,194.0,29.0,52.0,10.0,21.0,0.6,75.0
2017-08,55.0,220.0,25.0,47.0,10.0,20.0,0.63,70.0
2017-09,58.5,207.0,33.5,54.5,8.5,25.0,0.6,74.0
2017-10,62.0,213.5,33.0,62.5,9.5,36.5,0.615,52.0
2017-11,88.5,264.5,55.0,109.5,13.0,45.5,0.755,39.5
2017-12,102.0,282.0,74.0,133.0,18.0,54.0,1.03,29.0
2018-01,127.0,293.0,96.0,110.0,13.0,42.0,1.29,38.0
2018-02,86.5,267.0,58.5,98.0,11.5,31.5,0.955,56.0
2018-03,94.0,264.0,63.0,95.0,8.0,39.0,0.91,73.0
2018-04,105.5,303.0,52.0,125.0,12.5,37.5,0.83,82.5
2018-05,73.0,237.0,41.0,67.0,8.0,25.0,0.68,104.0
2018-06,83.5,277.0,38.0,58.0,10.0,20.0,0.595,118.0
2018-07,57.0,235.0,28.0,47.0,9.0,16.0,0.49,80.0
2018-08,45.0,163.0,22.0,39.0,5.0,12.0,0.45,83.0
2018-09,58.0,258.0,27.0,50.0,6.0,20.0,0.51,74.0
2018-10,70.0,284.0,41.0,76.0,8.0,32.0,0.56,68.0
2018-11,71.5,232.0,45.5,81.5,6.0,33.5,0.76,46.0
2018-12,73.0,235.0,48.0,85.0,8.0,37.0,0.78,30.0
2019-01,108.0,250.0,77.0,116.0,8.0,45.0,1.05,31.0
2019-02,83.0,250.5,58.5,86.5,4.5,21.5,0.95,56.0
2019-03,77.0,257.0,44.0,93.0,8.0,33.0,0.67,70.0
2019-04,68.5,237.0,30.0,74.0,5.0,24.0,0.6,83.0
2019-05,77.0,266.0,28.0,76.0,8.0,29.0,0.64,93.0
2019-06,63.0,297.0,25.0,54.0,5.0,18.0,0.67,114.0
2019-07,53.5,255.5,24.5,49.0,5.0,18.0,0.595,96.5
2019-08,34.0,98.0,16.5,33.0,4.5,11.0,0.505,61.0
2019-09,48.0,200.0,26.0,49.5,6.0,19.5,0.5549999999999999,80.5
2019-10,77.0,292.0,53.0,74.0,7.0,30.0,0.68,62.0
2019-11,85.0,288.0,51.0,88.0,5.0,37.5,0.665,41.0
2019-12,94.0,280.0,70.0,99.0,6.0,40.0,0.86,30.0
2020-01,98.0,259.0,73.0,84.0,5.0,24.0,0.88,48.0
2020-02,70.0,239.0,48.0,55.0,4.0,12.0,0.64,61.0
2020-03,62.0,258.0,40.0,58.0,5.0,20.0,0.55,69.0
2020-04,70.0,285.0,46.0,67.0,8.0,23.5,0.6,87.5
2020-05,66.0,279.0,34.0,60.0,6.0,21.0,0.65,98.0
2020-06,40.5,215.0,22.0,37.0,5.0,16.0,0.645,93.0
2020-07,38.0,189.0,21.0,31.0,4.0,13.0,0.55,79.0
2020-08,36.0,210.0,17.0,34.0,5.0,15.0,0.6,70.0
2020-09,42.0,247.5,23.0,41.5,6.0,25.5,0.545,80.5
2020-10,49.0,201.0,27.0,50.0,6.0,33.0,0.48,61.0
2020-11,61.0,227.0,41.0,61.5,7.0,33.0,0.63,41.0
2020-12,92.0,296.0,68.0,100.0,8.0,48.0,0.76,29.0
2021-01,86.0,280.0,57.0,108.0,8.0,37.0,0.88,37.0
2021-02,61.5,224.0,39.5,65.5,6.0,19.0,0.705,63.5
2021-03,75.0,242.0,44.0,80.0,6.0,29.0,0.74,61.0
2021-04,55.0,220.5,30.5,51.5,7.0,21.5,0.425,75.0
2021-05,56.0,258.0,32.0,56.0,6.0,19.0,0.53,95.0
2021-06,50.5,277.0,28.5,45.5,5.0,16.5,0.45,105.5
2021-07,27.0,121.0,14.0,23.0,3.0,9.0,0.3,67.0
2021-08,35.0,196.0,19.0,29.0,4.0,12.0,0.45,81.0
2021-09,38.0,211.0,18.5,34.5,4.0,13.0,0.475,85.5
2021-10,48.0,223.0,26.0,47.0,6.0,23.0,0.55,56.0
2021-11,65.0,256.5,41.0,76.0,7.0,38.0,0.595,48.5
2021-12,87.0,262.0,64.0,88.0,7.0,42.0,0.78,35.0
2022-01,95.0,233.0,71.0,96.0,8.0,35.0,0.8,46.0
2022-02,63.0,229.0,41.5,62.5,8.0,22.5,0.5800000000000001,68.0
2022-03,78.0,242.0,39.0,90.0,10.0,25.0,0.73,72.0
