年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10,223,94,176,92,54,52,1.6,77
2013-11,234,109,217,333,81,53,1.77,94
2013-12,429,135,397,479,96,105,3.8,57
2014-01,300,185,249,302,85,80,2.71,67
2014-02,405,186,367,426,42,36,3.16,119
2014-03,314,184,158,428,55,53,2.44,126
2014-04,171,175,126,193,62,42,1.77,133
2014-05,171,182,112,269,86,35,1.73,180
2014-06,256,189,206,251,62,40,1.58,164
2014-07,135,190,94,126,34,29,1.17,175
2014-08,170,185,128,159,38,32,1.47,126
2014-09,100,188,71,93,31,29,1.22,98
2014-10,129,161,97,140,50,44,1.2,83
2014-11,190,171,144,204,44,64,1.54,73
2014-12,245,486,195,269,58,60,1.99,40
2015-01,270,513,219,302,72,58,2.13,50
2015-02,221,357,175,242,61,43,2.29,74
2015-03,311,351,114,416,31,30,1.89,91
2015-04,142,347,98,197,49,47,1.61,144
2015-05,113,314,78,137,42,47,1.26,116
2015-06,167,366,100,176,45,29,1.67,203
2015-07,144,358,108,140,44,20,1.37,134
2015-08,112,333,74,120,41,30,1.1,147
2015-09,89,321,60,103,27,33,1.29,114
2015-10,164,336,111,185,36,40,1.41,155
2015-11,194,336,147,205,34,56,1.73,94
2015-12,284,352,233,299,60,67,2.46,52
2016-01,244,331,198,252,48,59,2.17,63
2016-02,202,358,154,210,47,60,2.11,78
2016-03,217,359,167,257,52,60,2.13,102
2016-04,154,351,109,199,46,60,1.93,119
2016-05,148,356,98,210,42,39,1.85,134
2016-06,112,353,70,125,29,26,1.13,153
2016-07,116,361,73,108,24,18,1.29,138
2016-08,99,360,37,88,28,20,0.76,148
2016-09,124,365,72,140,28,36,1.25,159
2016-10,85,322,62,112,15,35,1.07,98
2016-11,196,331,149,230,31,68,1.64,66
2016-12,256,357,205,278,47,73,2.57,63
2017-01,258,339,209,285,36,63,2.15,81
2017-02,173,347,132,198,38,70,1.53,91
2017-03,146,353,109,196,34,69,1.25,109
2017-04,141,364,107,147,33,50,1.5,156
2017-05,239,355,88,382,24,47,1.14,185
2017-06,160,365,88,124,17,44,0.9,164
2017-07,92,321,50,83,18,31,0.85,127
2017-08,85,338,56,83,16,33,0.98,130
2017-09,107,350,79,115,17,48,1.19,113
2017-10,160,357,118,160,15,59,1.25,81
2017-11,144,353,109,170,23,85,1.23,77
2017-12,288,357,237,316,29,96,2.65,47
2018-01,259,361,208,265,29,85,2.16,61
2018-02,190,333,147,193,20,70,1.7,78
2018-03,163,347,123,185,25,63,1.35,104
2018-04,179,358,136,254,21,55,1.34,149
2018-05,121,346,80,165,16,48,1.23,144
2018-06,158,361,75,96,15,30,0.92,188
2018-07,100,360,69,108,12,24,0.89,142
2018-08,91,350,48,72,10,23,0.79,137
2018-09,97,356,62,96,13,46,1.08,110
2018-10,126,365,94,134,16,48,0.85,114
2018-11,191,353,138,283,11,61,1.55,75
2018-12,163,343,123,198,20,89,1.67,69
2019-01,203,339,156,218,17,65,1.78,65
2019-02,183,331,141,209,17,64,1.77,87
2019-03,122,354,87,148,17,54,1.19,97
2019-04,106,343,78,122,32,49,0.94,142
2019-05,116,353,55,130,18,43,0.93,173
2019-06,119,360,45,94,10,27,0.89,175
2019-07,115,356,44,95,7,25,0.77,165
2019-08,80,354,37,75,6,33,0.9,131
2019-09,80,314,56,88,12,46,0.85,120
2019-10,230,361,98,343,14,54,0.93,106
2019-11,140,356,104,195,14,59,1.01,87
2019-12,157,352,119,146,23,61,1.33,46
2020-01,264,363,214,238,10,53,1.68,67
2020-02,125,343,94,118,7,35,1.01,87
2020-03,138,360,104,121,17,43,1.12,88
2020-04,115,343,84,143,17,41,1.03,140
2020-05,103,362,69,101,13,33,1.0,146
2020-06,91,349,50,129,9,28,0.94,153
2020-07,58,299,37,61,6,23,0.78,120
2020-08,65,350,41,65,8,26,0.83,133
2020-09,91,357,66,96,12,45,0.9,129
2020-10,102,361,75,136,16,54,0.85,99
2020-11,122,362,92,159,20,57,1.07,82
2020-12,252,359,199,231,16,78,1.47,45
2021-01,201,333,152,184,19,64,1.25,55
2021-02,111,311,83,129,12,34,1.24,86
2021-03,412,358,98,556,11,48,1.27,122
2021-04,213,347,71,281,11,41,0.82,115
2021-05,225,361,72,300,10,36,0.75,166
2021-06,83,356,41,71,10,36,0.7,172
2021-07,49,306,27,50,5,15,0.64,105
2021-08,53,323,34,54,7,22,0.69,103
2021-09,67,338,37,61,5,30,0.64,120
2021-10,109,352,82,110,12,67,0.76,143
2021-11,130,343,98,157,15,71,1.0,88
2021-12,198,360,152,194,15,60,1.1,54
2022-01,198,332,149,176,14,59,1.21,76
2022-02,127,321,96,114,15,42,0.86,88
2022-03,121,309,89,181,15,47,0.95,106
