年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10,63.0,23.5,41.5,68.5,10.0,35.0,1.125,84.5
2013-11,69.5,23.0,47.5,74.0,9.0,31.5,1.26,65.5
2013-12,112.0,33.0,83.0,120.0,18.0,49.0,1.48,65.0
2014-01,76.5,43.0,55.5,82.5,11.0,35.0,1.27,66.0
2014-02,48.5,20.0,31.5,46.5,7.0,26.0,1.15,48.5
2014-03,55.0,21.5,33.5,57.5,6.5,38.5,0.905,45.5
2014-04,51.0,18.0,29.5,50.5,7.0,29.5,0.94,65.0
2014-05,32.0,8.0,15.0,31.0,5.0,26.0,0.88,31.0
2014-06,37.0,18.5,15.5,35.5,5.5,23.5,0.93,33.0
2014-07,37.0,24.0,14.0,36.0,6.0,23.0,1.08,36.0
2014-08,35.0,17.0,13.0,34.0,6.0,28.0,0.92,33.0
2014-09,46.0,41.5,22.0,47.5,6.0,29.5,1.1150000000000002,48.5
2014-10,66.0,59.0,44.0,75.0,9.0,30.0,1.19,88.0
2014-11,64.0,42.5,42.5,68.5,8.0,35.0,1.1749999999999998,59.0
2014-12,70.0,53.0,49.0,72.0,9.0,39.0,1.21,50.0
2015-01,70.0,128.0,48.0,76.0,10.0,42.0,1.17,66.0
2015-02,69.5,91.5,48.5,75.0,7.0,28.5,1.08,58.5
2015-03,48.0,59.0,28.0,49.0,7.0,32.0,0.97,47.0
2015-04,48.5,49.5,25.5,49.5,7.5,31.5,0.82,42.0
2015-05,33.0,18.0,15.0,32.0,6.0,26.0,0.82,35.0
2015-06,26.0,13.0,10.0,25.0,7.0,23.5,0.75,32.5
2015-07,33.0,33.0,16.0,31.0,7.0,27.0,0.85,52.0
2015-08,34.0,57.0,17.0,33.0,8.0,35.0,0.82,40.0
2015-09,47.5,122.5,26.5,40.5,6.5,27.5,0.735,67.0
2015-10,56.0,133.0,34.0,55.0,8.0,33.0,0.77,79.0
2015-11,47.0,99.0,27.5,47.5,6.0,27.5,0.815,66.0
2015-12,47.0,64.0,28.0,48.0,6.0,34.0,0.94,44.0
2016-01,40.0,42.0,25.0,34.0,6.0,35.0,1.04,45.0
2016-02,46.0,62.0,30.0,42.0,7.0,29.0,0.87,54.0
2016-03,50.0,51.0,33.0,50.0,8.0,41.0,0.85,52.0
2016-04,38.0,29.5,22.5,36.0,9.0,32.0,0.745,46.0
2016-05,36.0,34.0,21.0,33.0,7.0,22.0,0.81,65.0
2016-06,26.5,19.0,11.0,22.0,7.0,24.0,0.59,45.0
2016-07,28.0,29.0,14.0,25.0,7.0,26.0,0.63,44.0
2016-08,44.0,99.0,24.0,38.0,7.0,30.0,0.77,62.0
2016-09,42.5,82.5,23.0,37.5,6.0,28.0,0.755,63.5
2016-10,39.0,90.0,24.0,37.0,6.0,25.0,0.75,53.0
2016-11,47.0,69.5,29.0,48.5,6.0,33.5,0.835,60.0
2016-12,60.0,87.0,39.0,67.0,8.0,43.0,0.97,68.0
2017-01,58.0,64.0,39.0,56.0,7.0,32.0,0.93,68.0
2017-02,48.0,55.0,27.0,41.5,6.0,28.5,0.81,72.5
2017-03,49.0,85.0,29.0,48.0,6.0,32.0,0.76,65.0
2017-04,45.5,41.0,26.0,39.5,7.0,31.5,0.725,54.5
2017-05,48.0,60.0,25.0,40.0,7.0,27.0,0.73,77.0
2017-06,21.0,5.0,9.0,19.5,6.0,22.0,0.635,32.0
2017-07,20.0,5.0,9.0,18.0,5.0,21.0,0.59,29.0
2017-08,27.0,25.0,13.0,25.0,7.0,26.0,0.65,41.0
2017-09,39.0,78.5,23.0,37.0,6.0,29.5,0.7,51.0
2017-10,45.5,166.0,23.0,43.0,6.0,18.5,0.745,79.5
2017-11,55.5,98.0,36.5,56.5,7.0,30.0,0.8,57.0
2017-12,64.0,111.0,45.0,69.0,9.0,30.0,0.77,75.0
2018-01,53.0,109.0,33.0,57.0,7.0,33.0,0.8,68.0
2018-02,56.0,74.5,35.0,53.5,6.0,27.0,0.67,68.5
2018-03,50.0,63.0,27.0,46.0,6.0,27.0,0.6,83.0
2018-04,49.5,50.5,27.0,49.0,6.0,27.0,0.62,62.0
2018-05,31.0,13.0,17.0,28.0,6.0,23.0,0.5,46.0
2018-06,36.0,47.5,19.5,31.5,6.0,28.5,0.6,54.0
2018-07,32.0,54.0,19.0,31.0,6.0,28.0,0.57,41.0
2018-08,34.0,72.0,21.0,33.0,6.0,34.0,0.63,52.0
2018-09,45.0,162.0,26.0,42.0,6.0,27.0,0.61,55.0
2018-10,50.0,145.0,29.0,49.0,6.0,25.0,0.64,77.0
2018-11,48.0,113.0,29.0,48.5,6.0,28.0,0.7,58.5
2018-12,49.0,96.0,30.0,50.0,6.0,30.0,0.74,36.0
2019-01,54.0,107.0,34.0,56.0,6.0,32.0,0.87,51.0
2019-02,34.5,58.0,22.0,33.0,4.0,18.5,0.69,52.0
2019-03,41.0,51.0,24.0,38.0,4.0,27.0,0.7,56.0
2019-04,38.5,50.5,22.0,35.0,4.0,22.5,0.635,58.0
2019-05,39.0,49.0,20.0,35.0,4.0,19.0,0.63,61.0
2019-06,28.0,28.0,15.0,26.0,4.0,19.0,0.61,41.0
2019-07,27.5,49.5,14.0,26.5,4.0,17.5,0.59,43.5
2019-08,38.0,133.5,21.5,38.5,4.0,22.5,0.61,74.0
2019-09,41.0,166.0,23.0,39.0,5.0,22.5,0.56,89.0
2019-10,51.0,182.0,31.0,55.0,5.0,22.0,0.63,102.0
2019-11,61.0,183.0,38.0,69.5,6.0,29.5,0.615,94.0
2019-12,58.0,138.0,35.0,66.0,6.0,38.0,0.7,54.0
2020-01,44.0,81.0,25.0,45.0,5.0,22.0,0.65,56.0
2020-02,30.0,45.0,17.0,29.0,5.0,14.0,0.55,54.0
2020-03,35.0,82.0,21.0,35.0,5.0,23.0,0.6,54.0
2020-04,38.0,66.5,20.5,38.0,5.0,27.5,0.58,63.0
2020-05,25.0,24.0,12.0,23.0,5.0,22.0,0.54,47.0
2020-06,15.5,9.5,6.5,15.0,5.0,17.5,0.475,31.0
2020-07,15.0,9.0,6.0,15.0,5.0,16.0,0.5,30.0
2020-08,18.0,30.0,8.0,17.0,6.0,18.0,0.53,34.0
2020-09,27.0,85.5,13.0,24.5,5.0,20.0,0.59,70.0
2020-10,43.0,144.0,23.0,44.0,6.0,18.0,0.6,76.0
2020-11,50.5,131.0,26.5,53.5,6.0,25.5,0.675,71.5
2020-12,56.0,132.0,34.0,63.0,6.0,30.0,0.71,51.0
2021-01,61.0,112.0,36.0,72.0,6.0,34.0,0.7,62.0
2021-02,37.0,56.0,20.5,35.0,5.0,19.0,0.63,69.5
2021-03,34.0,54.0,17.0,34.0,5.0,25.0,0.62,52.0
2021-04,36.0,74.5,16.5,34.0,5.0,19.5,0.555,77.0
2021-05,19.0,13.0,8.0,19.0,5.0,16.0,0.51,37.0
2021-06,24.0,47.5,9.0,22.0,5.0,15.5,0.505,40.5
2021-07,20.0,32.0,9.0,20.0,5.0,16.0,0.5,37.0
2021-08,24.0,84.0,10.0,23.0,5.0,19.0,0.53,33.0
2021-09,26.0,98.5,10.5,24.0,6.0,18.5,0.565,56.0
