年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10,150,92,113,157,73,46,1.75,102
2013-11,166,85,123,164,73,81,1.8,93
2013-12,213,111,153,186,95,78,1.98,103
2014-01,244,163,188,227,90,101,2.07,121
2014-02,204,160,159,152,71,70,1.97,70
2014-03,192,189,117,310,47,51,2.19,84
2014-04,125,165,94,146,45,49,1.66,89
2014-05,132,157,51,252,42,42,1.83,68
2014-06,84,128,61,90,46,34,1.58,79
2014-07,60,76,26,68,33,30,1.62,65
2014-08,76,145,54,68,28,37,1.41,83
2014-09,101,137,75,105,33,42,1.42,101
2014-10,176,181,132,192,63,77,2.2,138
2014-11,126,156,94,154,55,83,2.03,96
2014-12,78,90,54,98,52,89,1.75,71
2015-01,163,348,123,198,50,115,2.5,91
2015-02,196,320,154,194,41,77,1.86,99
2015-03,84,220,61,93,28,65,3.24,56
2015-04,114,270,75,116,40,64,1.28,102
2015-05,50,75,26,48,24,50,1.36,78
2015-06,50,124,25,44,26,37,0.91,54
2015-07,95,270,51,78,29,40,0.75,115
2015-08,85,348,62,84,25,44,1.11,104
2015-09,121,328,91,115,22,40,1.29,90
2015-10,96,311,71,96,21,42,1.41,87
2015-11,86,261,63,83,29,51,1.66,63
2015-12,89,135,62,95,20,45,2.01,44
2016-01,108,153,79,126,31,83,2.18,75
2016-02,111,246,85,109,29,67,1.45,104
2016-03,151,358,114,158,33,84,2.87,88
2016-04,150,350,114,166,24,83,1.76,85
2016-05,120,352,67,106,22,73,1.42,143
2016-06,127,357,58,80,25,46,1.09,139
2016-07,111,360,56,88,20,39,1.05,137
2016-08,128,363,83,110,17,41,1.24,139
2016-09,124,345,80,108,23,43,1.19,124
2016-10,83,348,54,84,21,51,1.38,93
2016-11,116,266,86,125,22,85,2.07,111
2016-12,103,202,77,110,28,76,1.75,90
2017-01,164,285,124,152,23,92,1.86,92
2017-02,113,295,84,115,20,72,1.53,86
2017-03,125,354,93,178,26,109,2.82,83
2017-04,144,357,86,170,19,100,1.74,136
2017-05,151,357,100,153,18,57,1.44,132
2017-06,79,325,47,62,18,47,1.08,96
2017-07,99,344,46,78,18,55,1.13,118
2017-08,107,355,53,87,22,54,1.07,128
2017-09,106,355,64,100,24,49,1.14,127
2017-10,95,276,70,109,24,49,1.12,122
2017-11,98,287,72,115,26,73,1.49,125
2017-12,121,238,91,137,31,76,1.35,103
2018-01,198,350,155,205,31,106,1.83,85
2018-02,174,291,138,150,22,68,1.2,101
2018-03,149,345,112,121,20,82,1.53,106
2018-04,166,359,125,181,20,68,1.17,122
2018-05,89,256,43,84,16,52,1.13,104
2018-06,83,299,45,70,14,40,1.0,115
2018-07,89,346,40,65,18,40,0.87,108
2018-08,96,356,51,78,14,43,1.18,126
2018-09,80,344,55,81,12,39,0.92,102
2018-10,121,364,91,115,17,53,1.04,134
2018-11,141,364,108,113,19,68,1.13,115
2018-12,179,333,136,209,14,105,2.15,49
2019-01,124,280,93,110,18,67,1.48,84
2019-02,105,254,78,91,12,42,2.22,60
2019-03,93,340,68,93,18,68,2.09,75
2019-04,76,277,53,85,10,59,1.17,67
2019-05,113,297,68,95,12,42,1.01,121
2019-06,62,295,30,54,9,32,0.82,93
2019-07,65,332,43,73,14,37,0.78,79
2019-08,81,357,47,84,10,35,0.81,104
2019-09,80,348,51,95,13,55,1.01,134
2019-10,97,353,69,117,16,53,0.91,101
2019-11,134,356,102,155,16,75,1.03,128
2019-12,147,347,112,152,19,95,1.36,92
2020-01,176,325,136,160,12,75,1.5,79
2020-02,100,341,74,85,8,38,0.96,84
2020-03,77,317,53,100,11,55,1.16,75
2020-04,118,358,87,106,19,69,0.99,145
2020-05,77,331,53,79,10,39,0.88,111
2020-06,44,258,24,47,10,36,0.69,74
2020-07,63,347,39,65,14,35,0.78,92
2020-08,74,360,46,86,10,33,0.8,109
2020-09,76,341,43,82,9,37,1.03,120
2020-10,69,350,50,81,13,45,1.08,115
2020-11,93,359,66,99,12,69,1.17,115
2020-12,98,230,73,95,13,61,1.33,89
2021-01,131,347,99,150,15,85,1.35,99
2021-02,78,306,49,82,10,48,1.11,114
2021-03,99,307,64,147,14,56,1.49,98
2021-04,87,353,49,91,12,53,1.15,112
2021-05,88,345,49,81,8,38,1.1,134
2021-06,54,268,33,54,8,25,0.7,101
2021-07,69,346,33,53,9,24,0.76,106
2021-08,49,291,26,42,9,23,0.72,83
2021-09,74,350,42,67,7,25,0.8,115
2021-10,67,329,38,64,8,36,0.87,104
2021-11,59,343,39,59,8,38,0.98,95
2021-12,60,245,42,62,8,39,1.23,83
2022-01,83,200,58,90,8,45,1.2,76
2022-02,63,153,44,62,8,32,1.0,82
2022-03,84,243,57,84,10,47,1.15,114
