年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10,78,34,53,104,20,61,1.15,55
2013-11,110,91,83,159,30,107,3.01,77
2013-12,234,81,192,277,51,102,2.65,58
2014-01,256,155,218,273,51,105,2.05,53
2014-02,97,95,72,105,48,91,1.74,71
2014-03,149,157,113,181,46,104,2.84,89
2014-04,121,151,91,158,37,117,2.25,115
2014-05,133,151,101,177,34,97,1.77,106
2014-06,98,138,57,94,21,52,1.49,114
2014-07,82,114,51,81,19,63,1.13,86
2014-08,70,142,47,75,15,48,1.53,77
2014-09,91,154,59,81,18,46,1.23,107
2014-10,134,152,93,141,28,77,1.17,110
2014-11,109,174,81,118,27,83,1.48,72
2014-12,122,319,92,143,46,97,1.83,59
2015-01,191,355,144,224,52,118,2.13,59
2015-02,138,287,103,143,18,64,1.24,94
2015-03,102,259,73,117,33,86,1.33,87
2015-04,163,359,123,189,37,120,2.17,115
2015-05,96,337,71,116,27,74,1.18,109
2015-06,90,341,66,106,21,57,1.13,112
2015-07,87,349,48,89,16,38,0.97,96
2015-08,78,321,43,73,13,45,0.92,91
2015-09,91,326,52,78,13,55,0.95,133
2015-10,117,314,69,111,21,60,1.17,141
2015-11,96,306,70,127,25,84,1.94,74
2015-12,122,358,91,144,23,67,1.55,58
2016-01,192,354,147,209,32,85,1.55,75
2016-02,135,313,101,147,19,64,1.1,92
2016-03,112,295,83,152,29,91,1.3,105
2016-04,113,333,71,146,31,88,1.53,112
2016-05,88,320,64,115,26,75,1.43,115
2016-06,82,357,47,92,25,55,1.18,102
2016-07,84,339,52,84,15,37,1.01,101
2016-08,89,329,51,82,13,33,1.0,128
2016-09,87,280,54,96,14,42,1.02,117
2016-10,74,337,47,97,18,64,1.12,83
2016-11,106,256,79,128,26,79,1.5,77
2016-12,115,249,86,164,31,96,1.43,65
2017-01,134,297,101,149,22,77,1.08,70
2017-02,141,341,107,156,19,63,1.12,87
2017-03,132,335,100,152,24,98,1.15,82
2017-04,124,316,94,130,30,94,1.62,124
2017-05,112,339,59,164,22,59,1.09,144
2017-06,84,338,59,97,15,75,1.2,93
2017-07,96,344,46,81,16,43,1.11,115
2017-08,73,334,43,76,15,45,0.83,97
2017-09,100,289,50,84,14,43,0.91,127
2017-10,100,340,73,101,15,55,1.1,107
2017-11,95,298,67,130,18,82,1.2,99
2017-12,144,301,108,187,22,85,1.05,76
2018-01,135,246,101,147,18,84,1.36,74
2018-02,95,330,70,118,15,49,0.92,80
2018-03,89,246,65,98,13,68,1.2,95
2018-04,115,339,86,149,18,80,1.35,145
2018-05,98,307,60,133,13,56,1.35,113
2018-06,80,284,44,81,11,51,0.96,104
2018-07,80,305,41,73,8,40,0.88,94
2018-08,69,242,41,71,7,37,0.82,94
2018-09,71,298,33,60,8,36,0.89,115
2018-10,73,332,42,95,12,61,0.88,121
2018-11,80,229,50,106,9,61,0.91,89
2018-12,101,244,64,150,12,83,1.13,52
2019-01,113,280,85,144,11,67,1.13,63
2019-02,88,224,59,106,8,54,1.15,74
2019-03,88,304,63,109,13,70,1.13,70
2019-04,76,297,46,87,10,56,1.02,93
2019-05,87,291,47,122,12,73,0.99,115
2019-06,59,307,41,65,9,43,1.01,102
2019-07,63,314,34,70,7,40,0.82,66
2019-08,49,219,25,51,6,23,0.82,67
2019-09,73,283,48,72,9,44,0.77,121
2019-10,98,352,60,145,10,45,0.93,119
2019-11,94,327,61,130,12,64,0.75,77
2019-12,98,309,68,137,14,73,1.34,55
2020-01,89,234,66,103,11,61,1.0,80
2020-02,78,251,56,106,7,21,0.7,121
2020-03,72,280,44,94,9,57,0.85,90
2020-04,81,308,54,104,11,55,0.78,119
2020-05,80,347,47,113,8,42,0.83,128
2020-06,66,337,38,78,6,44,0.78,79
2020-07,65,351,32,79,5,40,0.7,93
2020-08,55,343,30,63,6,33,0.77,77
2020-09,72,318,37,69,7,46,0.81,127
2020-10,71,301,29,92,8,43,0.6,103
2020-11,83,360,54,117,11,56,1.08,111
2020-12,89,294,66,117,11,76,0.81,53
2021-01,105,277,66,152,12,75,0.93,71
2021-02,86,288,61,114,7,51,0.9,86
2021-03,80,302,45,109,7,52,0.81,76
2021-04,76,354,56,93,7,52,0.88,102
2021-05,72,364,48,94,7,52,0.9,106
2021-06,65,366,39,80,5,42,0.64,87
2021-07,53,346,32,59,4,36,0.77,79
2021-08,51,304,26,55,5,35,0.64,64
2021-09,61,322,32,63,5,29,0.68,149
2021-10,65,296,41,81,6,54,0.57,119
2021-11,74,278,48,97,8,65,0.7,69
2021-12,91,322,62,131,9,71,0.92,64
2022-01,107,267,80,141,8,63,0.83,69
2022-02,89,282,62,113,7,57,0.7,82
2022-03,110,313,83,131,8,54,0.87,78
