年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10,55,12,31,60,9,35,0.91,41
2013-11,36,7,20,31,3,36,0.77,2
2013-12,23,6,12,18,6,34,0.93,10
2014-01,43,9,25,44,6,32,0.86,2
2014-02,21,5,10,16,4,14,0.82,4
2014-03,34,4,21,30,7,34,1.05,4
2014-04,35,4,20,32,7,43,0.85,18
2014-05,36,14,12,17,3,29,0.73,14
2014-06,25,3,15,20,5,20,0.58,20
2014-07,28,3,11,27,2,8,0.51,18
2014-08,24,6,12,20,3,16,0.58,29
2014-09,26,1,9,14,4,22,0.64,33
2014-10,45,6,20,37,5,18,0.46,22
2014-11,29,6,18,27,7,31,0.66,8
2014-12,48,24,26,51,16,29,0.4,3
2015-01,19,1,10,17,5,24,0.49,5
2015-02,25,12,11,16,1,16,0.45,7
2015-03,26,19,14,18,2,16,0.52,13
2015-04,32,28,8,17,2,22,0.72,20
2015-05,38,32,14,37,8,28,0.6,26
2015-06,35,33,17,31,6,25,0.64,28
2015-07,24,8,4,15,2,6,0.41,23
2015-08,25,13,12,24,2,2,0.52,19
2015-09,31,40,15,29,2,12,0.52,24
2015-10,33,47,18,32,5,21,0.52,9
2015-11,25,13,13,24,5,18,0.5,2
2015-12,24,26,12,23,5,25,0.63,2
2016-01,26,10,13,13,3,7,0.66,1
2016-02,27,22,18,25,2,11,0.45,25
2016-03,29,30,10,22,4,21,0.44,11
2016-04,39,50,23,38,8,30,0.69,4
2016-05,41,46,16,33,9,20,0.57,10
2016-06,38,66,15,31,4,16,0.66,19
2016-07,21,16,8,19,3,6,0.54,24
2016-08,23,8,8,19,4,10,0.5,21
2016-09,17,10,7,16,3,7,0.38,17
2016-10,24,15,8,18,4,16,0.58,13
2016-11,20,30,6,12,5,14,0.57,8
2016-12,27,9,12,26,7,24,0.53,5
2017-01,21,2,11,19,1,12,0.48,13
2017-02,29,16,17,28,2,13,0.58,22
2017-03,39,53,24,38,4,29,0.48,12
2017-04,32,19,15,29,7,32,0.49,18
2017-05,40,26,16,31,5,22,0.51,25
2017-06,26,23,11,19,6,28,0.47,13
2017-07,28,19,11,27,6,11,0.33,29
2017-08,21,14,9,20,6,13,0.41,27
2017-09,30,16,14,27,6,14,0.45,28
2017-10,24,24,9,16,6,8,0.36,26
2017-11,22,6,11,21,5,20,0.38,6
2017-12,34,42,17,31,6,23,0.38,6
2018-01,24,10,8,14,6,19,0.36,5
2018-02,26,6,10,15,5,11,0.49,29
2018-03,22,5,9,16,6,22,0.42,8
2018-04,34,36,14,24,7,22,0.47,15
2018-05,37,24,10,28,5,10,0.38,31
2018-06,29,19,10,22,4,18,0.45,19
2018-07,24,18,8,19,3,5,0.43,19
2018-08,21,9,7,17,4,9,0.54,28
2018-09,23,10,8,18,4,9,0.4,15
2018-10,24,30,13,22,5,18,0.38,13
2018-11,19,8,6,14,5,14,0.37,5
2018-12,14,13,3,9,4,16,0.49,4
2019-01,25,22,10,20,4,23,0.51,3
2019-02,16,5,5,7,4,7,0.42,9
2019-03,30,20,14,23,4,23,0.42,17
2019-04,28,13,10,23,5,19,0.42,20
2019-05,33,33,7,17,5,15,0.34,32
2019-06,27,28,11,23,5,19,0.52,22
2019-07,20,5,10,19,5,14,0.45,16
2019-08,13,1,4,10,4,8,0.46,19
2019-09,17,18,8,17,4,11,0.36,19
2019-10,16,9,9,15,4,9,0.4,22
2019-11,19,16,8,17,6,21,0.35,16
2019-12,16,6,7,12,6,20,0.5,6
2020-01,13,6,2,4,6,4,0.45,5
2020-02,13,6,3,5,4,2,0.33,34
2020-03,20,14,3,8,5,12,0.34,11
2020-04,27,49,12,24,5,17,0.26,27
2020-05,25,52,11,21,5,13,0.36,25
2020-06,24,49,10,21,4,23,0.38,15
2020-07,23,60,8,23,4,10,0.37,18
2020-08,19,43,6,17,4,9,0.22,23
2020-09,19,53,6,18,4,18,0.51,30
2020-10,26,77,10,24,5,16,0.39,52
2020-11,20,22,8,17,5,18,0.34,14
2020-12,30,40,10,29,5,20,0.25,10
2021-01,31,27,17,32,4,20,0.33,7
2021-02,16,11,6,15,4,7,0.36,19
2021-03,21,20,9,16,4,22,0.4,21
2021-04,28,47,13,26,4,21,0.22,18
2021-05,24,44,10,18,3,20,0.38,21
2021-06,17,11,6,13,3,17,0.34,25
2021-07,12,5,3,11,3,7,0.3,18
2021-08,18,25,7,16,3,13,0.35,17
2021-09,11,5,2,8,4,10,0.38,17
2021-10,15,22,3,7,4,13,0.22,18
2021-11,21,29,8,20,4,23,0.35,11
2021-12,24,25,11,22,4,18,0.37,7
2022-01,17,18,5,7,4,8,0.31,10
2022-02,17,15,5,7,4,8,0.3,30
2022-03,20,21,6,12,4,21,0.28,18
