年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10,74,43,35,86,16,48,0.92,28
2013-11,57,31,36,63,15,38,0.72,5
2013-12,34,26,10,11,2,10,0.3,4
2014-01,59,31,36,40,6,22,0.7,10
2014-02,25,8,14,14,1,9,0.47,8
2014-03,56,57,39,34,9,33,0.58,18
2014-04,41,11,22,33,8,21,0.48,15
2014-05,41,36,25,36,7,23,0.56,26
2014-06,40,33,24,25,3,20,0.59,22
2014-07,30,20,17,21,5,19,0.59,15
2014-08,22,7,12,20,2,11,0.6,23
2014-09,25,9,15,19,3,15,0.5,15
2014-10,50,23,26,38,5,18,0.58,5
2014-11,41,27,28,31,4,31,0.73,5
2014-12,57,24,33,48,16,37,0.67,4
2015-01,41,59,28,23,1,27,0.61,7
2015-02,29,26,19,12,1,13,0.56,5
2015-03,37,21,24,14,3,20,0.63,17
2015-04,40,72,22,17,3,16,0.72,24
2015-05,37,42,22,30,5,12,0.43,14
2015-06,37,82,20,29,3,18,0.5,20
2015-07,23,11,15,17,2,6,0.39,31
2015-08,29,37,17,19,4,9,0.43,24
2015-09,37,64,17,25,4,12,0.55,21
2015-10,38,73,20,29,6,14,0.65,36
2015-11,32,50,22,23,6,15,0.65,4
2015-12,53,91,31,55,12,30,0.62,6
2016-01,68,176,48,69,14,42,0.81,7
2016-02,65,147,46,66,14,39,0.8,29
2016-03,65,161,46,66,13,38,0.79,36
2016-04,66,204,47,67,13,43,0.82,36
2016-05,60,136,41,60,12,44,0.79,35
2016-06,59,210,41,60,12,40,0.75,37
2016-07,58,232,39,59,12,40,0.74,43
2016-08,58,231,40,58,14,39,0.74,50
2016-09,57,189,38,56,11,37,0.72,39
2016-10,58,214,39,60,12,41,0.74,31
2016-11,61,142,42,62,12,40,0.79,28
2016-12,66,108,46,68,15,46,0.8,28
2017-01,63,113,44,62,12,36,0.74,27
2017-02,65,152,46,64,12,37,0.76,34
2017-03,65,217,45,65,12,42,0.75,48
2017-04,66,190,47,69,13,44,0.85,42
2017-05,63,145,44,61,12,42,0.8,53
2017-06,57,184,39,54,12,40,0.76,41
2017-07,56,193,39,56,12,38,0.8,43
2017-08,58,238,39,59,12,39,0.8,43
2017-09,59,176,41,59,12,38,0.82,26
2017-10,57,152,39,53,12,38,0.8,35
2017-11,60,114,41,61,12,39,0.79,30
2017-12,65,86,46,62,13,51,0.86,25
2018-01,56,181,37,57,12,40,0.82,25
2018-02,62,64,41,67,12,36,0.83,34
2018-03,63,157,42,62,12,44,0.93,29
2018-04,66,155,45,68,13,47,0.91,41
2018-05,64,158,44,65,13,42,0.82,44
2018-06,60,179,40,60,12,38,0.82,45
2018-07,58,205,40,58,13,38,0.76,42
2018-08,58,199,40,58,12,38,0.75,50
2018-09,56,269,37,58,13,43,0.77,37
2018-10,59,173,41,63,13,42,0.81,41
2018-11,57,166,38,58,13,45,0.73,29
2018-12,60,174,41,61,13,43,0.65,24
2019-01,59,134,40,56,12,41,0.81,24
2019-02,58,165,39,58,11,36,0.78,39
2019-03,59,189,41,64,11,44,0.72,45
2019-04,60,204,40,63,11,45,0.72,31
2019-05,59,168,39,61,10,40,0.7,47
2019-06,22,49,10,19,4,18,0.55,31
2019-07,21,50,4,9,2,13,0.41,32
2019-08,28,59,10,28,3,14,0.51,36
2019-09,19,27,7,10,3,12,0.6,30
2019-10,28,39,9,27,4,14,0.56,25
2019-11,24,44,8,23,3,17,0.61,12
2019-12,30,48,17,25,2,28,0.56,3
2020-01,19,18,7,11,2,12,0.5,2
2020-02,13,9,5,8,3,9,0.39,35
2020-03,17,5,6,15,3,19,0.42,13
2020-04,30,28,9,25,2,21,0.45,54
2020-05,33,95,10,26,2,16,0.45,46
2020-06,22,78,5,11,2,12,0.42,24
2020-07,16,18,8,14,2,14,0.4,19
2020-08,27,145,6,26,3,12,0.35,38
2020-09,24,91,8,18,3,21,0.46,37
2020-10,24,68,9,21,3,19,0.42,39
2020-11,17,25,7,15,3,30,0.41,5
2020-12,27,76,12,26,5,22,0.53,5
2021-01,44,48,18,44,3,23,0.41,10
2021-02,26,29,9,16,1,11,0.4,14
2021-03,29,56,11,26,2,27,0.46,21
2021-04,33,63,12,33,2,22,0.32,15
2021-05,24,59,7,18,2,17,0.38,28
2021-06,23,93,9,15,2,15,0.39,33
2021-07,14,19,3,8,2,5,0.38,29
2021-08,20,49,5,11,3,10,0.32,41
2021-09,11,17,3,9,4,8,0.31,35
2021-10,22,70,4,12,4,14,0.45,18
2021-11,23,24,7,19,2,23,0.43,11
2021-12,27,49,12,27,3,19,0.38,4
2022-01,22,30,13,16,3,13,0.41,15
2022-02,21,34,9,14,4,10,0.28,33
2022-03,21,22,6,9,3,17,0.33,33
