年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10,373,114,393,466,86,103,3.06,75
2013-11,375,110,339,442,82,89,2.13,73
2013-12,253,153,218,278,92,94,4.92,60
2014-01,361,188,311,389,90,101,3.57,85
2014-02,210,182,160,220,90,64,2.0,87
2014-03,156,183,119,188,73,59,1.67,97
2014-04,153,184,116,202,78,71,1.68,105
2014-05,151,178,100,250,83,59,1.46,80
2014-06,299,188,253,312,56,42,2.75,116
2014-07,117,180,88,122,42,49,1.35,93
2014-08,118,181,88,125,37,45,2.88,83
2014-09,101,178,75,124,61,54,1.7,91
2014-10,245,189,197,265,72,85,1.61,97
2014-11,261,181,211,281,56,78,2.03,42
2014-12,221,449,172,243,79,77,1.45,40
2015-01,254,393,203,273,64,73,2.07,64
2015-02,185,356,141,208,65,89,1.61,71
2015-03,181,355,139,214,55,57,1.56,53
2015-04,104,306,72,141,52,70,1.3,62
2015-05,176,352,133,176,50,50,1.63,104
2015-06,81,297,59,87,32,37,1.55,110
2015-07,162,362,123,171,24,46,1.5,90
2015-08,106,340,79,117,29,41,1.31,113
2015-09,123,359,92,150,44,53,1.24,108
2015-10,141,333,106,159,50,68,1.4,105
2015-11,99,317,73,122,52,57,1.4,71
2015-12,226,339,175,221,51,64,2.17,49
2016-01,210,355,162,223,51,77,1.79,56
2016-02,213,351,169,217,64,57,1.76,79
2016-03,151,306,114,170,80,71,1.55,88
2016-04,96,270,71,119,47,54,1.21,93
2016-05,114,344,85,138,72,48,1.23,102
2016-06,84,292,60,99,38,34,1.26,111
2016-07,83,340,60,96,36,31,1.37,85
2016-08,116,362,87,123,41,35,1.44,115
2016-09,136,357,102,143,47,60,1.47,112
2016-10,134,362,102,139,29,42,1.19,101
2016-11,144,342,110,181,52,68,1.63,52
2016-12,188,329,142,238,61,84,1.86,64
2017-01,252,358,208,309,66,91,2.35,67
2017-02,158,337,121,202,50,71,1.8,78
2017-03,189,357,143,222,50,68,1.25,97
2017-04,81,276,50,107,47,48,1.32,100
2017-05,170,308,76,231,26,46,1.19,126
2017-06,90,287,56,105,36,39,1.04,93
2017-07,89,329,65,104,28,34,0.98,92
2017-08,68,297,41,76,28,30,0.97,95
2017-09,101,324,66,105,37,44,0.97,129
2017-10,150,363,113,139,40,63,1.01,104
2017-11,237,365,190,225,73,78,1.48,106
2017-12,221,364,175,214,62,87,1.31,64
2018-01,277,347,226,261,74,73,1.47,94
2018-02,209,366,163,211,44,76,1.22,85
2018-03,147,343,109,170,34,66,1.15,92
2018-04,223,361,76,352,37,55,1.03,120
2018-05,123,336,69,193,24,44,1.07,110
2018-06,101,353,47,78,29,41,1.11,138
2018-07,66,297,44,64,29,33,0.91,90
2018-08,103,356,38,65,20,29,1.05,172
2018-09,81,353,48,76,15,30,1.05,113
2018-10,150,367,114,126,21,54,1.29,131
2018-11,145,367,112,131,36,62,1.38,85
2018-12,319,362,268,307,27,64,1.59,46
2019-01,251,364,202,221,25,74,1.6,42
2019-02,213,324,166,172,17,40,1.4,56
2019-03,98,343,72,98,16,62,1.17,76
2019-04,68,280,48,80,16,36,1.16,84
2019-05,107,337,53,162,19,44,1.16,120
2019-06,68,281,42,68,14,42,1.12,147
2019-07,80,305,36,61,11,25,0.92,131
2019-08,72,347,45,72,10,40,0.98,140
2019-09,102,364,67,103,14,53,1.03,136
2019-10,110,364,80,138,21,71,1.27,116
2019-11,194,366,151,139,26,68,1.16,95
2019-12,260,365,210,212,23,79,1.75,46
2020-01,166,321,125,147,11,55,1.4,61
2020-02,126,351,95,92,12,37,1.62,76
2020-03,102,353,76,95,12,56,0.93,71
2020-04,92,332,68,90,18,54,1.02,122
2020-05,76,353,53,98,15,45,0.93,117
2020-06,46,269,27,47,14,29,0.99,85
2020-07,66,349,45,75,14,27,0.86,90
2020-08,65,328,40,67,13,37,0.85,111
2020-09,68,342,44,80,9,35,1.06,111
2020-10,153,364,116,112,23,53,1.1,92
2020-11,136,360,103,115,15,72,1.07,73
2020-12,198,354,149,184,21,82,1.45,55
2021-01,229,365,182,213,23,77,1.45,62
2021-02,157,359,123,133,11,41,1.42,78
2021-03,111,329,70,171,19,55,1.4,82
2021-04,102,355,76,107,13,46,1.01,91
2021-05,94,288,70,110,13,40,1.02,104
2021-06,60,299,41,64,14,39,0.89,105
2021-07,49,333,31,47,22,24,0.85,97
2021-08,74,351,36,58,14,26,0.86,129
2021-09,87,355,64,86,12,36,1.03,118
2021-10,182,361,137,100,11,50,0.92,105
2021-11,179,358,135,154,14,60,1.04,79
2021-12,219,363,172,176,15,66,1.16,73
2022-01,214,330,167,176,13,81,1.44,57
2022-02,160,319,120,128,12,59,1.08,63
2022-03,117,316,88,125,17,59,0.88,80
