年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-12,82,18,64,73,37,63,1.32,107
2014-01,40,5,15,22,8,9,0.87,51
2014-02,20,2,9,17,4,7,1.09,7
2014-03,25,1,13,24,3,8,0.74,10
2014-04,20,1,10,19,2,3,0.89,28
2014-05,19,6,5,17,6,8,0.79,29
2014-06,18,1,6,16,8,5,1.04,29
2014-07,17,1,5,0,6,4,0.83,18
2014-08,15,1,4,14,5,7,0.41,17
2014-09,22,2,3,14,4,4,0.51,27
2014-10,44,9,18,43,6,6,1.03,53
2014-11,25,6,14,17,7,7,0.83,19
2014-12,18,2,9,11,9,11,1.3,25
2015-01,23,2,11,16,5,9,0.84,32
2015-02,18,1,7,16,4,6,0.63,27
2015-03,19,2,10,14,5,6,0.59,21
2015-04,17,3,10,14,5,5,0.58,19
2015-05,25,8,9,21,3,8,0.78,36
2015-06,19,3,4,14,6,3,0.59,32
2015-07,19,7,6,16,7,7,0.86,28
2015-08,16,2,6,13,3,6,0.44,27
2015-09,19,5,9,17,2,6,0.57,26
2015-10,29,18,2,21,3,5,0.59,33
2015-11,22,5,7,17,3,7,0.65,32
2015-12,19,5,10,13,3,8,0.85,16
2016-01,19,4,11,17,4,10,0.61,7
2016-02,15,6,6,10,5,7,0.57,19
2016-03,22,1,12,17,4,7,0.65,13
2016-04,27,4,12,20,5,6,0.74,26
2016-05,24,2,11,19,4,6,0.77,40
2016-06,21,6,4,12,5,7,0.49,39
2016-07,21,6,5,15,3,6,0.53,32
2016-08,22,5,5,16,3,5,0.68,39
2016-09,25,6,8,16,7,6,0.53,24
2016-10,23,10,11,18,5,3,0.6,35
2016-11,12,1,5,10,6,4,0.5,14
2016-12,36,41,19,33,5,7,0.69,50
2017-01,19,6,10,16,4,8,0.73,15
2017-02,28,17,15,26,4,8,0.65,39
2017-03,29,3,11,24,4,8,0.57,19
2017-04,31,4,11,21,4,6,0.55,28
2017-05,24,2,7,18,4,5,0.58,34
2017-06,22,9,7,17,5,4,0.52,26
2017-07,20,5,6,14,4,4,0.59,32
2017-08,19,5,8,16,5,6,0.49,31
2017-09,17,3,9,16,5,4,0.56,8
2017-10,18,4,9,16,4,6,0.57,24
2017-11,28,11,15,24,4,9,0.66,21
2017-12,31,29,17,28,7,13,0.57,28
2018-01,19,12,9,13,3,9,0.49,24
2018-02,25,19,11,15,4,7,0.61,16
2018-03,22,5,5,14,4,5,0.55,29
2018-04,27,3,14,25,4,4,0.52,39
2018-05,25,4,8,19,4,3,0.53,32
2018-06,24,11,9,18,4,4,0.5,36
2018-07,16,3,4,8,3,3,0.41,31
2018-08,26,15,8,18,4,5,0.44,40
2018-09,21,14,6,14,4,3,0.38,22
2018-10,30,47,11,22,4,5,0.45,20
2018-11,27,15,12,21,4,5,0.43,46
2018-12,24,16,15,21,3,6,0.37,7
2019-01,45,51,21,25,3,7,0.57,25
2019-02,24,4,8,19,3,4,0.49,14
2019-03,25,6,8,18,3,5,0.42,19
2019-04,25,4,5,17,3,4,0.49,35
2019-05,24,2,3,12,3,6,0.43,42
2019-06,18,5,6,15,4,6,0.4,32
2019-07,18,21,6,16,4,5,0.41,47
2019-08,17,7,6,16,4,7,0.5,44
2019-09,14,3,7,13,4,8,0.52,30
2019-10,16,10,9,13,5,7,0.48,34
2019-11,37,44,17,37,5,6,0.5,54
2019-12,30,28,17,30,4,9,0.41,61
2020-01,17,21,10,15,4,4,0.53,28
2020-02,16,12,4,9,3,4,0.41,26
2020-03,16,8,8,16,3,5,0.25,6
2020-04,17,5,7,13,4,7,0.41,17
2020-05,16,5,6,15,5,6,0.4,35
2020-06,15,8,3,12,5,7,0.46,34
2020-07,14,5,5,12,4,6,0.43,33
2020-08,12,6,4,10,4,4,0.4,26
2020-09,12,7,4,11,4,7,0.48,30
2020-10,15,15,5,11,3,4,0.47,44
2020-11,18,7,8,17,4,6,0.44,41
2020-12,23,42,13,23,4,12,0.44,18
2021-01,35,40,18,31,4,11,0.51,27
2021-02,17,28,8,11,4,5,0.4,22
2021-03,21,14,9,21,4,6,0.4,30
2021-04,19,10,8,17,4,5,0.4,30
2021-05,15,5,3,14,4,5,0.31,35
2021-06,17,17,5,14,4,4,0.4,43
2021-07,15,16,4,12,4,3,0.4,32
2021-08,14,11,5,14,4,5,0.4,34
2021-09,14,5,4,11,4,5,0.4,26
2021-10,16,28,5,13,4,4,0.46,39
2021-11,23,39,6,20,4,6,0.42,52
2021-12,28,41,19,25,6,13,0.47,22
2022-01,19,21,9,11,4,8,0.51,24
2022-02,11,9,2,4,4,6,0.46,22
2022-03,20,2,12,18,4,5,0.38,24
